,SM_Twitter_id,SM_Twitter_user,old/new
0,16325209,solms,new
1,16325209,tinosorge,old
2,16808099,ralf_stegner,new
3,16808099,aminajxx,old
4,17462171,florian_toncar,new
5,17462171,carstentraeger,old
6,17469649,larscastellucci,new
7,17469649,joerg_cezanne,old
8,18935360,manfred_grund,old
9,21197524,tobiaslindner,new
10,21197524,michael_g_link,old
11,21791639,swenschulz,old
12,22364234,marcusfaber,new
13,22364234,fahimiyasmin,old
14,22945978,marc2244,old
15,23142957,kirstenluehmann,old
16,25816024,gabihillerohm,old
17,37733252,kerstin_tack,old
18,47375691,danywagner_da,old
19,47375691,swagenknecht,new
20,51752254,stefankaufmann,new
21,51752254,uwekekeritz,old
22,54535670,wellenreuther,old
23,68455687,andreashoeppner,old
24,75813892,philipp_raulfs,old
25,75813892,philippraulfs,new
26,83795057,dieschmidt,old
27,83795057,nilsschmid,new
28,106136813,busen_mdb,old
29,106136813,marcobuschmann,new
30,137991148,sandraboser,old
31,143351769,nikolasloebel,old
32,143882918,evrimsommer,old
33,143882918,hesommer,new
34,154064825,peterheidtfdp,old
35,154064825,matthiasheider,new
36,264130365,willistaechele,old
37,282687385,brihasselmann,old
38,282687385,r_hartwig_afd,new
39,290080161,olaflies,old
40,290080161,silkelesemann,new
41,316355056,karambadiaby,new
42,316355056,estherdilcher,old
43,372304486,danielrenkonen,old
44,391911523,alexkoenigmdl,old
45,393541223,jessicabiessman,old
46,467381196,kleikert,new
47,467381196,steffilemke,old
48,472261226,saskialudwig17,old
49,472261226,saskialudwigcdu,new
50,535373865,detlevpilger,old
51,542852805,klauskaisercdu,old
52,580906159,joergbode,old
53,580906159,stefan_birkner,new
54,809895794,fuchtel,old
55,809895794,gtzfrmming,new
56,862714045,fostendorff,old
57,939034891,susanne_mittag,old
58,955680390,josefinepaul,old
59,955680390,moptendrenk,new
60,1525828872,andrekupergt,old
61,1617177360,annachristmann,new
62,1617177360,tino_chrupalla,old
63,1720247887,tobiaszech,old
64,1862781722,stefangelbhaar,old
65,1862781722,axelgehrke,new
66,2290961736,zieglermdb,old
67,2373681362,constanzekrehl,old
68,2450015448,martinbaeumer,old
69,2527808433,ingrid_nestle,old
70,2527808433,zaklinnastic,new
71,2530965517,freekolja,old
72,2842430247,deridder_mdb,new
73,2842430247,ekindeligoez,old
74,2912501901,lorenzcaffier,old
75,2922690365,ostseewal,old
76,2922690365,wildtbernhard,new
77,3007445145,mkgmdl,old
78,3047392319,mastrackzi,new
79,3047392319,bstrasser,old
80,3091641345,thoreschaeck,old
81,3105222699,robby_schlund,old
82,3147619972,eva_goldbach,old
83,3372237947,regina_poersch,old
84,4818645382,mtodtenhausen,old
85,4818645382,dr_tiemann,new
86,4861233617,tobiasloose,old
87,4861233617,tobiasvdheide,new
88,4866955749,stefingermdb,new
89,4866955749,andreassteier,old
90,710201540116652032,joerg_meuthen,old
91,712207722301751296,lambrechtmdb,old
92,717077328669646848,jochen_haug,old
93,717077328669646849,jochen_haug,new
94,717077328669646849,markhauptmann,old
95,719243307734405120,kristin_heiss,old
96,723119393689862144,clausschaffer,old
97,726487498956886016,borchert_cdu,old
98,726815926205698048,wagner_afd_mdl,old
99,726815926205698050,wagner_afd_mdl,new
100,726815926205698050,sebwatermeier,old
