Name,Fraktion,Wahlkreis,Kommentar,Bild,Wikipedia-URL
Muhterem Aras,GRÜNE,01 Stuttgart I,Landtagspräsidentin,https://de.wikipedia.org/wiki/Datei:135228_Muhterem_WK2016n_K%C3%B6nigsbau-600x902.jpg,https://de.wikipedia.org/wiki/Muhterem_Aras
Rainer Balzer,AfD,29 Bruchsal,6. Juli bis 11. Oktober 2016 Mitglied der Fraktion ABW,https://de.wikipedia.org/wiki/Datei:Image_of_none.svg,https://de.wikipedia.org/wiki/Rainer_Balzer
Anton Baron,AfD,21 Hohenlohe,5. Juli bis 11. Oktober 2016 Mitglied der Fraktion ABW[4],https://de.wikipedia.org/wiki/Datei:Image_of_none.svg,https://de.wikipedia.org/wiki/Anton_Baron
Theresia Bauer,GRÜNE,34 Heidelberg,,https://de.wikipedia.org/wiki/Datei:Theresia_Bauer.jpg,https://de.wikipedia.org/wiki/Theresia_Bauer
Christina Baum,AfD,23 Main-Tauber,,https://de.wikipedia.org/wiki/Datei:Image_of_none.svg,https://de.wikipedia.org/wiki/Christina_Baum
Susanne Bay,GRÜNE,18 Heilbronn,,https://de.wikipedia.org/wiki/Datei:Image_of_none.svg,https://de.wikipedia.org/wiki/Susanne_Bay
Norbert Beck,CDU,45 Freudenstadt,,https://de.wikipedia.org/wiki/Datei:Image_of_none.svg,https://de.wikipedia.org/wiki/Norbert_Beck
Alexander Becker,CDU,32 Rastatt,nachgerückt am 1. April 2019 für Sylvia Felder,https://de.wikipedia.org/wiki/Datei:Image_of_none.svg,https://de.wikipedia.org/wiki/Alexander_Becker_(Musikwissenschaftler)
Hans-Peter Behrens,GRÜNE,33 Baden-Baden,nachgerückt am 1. November 2019 für Beate Böhlen,https://de.wikipedia.org/wiki/Datei:Image_of_none.svg,https://de.wikipedia.org/wiki/Hans-Peter_Behrens
Sascha Binder,SPD,11 Geislingen,,https://de.wikipedia.org/wiki/Datei:Sascha-binder-mdl-bw.png,https://de.wikipedia.org/wiki/Sascha_Binder
Thomas Blenke,CDU,43 Calw,,https://de.wikipedia.org/wiki/Datei:Image_of_none.svg,https://de.wikipedia.org/wiki/Thomas_Blenke
Andrea Bogner-Unden,GRÜNE,70 Sigmaringen,,https://de.wikipedia.org/wiki/Datei:Image_of_none.svg,https://de.wikipedia.org/wiki/Andrea_Bogner-Unden
Daniel Born,SPD,40 Schwetzingen,,"https://de.wikipedia.org/wiki/Datei:Daniel_Born,_MdL.jpg",https://de.wikipedia.org/wiki/Daniel_Born
Sandra Boser,GRÜNE,50 Lahr,,https://de.wikipedia.org/wiki/Datei:Sandra_Boser_2015.jpg,https://de.wikipedia.org/wiki/Sandra_Boser
Stephen Brauer,FDP/DVP,22 Schwäbisch Hall,nachgerückt am 1. August 2018 für Friedrich Bullinger,https://de.wikipedia.org/wiki/Datei:Image_of_none.svg,https://de.wikipedia.org/wiki/Stephen_Brauer
Martina Braun,GRÜNE,54 Villingen-Schwenningen,,https://de.wikipedia.org/wiki/Datei:Image_of_none.svg,https://de.wikipedia.org/wiki/Martina_Braun
Klaus Burger,CDU,70 Sigmaringen,,https://de.wikipedia.org/wiki/Datei:N3S_8735-Klaus_Burger.jpg,https://de.wikipedia.org/wiki/Klaus_Burger
Andreas Deuschle,CDU,07 Esslingen,,https://de.wikipedia.org/wiki/Datei:Andreas_Deuschle_2013-by-RaBoe_1.jpg,https://de.wikipedia.org/wiki/Andreas_Deuschle
Thomas Dörflinger,CDU,66 Biberach,,https://de.wikipedia.org/wiki/Datei:Image_of_none.svg,"https://de.wikipedia.org/wiki/Thomas_D%C3%B6rflinger_(Politiker,_1969)"
Konrad Epple,CDU,13 Vaihingen,,https://de.wikipedia.org/wiki/Datei:N3S_8773-Konrad_Epple.JPG,https://de.wikipedia.org/wiki/Konrad_Epple
Nese Erikli,GRÜNE,56 Konstanz,,https://de.wikipedia.org/wiki/Datei:21_Nese-Erikli_Konstanz_(9555289052).jpg,https://de.wikipedia.org/wiki/Nese_Erikli
Arnulf Freiherr von Eyb,CDU,21 Hohenlohe,,"https://de.wikipedia.org/wiki/Datei:2013-05-15_16_-_Eyb,_Arnulf_Freiherr_von,_MdL_-_LTBW_-_5350.jpg",https://de.wikipedia.org/wiki/Arnulf_Freiherr_von_Eyb
Heinrich Fiechtner,fraktionslos,10 Göppingen,5. Juli bis 11. Oktober 2016 Mitglied der Fraktion ABW[4]Am 24. November 2017 Austritt aus der AfD-Fraktion und der Partei,https://de.wikipedia.org/wiki/Datei:Heinrich_Fiechtner_privat.jpg,https://de.wikipedia.org/wiki/Heinrich_Fiechtner
Jürgen Filius,GRÜNE,64 Ulm,,https://de.wikipedia.org/wiki/Datei:J%C3%BCrgen_Filius_8692.JPG,https://de.wikipedia.org/wiki/J%C3%BCrgen_Filius
Nicolas Fink,SPD,07 Esslingen,nachgerückt am 1. Januar 2019 für Wolfgang Drexler,https://de.wikipedia.org/wiki/Datei:Image_of_none.svg,https://de.wikipedia.org/wiki/Nicolas_Fink_(Politiker)
Rudi Fischer,FDP/DVP,61 Hechingen-Münsingen,nachgerückt am 11. Juli 2019 für Andreas Glück,https://de.wikipedia.org/wiki/Datei:Image_of_none.svg,https://de.wikipedia.org/wiki/Rudi_Fischer_(Politiker)
Josha Frey,GRÜNE,58 Lörrach,,https://de.wikipedia.org/wiki/Datei:N3S_8708-Josef_Frey.JPG,https://de.wikipedia.org/wiki/Josha_Frey
Stefan Fulst-Blei,SPD,35 Mannheim I,,https://de.wikipedia.org/wiki/Datei:Stefan-fulst-blei-mdl-bw.png,https://de.wikipedia.org/wiki/Stefan_Fulst-Blei
Reinhold Gall,SPD,20 Neckarsulm,,https://de.wikipedia.org/wiki/Datei:Reinhold-gall-mdl-bw.png,https://de.wikipedia.org/wiki/Reinhold_Gall
Wolfgang Gedeon,fraktionslos,57 Singen,"am 5. Juli 2016 aus der AfD-Fraktion ausgetreten,[5] im März 2020 Parteiausschluss",https://de.wikipedia.org/wiki/Datei:AfD-Demo-Raepple-Gedeon_5_(cropped).png,https://de.wikipedia.org/wiki/Wolfgang_Gedeon
Marion Gentges,CDU,50 Lahr,,https://de.wikipedia.org/wiki/Datei:Image_of_none.svg,https://de.wikipedia.org/wiki/Marion_Gentges
Bernd Gögel,AfD,44 Enz,,https://de.wikipedia.org/wiki/Datei:Image_of_none.svg,https://de.wikipedia.org/wiki/Bernd_G%C3%B6gel
Ulrich Goll,FDP/DVP,15 Waiblingen,,https://de.wikipedia.org/wiki/Datei:2013-05-16_Ulrich_Goll_9391-crop.JPG,https://de.wikipedia.org/wiki/Ulrich_Goll
Fabian Gramling,CDU,14 Bietigheim-Bissingen,,https://de.wikipedia.org/wiki/Datei:Fabian_Gramling.jpg,https://de.wikipedia.org/wiki/Fabian_Gramling
Martin Grath,GRÜNE,24 Heidenheim,,https://de.wikipedia.org/wiki/Datei:Image_of_none.svg,https://de.wikipedia.org/wiki/Martin_Grath
Bernd Grimmer,AfD,42 Pforzheim,,https://de.wikipedia.org/wiki/Datei:2015-01-17_3819_Bernd_Grimmer_(Landesparteitag_AfD_Baden-W%C3%BCrttemberg).jpg,https://de.wikipedia.org/wiki/Bernd_Grimmer
Gernot Gruber,SPD,17 Backnang,,https://de.wikipedia.org/wiki/Datei:2013-05-16_Gernot_Gruber_8499-crop.JPG,https://de.wikipedia.org/wiki/Gernot_Gruber_(Politiker)
Friedlinde Gurr-Hirsch,CDU,19 Eppingen,,https://de.wikipedia.org/wiki/Datei:Friedlinde_Gurr-Hirsch_8656.JPG,https://de.wikipedia.org/wiki/Friedlinde_Gurr-Hirsch
