Name,Fraktion,Wahlkreis,Kommentar,Bild,Wikipedia-URL
Klaus Adelt,SPD,Oberfranken,,https://de.wikipedia.org/wiki/Datei:Klaus_Adelt_5875a.jpg,https://de.wikipedia.org/wiki/Klaus_Adelt
Benjamin Adjei,GRÜNE,Oberbayern,,https://de.wikipedia.org/wiki/Datei:Image_of_none.svg,https://de.wikipedia.org/wiki/Benjamin_Adjei
Ilse Aigner,CSU,Oberbayern,,https://de.wikipedia.org/wiki/Datei:Ilse_Aigner_09.2015.JPG,https://de.wikipedia.org/wiki/Ilse_Aigner
Hubert Aiwanger,FW,Niederbayern,,https://de.wikipedia.org/wiki/Datei:Hart_aber_fair_2019-02-25-5560.jpg,https://de.wikipedia.org/wiki/Hubert_Aiwanger
Horst Arnold,SPD,Mittelfranken,,https://de.wikipedia.org/wiki/Datei:Horst_Arnold_(2017).jpg,https://de.wikipedia.org/wiki/Horst_Arnold_(Politiker)
Inge Aures,SPD,Oberfranken,,https://de.wikipedia.org/wiki/Datei:8008ri-Inge_Aures.jpg,https://de.wikipedia.org/wiki/Inge_Aures
Martin Bachhuber,CSU,Oberbayern,,https://de.wikipedia.org/wiki/Datei:8143ri-Martin_Bachhuber.jpg,https://de.wikipedia.org/wiki/Martin_Bachhuber
Peter Bauer,FW,Mittelfranken,,https://de.wikipedia.org/wiki/Datei:Peter_Bauer_2012_-_RalfR.jpg,https://de.wikipedia.org/wiki/Peter_Bauer_(Politiker)
Volker Bauer,CSU,Mittelfranken,,"https://de.wikipedia.org/wiki/Datei:Volker_Bauer,_MdL_zeigt_technischen_Sachverstand_bei_Betriebsbesichtigung.jpg",https://de.wikipedia.org/wiki/Volker_Bauer
Jürgen Baumgärtner,CSU,Oberfranken,,https://de.wikipedia.org/wiki/Datei:Image_of_none.svg,https://de.wikipedia.org/wiki/J%C3%BCrgen_Baumg%C3%A4rtner
Winfried Bausback,CSU,Unterfranken,,https://de.wikipedia.org/wiki/Datei:8062ri-Winfried_Bausback.jpg,https://de.wikipedia.org/wiki/Winfried_Bausback
Markus Bayerbach,AfD,Schwaben,,https://de.wikipedia.org/wiki/Datei:Image_of_none.svg,https://de.wikipedia.org/wiki/Markus_Bayerbach
Johannes Becher,GRÜNE,Oberbayern,,https://de.wikipedia.org/wiki/Datei:Image_of_none.svg,"https://de.wikipedia.org/wiki/Johannes_Becher_(Politiker,_1988)"
Barbara Becker,CSU,Unterfranken,,https://de.wikipedia.org/wiki/Datei:Image_of_none.svg,https://de.wikipedia.org/wiki/Barbara_Becker_(Politikerin)
Eric Beißwenger,CSU,Schwaben,,https://de.wikipedia.org/wiki/Datei:Image_of_none.svg,https://de.wikipedia.org/wiki/Eric_Bei%C3%9Fwenger
Franz Bergmüller,AfD,Oberbayern,,https://de.wikipedia.org/wiki/Datei:Image_of_none.svg,https://de.wikipedia.org/wiki/Franz_Bergm%C3%BCller
Markus Blume,CSU,Oberbayern,,https://de.wikipedia.org/wiki/Datei:12-07-17-landtagsprojekt-bayern-RalfR-011.jpg,https://de.wikipedia.org/wiki/Markus_Blume
Martin Böhm,AfD,Oberfranken,,https://de.wikipedia.org/wiki/Datei:2019-10-10-Martin_Boehm_6258.jpg,https://de.wikipedia.org/wiki/Martin_B%C3%B6hm_(Politiker)
Cemal Bozoğlu,GRÜNE,Schwaben,,https://de.wikipedia.org/wiki/Datei:Pressefoto_Cemal_Bozoglu_1.jpg,https://de.wikipedia.org/wiki/Cemal_Bozo%C4%9Flu
Robert Brannekämper,CSU,Oberbayern,,https://de.wikipedia.org/wiki/Datei:Robert_Brannek%C3%A4mper.jpg,https://de.wikipedia.org/wiki/Robert_Brannek%C3%A4mper
Gudrun Brendel-Fischer,CSU,Oberfranken,,https://de.wikipedia.org/wiki/Datei:20120717_Gudrun_Brendel-Fischer.jpg,https://de.wikipedia.org/wiki/Gudrun_Brendel-Fischer
Florian von Brunn,SPD,Oberbayern,,https://de.wikipedia.org/wiki/Datei:Florian_von_Brunn_5961a.jpg,https://de.wikipedia.org/wiki/Florian_von_Brunn
Markus Büchler,GRÜNE,Oberbayern,,https://de.wikipedia.org/wiki/Datei:Image_of_none.svg,https://de.wikipedia.org/wiki/Markus_B%C3%BCchler_(Politiker)
Michael Busch,SPD,Oberfranken,,https://de.wikipedia.org/wiki/Datei:Image_of_none.svg,https://de.wikipedia.org/wiki/Michael_C._Busch
Kerstin Celina,GRÜNE,Unterfranken,,"https://de.wikipedia.org/wiki/Datei:Kerstin_Celina,_MdL.jpg",https://de.wikipedia.org/wiki/Kerstin_Celina
