Name,Fraktion,Wahlkreis,Kommentar,Bild,Wikipedia-URL
Sandra Ahrens,CDU,"Bremen, Personenwahl",Schriftführerin der Bürgerschaft,https://de.wikipedia.org/wiki/Datei:Sandra_Ahrens.jpg,https://de.wikipedia.org/wiki/Sandra_Ahrens
Sascha Karolin Aulepp,SPD,"Bremen, Listenwahl",,"https://de.wikipedia.org/wiki/Datei:Aulepp,_Sascha_Karolin-9217.jpg",https://de.wikipedia.org/wiki/Sascha_Karolin_Aulepp
Yvonne Averwerser,CDU,"Bremen, Listenwahl",,"https://de.wikipedia.org/wiki/Datei:Averwerser,_Yvonne-1.jpg",https://de.wikipedia.org/wiki/Yvonne_Averwerser
Peter Beck,AfD,"Bremen, Listenwahl",seit 1. September 2019 fraktionslos,https://de.wikipedia.org/wiki/Datei:Silver_-_replace_this_image_male.svg,https://de.wikipedia.org/wiki/Peter_Beck_(Politiker)
Rainer Bensch,CDU,"Bremen, Personenwahl",,"https://de.wikipedia.org/wiki/Datei:Bensch,_Rainer-9021.jpg",https://de.wikipedia.org/wiki/Rainer_Bensch
Birgit Bergmann,FDP,"Bremen, Personenwahl",,https://de.wikipedia.org/wiki/Datei:Birgit_Bergmann.jpg,https://de.wikipedia.org/wiki/Birgit_Bergmann
Hartmut Bodeit,CDU,"Bremen, Listenwahl",,"https://de.wikipedia.org/wiki/Datei:Bodeit,_Hartmut-1.jpg",https://de.wikipedia.org/wiki/Hartmut_Bodeit
Elombo Bolayela,SPD,"Bremen, Personenwahl",,https://de.wikipedia.org/wiki/Datei:Elombo_Bolayela.jpg,https://de.wikipedia.org/wiki/Elombo_Bolayela
Gönül Bredehorst,SPD,"Bremen, Listenwahl",Nachrückerin 2019,"https://de.wikipedia.org/wiki/Datei:Bredehorst,_G%C3%B6n%C3%BCl-1.jpg",https://de.wikipedia.org/wiki/G%C3%B6n%C3%BCl_Bredehorst
Thomas vom Bruch,CDU,"Bremen, Listenwahl",,"https://de.wikipedia.org/wiki/Datei:Vom_Bruch,_Thomas.jpg",https://de.wikipedia.org/wiki/Thomas_vom_Bruch
Philipp Bruck,GRÜNE,"Bremen, Listenwahl",,"https://de.wikipedia.org/wiki/Datei:Bruck,_Philipp-1.jpg",https://de.wikipedia.org/wiki/Philipp_Bruck
Janina Brünjes,SPD,"Bremerhaven, Listenwahl",nur Landtag,"https://de.wikipedia.org/wiki/Datei:Br%C3%BCnjes,_Janina_(cropped).jpg",https://de.wikipedia.org/wiki/Janina_Br%C3%BCnjes
Robert Bücking,GRÜNE,"Bremen, Personenwahl",,https://de.wikipedia.org/wiki/Datei:Robert_B%C3%BCcking.jpg,https://de.wikipedia.org/wiki/Robert_B%C3%BCcking
Magnus Buhlert,FDP,"Bremen, Listenwahl",Schriftführer der Bürgerschaft,"https://de.wikipedia.org/wiki/Datei:Buhlert,_Magnus-1.jpg",https://de.wikipedia.org/wiki/Magnus_Buhlert
