Name,Fraktion,Wahlkreis,Kommentar,Bild,Wikipedia-URL
Michael von Abercron,CDU/CSU (CDU),Pinneberg,,https://de.wikipedia.org/wiki/Datei:Dr._Ernst-Michael_von_Abercron.jpg,https://de.wikipedia.org/wiki/Michael_von_Abercron
Doris Achelwilm,Linke,,,https://de.wikipedia.org/wiki/Datei:ColognePride_2018-Samstag-Hauptb%C3%BChne-1600-Politblock-Doris_Achelwilm-7638.jpg,https://de.wikipedia.org/wiki/Doris_Achelwilm
Grigorios Aggelidis,FDP,,,https://de.wikipedia.org/wiki/Datei:Grigorios_Aggelidis_MdB.jpg,https://de.wikipedia.org/wiki/Grigorios_Aggelidis
Gökay Akbulut,Linke,,,https://de.wikipedia.org/wiki/Datei:Portrait_G%C3%B6kay_Akbulut_Foto_Andi_Weiland.jpg,https://de.wikipedia.org/wiki/G%C3%B6kay_Akbulut
Stephan Albani,CDU/CSU (CDU),,,"https://de.wikipedia.org/wiki/Datei:Albani,_Stephan-0402.jpg",https://de.wikipedia.org/wiki/Stephan_Albani
Renata Alt,FDP,,,https://de.wikipedia.org/wiki/Datei:Renata_Alt_2020_by_Jenny_Paul_%E2%80%93_(01).jpg,https://de.wikipedia.org/wiki/Renata_Alt
Norbert Altenkamp,CDU/CSU (CDU),Main-Taunus,Schriftführer,https://de.wikipedia.org/wiki/Datei:Norbert_Altenkamp_by_Niklas_Mulzer.jpg,https://de.wikipedia.org/wiki/Norbert_Altenkamp
Peter Altmaier,CDU/CSU (CDU),Saarlouis,Bundesminister für Wirtschaft und Energie (ab März 2018); Bundesminister für besondere Aufgaben und Chef des Bundeskanzleramtes (bis März 2018); kommissarischer Bundesminister der Finanzen (bis März 2018),https://de.wikipedia.org/wiki/Datei:Peter_Altmaier.jpg,https://de.wikipedia.org/wiki/Peter_Altmaier
Philipp Amthor,CDU/CSU (CDU),Mecklenburgische Seenplatte I – Vorpommern-Greifswald II,,https://de.wikipedia.org/wiki/Datei:Philipp_Amthor.jpg,https://de.wikipedia.org/wiki/Philipp_Amthor
Luise Amtsberg,Grüne,,,https://de.wikipedia.org/wiki/Datei:Luise_Amtsberg.jpg,https://de.wikipedia.org/wiki/Luise_Amtsberg
Niels Annen,SPD,Hamburg-Eimsbüttel,Staatsminister im Auswärtigen Amt,"https://de.wikipedia.org/wiki/Datei:Annen,_Niels-1812.jpg",https://de.wikipedia.org/wiki/Niels_Annen
Ingrid Arndt-Brauer,SPD,,,https://de.wikipedia.org/wiki/Datei:Placeholder_staff_photo.svg,https://de.wikipedia.org/wiki/Ingrid_Arndt-Brauer
Christine Aschenberg-Dugnus,FDP,,,https://de.wikipedia.org/wiki/Datei:2020-02-14_Christine_Aschenberg-Dugnus_(KPFC)_03.jpg,https://de.wikipedia.org/wiki/Christine_Aschenberg-Dugnus
Artur Auernhammer,CDU/CSU (CSU),Ansbach,Schriftführer,https://de.wikipedia.org/wiki/Datei:ArturAuernhammer.jpg,https://de.wikipedia.org/wiki/Artur_Auernhammer
Peter Aumer,CDU/CSU (CSU),Regensburg,,https://de.wikipedia.org/wiki/Datei:Peter_Aumer.jpg,https://de.wikipedia.org/wiki/Peter_Aumer
Bela Bach,SPD,,Nachgerückt für Martin Burkert am 4. Februar 2020.[6],https://de.wikipedia.org/wiki/Datei:Placeholder_staff_photo.svg,https://de.wikipedia.org/wiki/Bela_Bach
Lisa Badum,Grüne,,,"https://de.wikipedia.org/wiki/Datei:Lisa_Badum,_MdB.jpg",https://de.wikipedia.org/wiki/Lisa_Badum
Heike Baehrens,SPD,,,"https://de.wikipedia.org/wiki/Datei:Baehrens,_Heike-9648.jpg",https://de.wikipedia.org/wiki/Heike_Baehrens
Annalena Baerbock,Grüne,,Parteivorsitzende,https://de.wikipedia.org/wiki/Datei:Annalena_Baerbock_(Pressefoto).jpg,https://de.wikipedia.org/wiki/Annalena_Baerbock
Ulrike Bahr,SPD,,,"https://de.wikipedia.org/wiki/Datei:Bahr,_Ulrike-9287.jpg",https://de.wikipedia.org/wiki/Ulrike_Bahr
Dorothee Bär,CDU/CSU (CSU),Bad Kissingen,"Parlamentarische Staatssekretärin (bis März 2018), Staatsministerin","https://de.wikipedia.org/wiki/Datei:WLP14-ri-0844-_Dorothee_B%C3%A4r_(CSU),_MdB.jpg",https://de.wikipedia.org/wiki/Dorothee_B%C3%A4r
Nezahat Baradari,SPD,,Nachgerückt für Ulrich Kelber am 7. Jan. 2019,"https://de.wikipedia.org/wiki/Datei:Nezahat_Baradari,_MdB.jpg",https://de.wikipedia.org/wiki/Nezahat_Baradari
Thomas Bareiß,CDU/CSU (CDU),Zollernalb – Sigmaringen,Parlamentarischer Staatssekretär,"https://de.wikipedia.org/wiki/Datei:Barei%C3%9F,_Thomas-0488.jpg",https://de.wikipedia.org/wiki/Thomas_Barei%C3%9F
Doris Barnett,SPD,,,https://de.wikipedia.org/wiki/Datei:Doris_Barnett_-_2017256181013_2017-09-13_SPD_Wahlkampf_Ludwigshafen_-_Sven_-_1D_X_MK_II_-_0058_-_AK8I6867.jpg,https://de.wikipedia.org/wiki/Doris_Barnett
Simone Barrientos,Linke,,,https://de.wikipedia.org/wiki/Datei:Placeholder_staff_photo.svg,https://de.wikipedia.org/wiki/Simone_Barrientos
Norbert Barthle,CDU/CSU (CDU),Backnang – Schwäbisch Gmünd,Parlamentarischer Staatssekretär,https://de.wikipedia.org/wiki/Datei:MK28191_Norbert_Barthle.jpg,https://de.wikipedia.org/wiki/Norbert_Barthle
Matthias Bartke,SPD,Hamburg-Altona,,"https://de.wikipedia.org/wiki/Datei:Bartke,_Matthias-1579.jpg",https://de.wikipedia.org/wiki/Matthias_Bartke
Sören Bartol,SPD,Marburg,,"https://de.wikipedia.org/wiki/Datei:Bartol,_S%C3%B6ren-0353.jpg",https://de.wikipedia.org/wiki/S%C3%B6ren_Bartol
Dietmar Bartsch,Linke,,Fraktionsvorsitzender,https://de.wikipedia.org/wiki/Datei:2018-06-09_Bundesparteitag_Die_Linke_2018_in_Leipzig_by_Sandro_Halank%E2%80%93141.jpg,https://de.wikipedia.org/wiki/Dietmar_Bartsch
Bärbel Bas,SPD,Duisburg I,,https://de.wikipedia.org/wiki/Datei:2014-09-12_-_B%C3%A4rbel_Bas_MdB_-_8733.jpg,https://de.wikipedia.org/wiki/B%C3%A4rbel_Bas
Nicole Bauer,FDP,,,https://de.wikipedia.org/wiki/Datei:2020-02-13_Nicole_Bauer_(Bundestagsprojekt_2020)_by_Sandro_Halank%E2%80%931.jpg,https://de.wikipedia.org/wiki/Nicole_Bauer
Bernd Baumann,AfD,,,https://de.wikipedia.org/wiki/Datei:Bernd_Baumann-8845.jpg,https://de.wikipedia.org/wiki/Bernd_Baumann
Margarete Bause,Grüne,,,https://de.wikipedia.org/wiki/Datei:Margarete_Bause_2012_-_RalfR.jpg,https://de.wikipedia.org/wiki/Margarete_Bause
Danyal Bayaz,Grüne,,,https://de.wikipedia.org/wiki/Datei:Danyal_Bayaz_2013_(9555327442).jpg,https://de.wikipedia.org/wiki/Danyal_Bayaz
Canan Bayram,Grüne,Berlin-Friedrichshain – Kreuzberg – Prenzlauer Berg Ost,,https://de.wikipedia.org/wiki/Datei:Canan_Bayram_(2017).jpg,https://de.wikipedia.org/wiki/Canan_Bayram
Jens Beeck,FDP,,,https://de.wikipedia.org/wiki/Datei:Jens_Beeck_MdB_(2017).jpg,https://de.wikipedia.org/wiki/Jens_Beeck
Olaf in der Beek,FDP,,,https://de.wikipedia.org/wiki/Datei:Olaf_in_der_Beek_MdB.jpg,https://de.wikipedia.org/wiki/Olaf_in_der_Beek
Maik Beermann,CDU/CSU (CDU),Nienburg II – Schaumburg,Schriftführer,"https://de.wikipedia.org/wiki/Datei:Beermann,_Maik-0951.jpg",https://de.wikipedia.org/wiki/Maik_Beermann
Manfred Behrens,CDU/CSU (CDU),Börde – Jerichower Land,,https://de.wikipedia.org/wiki/Datei:Manfred_Behrens_2010.jpg,https://de.wikipedia.org/wiki/Manfred_Behrens
Veronika Bellmann,CDU/CSU (CDU),Mittelsachsen,,"https://de.wikipedia.org/wiki/Datei:Bellmann,_Veronika-8860.jpg",https://de.wikipedia.org/wiki/Veronika_Bellmann
Sybille Benning,CDU/CSU (CDU),Münster,,https://de.wikipedia.org/wiki/Datei:2014-09-11_-_Sybille_Benning_MdB_-_8540.jpg,https://de.wikipedia.org/wiki/Sybille_Benning
André Berghegger,CDU/CSU (CDU),Osnabrück-Land,,https://de.wikipedia.org/wiki/Datei:Andr%C3%A9_Berghegger_2013.jpg,https://de.wikipedia.org/wiki/Andr%C3%A9_Berghegger
Marc Bernhard,AfD,,,https://de.wikipedia.org/wiki/Datei:2019-05-09-Marc_Bernhard_AfD_MdB_by_Olaf_Kosinsky-2195.jpg,https://de.wikipedia.org/wiki/Marc_Bernhard
Melanie Bernstein,CDU/CSU (CDU),Plön – Neumünster,Schriftführerin,https://de.wikipedia.org/wiki/Datei:Melanie_Bernstein_2017_by_Sebastian_Busse.jpg,https://de.wikipedia.org/wiki/Melanie_Bernstein
Christoph Bernstiel,CDU/CSU (CDU),Halle,Schriftführer,https://de.wikipedia.org/wiki/Datei:Christoph_Bernstiel_2017_by_Christoph_Jann.png,https://de.wikipedia.org/wiki/Christoph_Bernstiel
Lorenz Gösta Beutin,Linke,,,https://de.wikipedia.org/wiki/Datei:Lorenz_G%C3%B6sta_Beutin.jpg,https://de.wikipedia.org/wiki/Lorenz_G%C3%B6sta_Beutin
Peter Beyer,CDU/CSU (CDU),Mettmann II,,https://de.wikipedia.org/wiki/Datei:Peter_Beyer_MdB.jpg,https://de.wikipedia.org/wiki/Peter_Beyer_(Politiker)
Marc Biadacz,CDU/CSU (CDU),Böblingen,,https://de.wikipedia.org/wiki/Datei:Marc_Biadacz_2017_by_Jan_Kopetzky.png,https://de.wikipedia.org/wiki/Marc_Biadacz
Steffen Bilger,CDU/CSU (CDU),Ludwigsburg,Parlamentarischer Staatssekretär,https://de.wikipedia.org/wiki/Datei:Steffen_Bilger.jpg,https://de.wikipedia.org/wiki/Steffen_Bilger
Lothar Binding,SPD,,,"https://de.wikipedia.org/wiki/Datei:Binding,_Lothar-9448.jpg",https://de.wikipedia.org/wiki/Lothar_Binding
Matthias W. Birkwald,Linke,,,"https://de.wikipedia.org/wiki/Datei:Birkwald,_Matthias_W.-1075.jpg",https://de.wikipedia.org/wiki/Matthias_W._Birkwald
Andreas Bleck,AfD,,,https://de.wikipedia.org/wiki/Datei:Placeholder_staff_photo.svg,https://de.wikipedia.org/wiki/Andreas_Bleck
Peter Bleser,CDU/CSU (CDU),Mosel/Rhein-Hunsrück,,https://de.wikipedia.org/wiki/Datei:Ci_113960_klein.jpg,https://de.wikipedia.org/wiki/Peter_Bleser
Heidrun Bluhm,Linke,,,https://de.wikipedia.org/wiki/Datei:Wohnungspolitische_Konferenz_der_Fraktion_DIE_LINKE._im_Bundestag_am_17.18._Juni_2011_in_Berlin_(2).jpg,https://de.wikipedia.org/wiki/Heidrun_Bluhm
Peter Boehringer,AfD,,,"https://de.wikipedia.org/wiki/Datei:Peter_Boehringer,_2014,_Edelmetallmesse_M%C3%BCnchen.jpg",https://de.wikipedia.org/wiki/Peter_Boehringer
Norbert Brackmann,CDU/CSU (CDU),Herzogtum Lauenburg – Stormarn-Süd,,"https://de.wikipedia.org/wiki/Datei:Brackmann,_Norbert-1862.jpg",https://de.wikipedia.org/wiki/Norbert_Brackmann
Michael Brand,CDU/CSU (CDU),Fulda,,https://de.wikipedia.org/wiki/Datei:Michael_Brand_2013.jpg,https://de.wikipedia.org/wiki/Michael_Brand_(Politiker)
Jens Brandenburg,FDP,,,https://de.wikipedia.org/wiki/Datei:Jens_Brandenburg.jpg,https://de.wikipedia.org/wiki/Jens_Brandenburg
Mario Brandenburg,FDP,,,https://de.wikipedia.org/wiki/Datei:Mario_Brandenburg_zugeschnitten.jpg,https://de.wikipedia.org/wiki/Mario_Brandenburg
Reinhard Brandl,CDU/CSU (CSU),Ingolstadt,,https://de.wikipedia.org/wiki/Datei:Reinhard_Brandl.jpg,https://de.wikipedia.org/wiki/Reinhard_Brandl
Stephan Brandner,AfD,,,https://de.wikipedia.org/wiki/Datei:Foto_Stephan_Brandner.jpg,https://de.wikipedia.org/wiki/Stephan_Brandner
Michel Brandt,Linke,,,https://de.wikipedia.org/wiki/Datei:Placeholder_staff_photo.svg,https://de.wikipedia.org/wiki/Michel_Brandt
Franziska Brantner,Grüne,,,https://de.wikipedia.org/wiki/Datei:2019-04-11_Franziska_Brantner_MdB_by_Olaf_Kosinsky-9605.jpg,https://de.wikipedia.org/wiki/Franziska_Brantner
Helge Braun,CDU/CSU (CDU),Gießen,Bundesminister für besondere Aufgaben und Chef des Bundeskanzleramtes,https://de.wikipedia.org/wiki/Datei:Helge_Braun_Portr%C3%A4t_2017.jpg,https://de.wikipedia.org/wiki/Helge_Braun
Jürgen Braun,AfD,,,https://de.wikipedia.org/wiki/Datei:2019-04-11_J%C3%BCrgen_Braun_MdB_by_Olaf_Kosinsky-8372.jpg,https://de.wikipedia.org/wiki/J%C3%BCrgen_Braun_(Politiker)
Eberhard Brecht,SPD,,Nachgerückt für Burkhard Lischka am 25. Oktober 2019,"https://de.wikipedia.org/wiki/Datei:Bundesarchiv_Bild_183-1990-0705-303,_Dr._Eberhard_Brecht.jpg",https://de.wikipedia.org/wiki/Eberhard_Brecht
Silvia Breher,CDU/CSU (CDU),Cloppenburg – Vechta,Schriftführerin,https://de.wikipedia.org/wiki/Datei:2019-11-22_Silvia_Breher_CDU_Parteitag_by_OlafKosinsky_MG_5793.jpg,https://de.wikipedia.org/wiki/Silvia_Breher
Sebastian Brehm,CDU/CSU (CSU),Nürnberg-Nord,,https://de.wikipedia.org/wiki/Datei:Brehm_Sebastian_2017_by_Thomas_Lother.jpg,https://de.wikipedia.org/wiki/Sebastian_Brehm
Heike Brehmer,CDU/CSU (CDU),Harz,,https://de.wikipedia.org/wiki/Datei:Heike_Brehmer_2013.jpg,https://de.wikipedia.org/wiki/Heike_Brehmer
Leni Breymaier,SPD,,,https://de.wikipedia.org/wiki/Datei:2017-03-19_Leni_Breymaier_SPD_Parteitag_by_Olaf_Kosinsky-1.jpg,https://de.wikipedia.org/wiki/Leni_Breymaier
