Name,Fraktion,Wahlkreis,Kommentar,Bild,Wikipedia-URL
Jens Ahnemüller,fraktionslos,,im September 2018 aus der AfD-Fraktion ausgeschlossen,https://de.wikipedia.org/wiki/Datei:2016-11-17_-_Jens_Ahnem%C3%BCller_-_0199.jpg,https://de.wikipedia.org/wiki/Jens_Ahnem%C3%BCller
Doris Ahnen,SPD,Mainz II,Ministerin der Finanzen,https://de.wikipedia.org/wiki/Datei:Doris_Ahnen-7462.jpg,https://de.wikipedia.org/wiki/Doris_Ahnen
Kathrin Anklam-Trapp,SPD,Rhein-Selz/Wonnegau,Stellv. Fraktionsvorsitzende,https://de.wikipedia.org/wiki/Datei:Kathrin_Anklam-Trapp-2683.jpg,https://de.wikipedia.org/wiki/Kathrin_Anklam-Trapp
Sabine Bätzing-Lichtenthäler,SPD,,"Ministerin für Soziales, Arbeit, Gesundheit und Demografie",https://de.wikipedia.org/wiki/Datei:2014-09-11_-_Sabine_B%C3%A4tzing-Lichtenth%C3%A4ler_MdB_-_7791.jpg,https://de.wikipedia.org/wiki/Sabine_B%C3%A4tzing-Lichtenth%C3%A4ler
Christian Baldauf,CDU,Frankenthal (Pfalz),Fraktionsvorsitzender,https://de.wikipedia.org/wiki/Datei:2014-02-19_-_Christian_Baldauf_-_Landtag_Rheinland-Pfalz_343.jpg,https://de.wikipedia.org/wiki/Christian_Baldauf
Thomas Barth,CDU,,am 1. Oktober 2017 für Dorothea Schäfer nachgerückt,https://de.wikipedia.org/wiki/Datei:Placeholder_staff_photo.svg,https://de.wikipedia.org/wiki/Thomas_Barth_(Politiker)
Monika Becker,FDP,,Stellv. Fraktionsvorsitzende,https://de.wikipedia.org/wiki/Datei:Monika_Becker-2808.jpg,https://de.wikipedia.org/wiki/Monika_Becker
Anke Beilstein,CDU,Cochem-Zell,Stellv. Fraktionsvorsitzende,https://de.wikipedia.org/wiki/Datei:2016-11-17_-_Anke_Beilstein_-_0056.jpg,https://de.wikipedia.org/wiki/Anke_Beilstein
Katharina Binz,GRÜNE,,am 1. April 2017 nachgerückt für Eveline Lemke,https://de.wikipedia.org/wiki/Datei:Placeholder_staff_photo.svg,https://de.wikipedia.org/wiki/Katharina_Binz
Jutta Blatzheim-Roegler,GRÜNE,,Stellv. Fraktionsvorsitzende,https://de.wikipedia.org/wiki/Datei:2014-02-20_-_Jutta_Blatzheim-Roegler_-_Landtag_Rheinland-Pfalz_-_2818.jpg,https://de.wikipedia.org/wiki/Jutta_Blatzheim-Roegler
Timo Böhme,fraktionslos,,am 2. Dezember 2020 aus der AfD-Fraktion ausgetreten,https://de.wikipedia.org/wiki/Datei:Timo_B%C3%B6hme-2698.jpg,https://de.wikipedia.org/wiki/Timo_B%C3%B6hme
Jan Bollinger,AfD,,Parlamentar. Geschäftsführer,https://de.wikipedia.org/wiki/Datei:Jan_Bollinger-2712.jpg,https://de.wikipedia.org/wiki/Jan_Bollinger
Hans-Josef Bracht,CDU,Rhein-Hunsrück,Stellvertretender Landtagspräsident,https://de.wikipedia.org/wiki/Datei:Hans-Josef_Bracht-7062.jpg,https://de.wikipedia.org/wiki/Hans-Josef_Bracht
Martin Brandl,CDU,Germersheim,Parlamentar. Geschäftsführer,https://de.wikipedia.org/wiki/Datei:WLP_RLP_9208_Martin_Brandl.jpg,https://de.wikipedia.org/wiki/Martin_Brandl
Bernhard Braun,GRÜNE,,Fraktionsvorsitzender,https://de.wikipedia.org/wiki/Datei:WLP_RLP_9245_Bernhard_Braun.jpg,https://de.wikipedia.org/wiki/Bernhard_Braun_(Politiker)
Bettina Brück,SPD,,Stellv. Fraktionsvorsitzende,https://de.wikipedia.org/wiki/Datei:2014-02-19_-_Bettina_Br%C3%BCck_-_Landtag_Rheinland-Pfalz_-_2504.jpg,https://de.wikipedia.org/wiki/Bettina_Br%C3%BCck
Gabriele Bublies-Leifert,fraktionslos,,am 7. August 2019 aus der AfD-Fraktion ausgetreten; seit 2020 Mitglied der Partei „Die Föderalen“,https://de.wikipedia.org/wiki/Datei:Placeholder_staff_photo.svg,https://de.wikipedia.org/wiki/Gabriele_Bublies-Leifert
Ellen Demuth,CDU,Linz am Rhein/Rengsdorf,,https://de.wikipedia.org/wiki/Datei:Ellen_Demuth-7088.jpg,https://de.wikipedia.org/wiki/Ellen_Demuth
Jörg Denninghoff,SPD,Diez/Nassau,,https://de.wikipedia.org/wiki/Datei:J%C3%B6rg_Denninghoff-2774.jpg,https://de.wikipedia.org/wiki/J%C3%B6rg_Denninghoff
Josef Dötsch,CDU,Bendorf/Weißenthurm,,https://de.wikipedia.org/wiki/Datei:Josef_D%C3%B6tsch-7213.jpg,https://de.wikipedia.org/wiki/Josef_D%C3%B6tsch
Guido Ernst,CDU,Remagen/Sinzig,,https://de.wikipedia.org/wiki/Datei:2014-02-19_-_Guido_Ernst_-_Landtag_Rheinland-Pfalz_-_2277.jpg,https://de.wikipedia.org/wiki/Guido_Ernst
Heribert Friedmann,AfD,,,https://de.wikipedia.org/wiki/Datei:2016-11-17_-_Heribert_Friedmann_-_0088.jpg,https://de.wikipedia.org/wiki/Heribert_Friedmann
Michael Frisch,AfD,,Stellv. Fraktionsvorsitzender,https://de.wikipedia.org/wiki/Datei:2016-11-17_-_Michael_Frisch_-_0210.jpg,https://de.wikipedia.org/wiki/Michael_Frisch
Alexander Fuhr,SPD,,Stellv. Fraktionsvorsitzender,https://de.wikipedia.org/wiki/Datei:2014-02-19_-_Alexander_Fuhr_-_Landtag_Rheinland-Pfalz_-_2234.jpg,https://de.wikipedia.org/wiki/Alexander_Fuhr
Christoph Gensch,CDU,Zweibrücken,,https://de.wikipedia.org/wiki/Datei:Placeholder_staff_photo.svg,https://de.wikipedia.org/wiki/Christoph_Gensch_(Politiker)
Horst Gies,CDU,Bad Neuenahr-Ahrweiler,,https://de.wikipedia.org/wiki/Datei:2014-02-19_-_Horst_Gies_-_Landtag_Rheinland-Pfalz_-_2255.jpg,https://de.wikipedia.org/wiki/Horst_Gies_(Politiker)
Jennifer Groß,CDU,Montabaur,am 1. November 2019 für Gabriele Wieland nachgerückt,https://de.wikipedia.org/wiki/Datei:Placeholder_staff_photo.svg,https://de.wikipedia.org/wiki/Jennifer_Gro%C3%9F
Sylvia Groß,AfD,,,https://de.wikipedia.org/wiki/Datei:Placeholder_staff_photo.svg,https://de.wikipedia.org/wiki/Sylvia_Gro%C3%9F
Jens Guth,SPD,Worms,Stellv. Fraktionsvorsitzender,https://de.wikipedia.org/wiki/Datei:2014-02-19_-_Jens_Guth_-_Landtag_Rheinland-Pfalz_-_2292.jpg,https://de.wikipedia.org/wiki/Jens_Guth
Martin Haller,SPD,,Parlamentar. Geschäftsführer,https://de.wikipedia.org/wiki/Datei:WLP_RLP_9393_Martin_Haller.jpg,https://de.wikipedia.org/wiki/Martin_Haller_(Politiker)
Andreas Hartenfels,GRÜNE,,,https://de.wikipedia.org/wiki/Datei:2014-02-19_-_Andreas_Hartenfels_-_Landtag_Rheinland-Pfalz_-_2456.jpg,https://de.wikipedia.org/wiki/Andreas_Hartenfels
Jochen Hartloff,SPD,Kusel,,https://de.wikipedia.org/wiki/Datei:2016-11-17-_Jochen_Hartloff_-_0122.jpg,https://de.wikipedia.org/wiki/Jochen_Hartloff
Bernhard Henter,CDU,,,https://de.wikipedia.org/wiki/Datei:Bernhard_Henter-7105.jpg,https://de.wikipedia.org/wiki/Bernhard_Henter
Dirk Herber,CDU,Neustadt an der Weinstraße,,https://de.wikipedia.org/wiki/Datei:Placeholder_staff_photo.svg,https://de.wikipedia.org/wiki/Dirk_Herber
Hendrik Hering,SPD,Bad Marienberg (Westerwald)/Westerburg,Landtagspräsident,https://de.wikipedia.org/wiki/Datei:WLP_RLP_9292_Hendrik_Hering.jpg,https://de.wikipedia.org/wiki/Hendrik_Hering
Heijo Höfer,SPD,,am 1. Dezember 2016 für Thorsten Wehner nachgerückt,https://de.wikipedia.org/wiki/Datei:Heijo_H%C3%B6fer_by_Olaf_Kosinsky-3.jpg,https://de.wikipedia.org/wiki/Heijo_H%C3%B6fer
Simone Huth-Haage,CDU,,,https://de.wikipedia.org/wiki/Datei:WLP_RLP_9165_Simone_Huth-Haage.jpg,https://de.wikipedia.org/wiki/Simone_Huth-Haage
Michael Hüttner,SPD,Bingen am Rhein,,https://de.wikipedia.org/wiki/Datei:Michael_H%C3%BCttner-6868.jpg,https://de.wikipedia.org/wiki/Michael_H%C3%BCttner
Heiner Illing,SPD,Alzey,am 1. Januar 2020 für Heiko Sippel nachgerückt,https://de.wikipedia.org/wiki/Datei:Placeholder_staff_photo.svg,https://de.wikipedia.org/wiki/Heiner_Illing
Matthias Joa,AfD,,,https://de.wikipedia.org/wiki/Datei:Placeholder_staff_photo.svg,https://de.wikipedia.org/wiki/Matthias_Joa
Uwe Junge,AfD,,Fraktionsvorsitzender,https://de.wikipedia.org/wiki/Datei:Uwe_Junge-2748.jpg,https://de.wikipedia.org/wiki/Uwe_Junge
Giorgina Kazungu-Haß,SPD,,,https://de.wikipedia.org/wiki/Datei:2016-11-17_-_Giorgina_Kazungu-Ha%C3%9F_-_0231.jpg,https://de.wikipedia.org/wiki/Giorgina_Kazungu-Ha%C3%9F
Jürgen Klein,AfD,,,https://de.wikipedia.org/wiki/Datei:Placeholder_staff_photo.svg,https://de.wikipedia.org/wiki/J%C3%BCrgen_Klein_(Politiker)
Marcus Klein,CDU,,am 1. Oktober 2019 für Ralf Seekatz nachgerückt,https://de.wikipedia.org/wiki/Datei:2014-02-19_-_Marcus_Klein_-_Landtag_Rheinland-Pfalz_-_2395.jpg,https://de.wikipedia.org/wiki/Marcus_Klein_(Politiker)
Nina Klinkel,SPD,,,https://de.wikipedia.org/wiki/Datei:Placeholder_staff_photo.svg,https://de.wikipedia.org/wiki/Nina_Klinkel
Johannes Klomann,SPD,Mainz I,,https://de.wikipedia.org/wiki/Datei:Johannes_Klomann_01.jpg,https://de.wikipedia.org/wiki/Johannes_Klomann
Anna Köbberling,SPD,Koblenz,am 18. Mai 2016 für David Langner nachgerückt,https://de.wikipedia.org/wiki/Datei:Anna_K%C3%B6bberling-2648.jpg,https://de.wikipedia.org/wiki/Anna_K%C3%B6bberling
Daniel Köbler,GRÜNE,,,https://de.wikipedia.org/wiki/Datei:2014-02-19_-_Daniel_K%C3%B6bler_-_Landtag_Rheinland-Pfalz_-_2469.jpg,https://de.wikipedia.org/wiki/Daniel_K%C3%B6bler
Marlies Kohnle-Gros,CDU,,,https://de.wikipedia.org/wiki/Datei:2014-02-20_-_Marlies_Kohnle-Gros_-_Landtag_Rheinland-Pfalz_-_2656.jpg,https://de.wikipedia.org/wiki/Marlies_Kohnle-Gros
Matthias Lammert,CDU,,Stellv. Fraktionsvorsitzender,https://de.wikipedia.org/wiki/Datei:2014-02-19_-_Matthias_Lammert_-_Landtag_Rheinland-Pfalz_-_2424.jpg,https://de.wikipedia.org/wiki/Matthias_Lammert
Sven Lefkowitz,SPD,Neuwied,am 8. Juni 2019 für Fredi Winter nachgerückt,https://de.wikipedia.org/wiki/Datei:Placeholder_staff_photo.svg,https://de.wikipedia.org/wiki/Sven_Lefkowitz
Helga Lerch,fraktionslos,,am 20. Februar 2020 aus der FDP-Fraktion ausgeschlossen,https://de.wikipedia.org/wiki/Datei:Placeholder_staff_photo.svg,https://de.wikipedia.org/wiki/Helga_Lerch
