Name,Fraktion,Wahlkreis,Kommentar,Bild,Wikipedia-URL
Wolfgang Aldag,GRÜNE,Landesliste,am 4. Mai 2016 nachgerückt für Claudia Dalbert[2],https://de.wikipedia.org/wiki/Datei:2018-05-24_Abgeordnete(r)_des_Landtags_von_Sachsen-Anhalt_IMG_5828_LR10_by_Stepro.jpg,https://de.wikipedia.org/wiki/Wolfgang_Aldag
Eva von Angern,LINKE,Landesliste,,https://de.wikipedia.org/wiki/Datei:2018-05-24_Abgeordnete(r)_des_Landtags_von_Sachsen-Anhalt_IMG_5945_LR10_by_Stepro.jpg,https://de.wikipedia.org/wiki/Eva_von_Angern
Gottfried Backhaus,fraktionslos,40 Querfurt,"am 2. Juni 2017 aus der AfD-Fraktion[3] und am 17. Oktober 2017 aus der AfD ausgetreten, im Januar 2018 Eintritt in die blaue Partei, seit deren Auflösung am 31. Dezember 2019 parteilos",https://de.wikipedia.org/wiki/Datei:Image_of_none.svg,https://de.wikipedia.org/wiki/Gottfried_Backhaus
Katja Bahlmann,Linke,Landesliste,am 2. November 2017 nachgerückt für Matthias Höhn[4],https://de.wikipedia.org/wiki/Datei:2018-05-24_Abgeordnete(r)_des_Landtags_von_Sachsen-Anhalt_IMG_5838_LR10_by_Stepro.jpg,https://de.wikipedia.org/wiki/Katja_Bahlmann
Jürgen Barth,SPD,Landesliste,,https://de.wikipedia.org/wiki/Datei:2012-12-13_-_J%C3%BCrgen_Barth_MdL_DE-ST_-_1249.jpg,https://de.wikipedia.org/wiki/J%C3%BCrgen_Barth_(Politiker)
Frank Bommersbach,CDU,Landesliste,am 21. Februar 2018 nachgerückt für Eva Feußner[5],https://de.wikipedia.org/wiki/Datei:Image_of_none.svg,https://de.wikipedia.org/wiki/Frank_Bommersbach
Bernhard Bönisch,CDU,37 Halle III,,https://de.wikipedia.org/wiki/Datei:2012-12-13_-_Bernhard_B%C3%B6nisch_MdL_DE-ST_-_1214.jpg,https://de.wikipedia.org/wiki/Bernhard_B%C3%B6nisch
Carsten Borchert,CDU,01 Salzwedel,,https://de.wikipedia.org/wiki/Datei:2018-05-24_Abgeordnete(r)_des_Landtags_von_Sachsen-Anhalt_IMG_6120_LR10_by_Stepro.jpg,https://de.wikipedia.org/wiki/Carsten_Borchert
Siegfried Borgwardt,CDU,25 Jessen,,https://de.wikipedia.org/wiki/Datei:2012-12-13_-_Siegfried_Borgwardt_MdL_DE-ST_-_1201.jpg,https://de.wikipedia.org/wiki/Siegfried_Borgwardt
Gabriele Brakebusch,CDU,09 Oschersleben,Landtagspräsidentin (ab September 2016),https://de.wikipedia.org/wiki/Datei:Gabriele_Brakebusch.jpg,https://de.wikipedia.org/wiki/Gabriele_Brakebusch
Christina Buchheim,LINKE,22 Köthen,,https://de.wikipedia.org/wiki/Datei:2018-05-24_Abgeordnete(r)_des_Landtags_von_Sachsen-Anhalt_IMG_5813_LR10_by_Stepro.jpg,https://de.wikipedia.org/wiki/Christina_Buchheim
Matthias Büttner,AfD,17 Staßfurt,,https://de.wikipedia.org/wiki/Datei:Matthias_B%C3%BCttner_AfD.jpg,"https://de.wikipedia.org/wiki/Matthias_B%C3%BCttner_(Politiker,_1983)"
Bernhard Daldrup,CDU,15 Blankenburg,,https://de.wikipedia.org/wiki/Datei:2012-12-13_-_Bernhard_Daldrup_MdL_DE-ST_-_1154.jpg,"https://de.wikipedia.org/wiki/Bernhard_Daldrup_(Politiker,_1961)"
Jens Diederichs,fraktionslos,32 Eisleben,"am 6. Juni 2017 aus der AfD-Fraktion und der Partei ausgetreten,[6] am 13. Juni 2017 in die CDU-Fraktion aufgenommen,[7] am 2. Januar 2020 aus der CDU-Fraktion ausgetreten und der Partei Freie Wähler beigetreten[8]",https://de.wikipedia.org/wiki/Datei:2018-05-24_Jens_Diederichs-9367.jpg,https://de.wikipedia.org/wiki/Jens_Diederichs
Kerstin Eisenreich,LINKE,Landesliste,,https://de.wikipedia.org/wiki/Datei:2018-05-24_Abgeordnete(r)_des_Landtags_von_Sachsen-Anhalt_IMG_5906_LR10_by_Stepro.jpg,https://de.wikipedia.org/wiki/Kerstin_Eisenreich
Rüdiger Erben,SPD,Landesliste,,https://de.wikipedia.org/wiki/Datei:R%C3%BCdiger_Erben_2397.jpg,https://de.wikipedia.org/wiki/R%C3%BCdiger_Erben
