Name,Fraktion,Wahlkreis,Kommentar,Bild,Wikipedia-URL
Rico Anton,CDU,Erzgebirge 1,,https://de.wikipedia.org/wiki/Datei:Placeholder_staff_photo.svg,https://de.wikipedia.org/wiki/Rico_Anton
André Barth,AfD,,,https://de.wikipedia.org/wiki/Datei:Placeholder_staff_photo.svg,https://de.wikipedia.org/wiki/Andr%C3%A9_Barth
Klaus Bartl,LINKE,,,https://de.wikipedia.org/wiki/Datei:2013-12-17_-_Klaus_Bartl_-_S%C3%A4chsischer_Landtag_-_1853.jpg,https://de.wikipedia.org/wiki/Klaus_Bartl
Thomas Baum,SPD,,nachgerückt im Dezember 2014 für Stefan Brangs,https://de.wikipedia.org/wiki/Datei:2016-12-15_Thomas_Baum_(Landtagsprojekt_Sachsen)_by_Sandro_Halank%E2%80%931.jpg,https://de.wikipedia.org/wiki/Thomas_Baum_(Politiker)
Harald Baumann-Hasske,SPD,,,https://de.wikipedia.org/wiki/Datei:Harald_Baumann-Hasske_(SPD)_Landtagsprojekt_Sachsen_IMG_9339_LR10_by_Stepro.jpg,https://de.wikipedia.org/wiki/Harald_Baumann-Hasske
Mario Beger,AfD,,,https://de.wikipedia.org/wiki/Datei:Placeholder_staff_photo.svg,https://de.wikipedia.org/wiki/Mario_Beger
Lothar Bienst,CDU,Görlitz 1,,https://de.wikipedia.org/wiki/Datei:Lothar_Bienst_(CDU)_Landtagsprojekt_Sachsen_IMG_9307_LR10_by_Stepro.jpg,https://de.wikipedia.org/wiki/Lothar_Bienst
Cornelia Blattner,CDU,,nachgerückt am 27. Dezember 2017 für Günther Schneider,https://de.wikipedia.org/wiki/Datei:Placeholder_staff_photo.svg,https://de.wikipedia.org/wiki/Cornelia_Blattner
Marco Böhme,LINKE,,,https://de.wikipedia.org/wiki/Datei:Placeholder_staff_photo.svg,https://de.wikipedia.org/wiki/Marco_B%C3%B6hme
Georg-Ludwig von Breitenbuch,CDU,Leipzig Land 1,,https://de.wikipedia.org/wiki/Datei:2016-12-15_Georg_Ludwig_Breitenbuch_(Landtagsprojekt_Sachen)_by_Sandro_Halank.jpg,https://de.wikipedia.org/wiki/Georg-Ludwig_von_Breitenbuch
Nico Brünler,LINKE,,,https://de.wikipedia.org/wiki/Datei:Placeholder_staff_photo.svg,https://de.wikipedia.org/wiki/Nico_Br%C3%BCnler
Sarah Buddeberg,LINKE,,,https://de.wikipedia.org/wiki/Datei:Sarah_Buddeberg_2016_-_I_by_Jenny_Paul.jpg,https://de.wikipedia.org/wiki/Sarah_Buddeberg
Christine Clauß,CDU,Leipzig 5,,https://de.wikipedia.org/wiki/Datei:Christine_Clau%C3%9F_09.jpg,https://de.wikipedia.org/wiki/Christine_Clau%C3%9F
Robert Clemen,CDU,,nachgerückt für Alexander Krauß,https://de.wikipedia.org/wiki/Datei:Robert_Clemen_by_Stepro_IMG_1475_LR50.jpg,https://de.wikipedia.org/wiki/Robert_Clemen
Thomas Colditz,CDU,Erzgebirge 2,,https://de.wikipedia.org/wiki/Datei:2016-12-15_Thomas_Colditz_(Landtagsprojekt_Sachsen)_by_Sandro_Halank%E2%80%932.jpg,https://de.wikipedia.org/wiki/Thomas_Colditz
Alexander Dierks,CDU,Chemnitz 2,,https://de.wikipedia.org/wiki/Datei:2016-12-16_Alexander_Dierks_(Landtagsprojekt_Sachsen)_by_Sandro_Halank.jpg,https://de.wikipedia.org/wiki/Alexander_Dierks
Hannelore Dietzschold,CDU,Leipzig Land 4,,https://de.wikipedia.org/wiki/Datei:2013-12-17_-_Hannelore_Dietzschold_-_S%C3%A4chsischer_Landtag_-_1572.jpg,https://de.wikipedia.org/wiki/Hannelore_Dietzschold
Andrea Dombois,CDU,Sächsische Schweiz-Osterzgebirge 2,,https://de.wikipedia.org/wiki/Datei:Andrea_Dombois_(CDU)_Landtagsprojekt_Sachsen_IMG_9279_LR10_by_Stepro.jpg,https://de.wikipedia.org/wiki/Andrea_Dombois
Martin Dulig,SPD,,,https://de.wikipedia.org/wiki/Datei:2016-12-15_Martin_Dulig_(Landtagsprojekt_Sachsen)_by_Sandro_Halank.jpg,https://de.wikipedia.org/wiki/Martin_Dulig
Cornelia Falken,LINKE,,,https://de.wikipedia.org/wiki/Datei:Cornelia_Falken_(Die_Linke)_Landtagsprojekt_Sachsen_IMG_9330_LR10_by_Stepro.jpg,https://de.wikipedia.org/wiki/Cornelia_Falken
Antje Feiks,LINKE,,nachgerückt am 1. September 2017 für Falk Neubert,https://de.wikipedia.org/wiki/Datei:Placeholder_staff_photo.svg,https://de.wikipedia.org/wiki/Antje_Feiks
Aline Fiedler,CDU,Dresden 3,,https://de.wikipedia.org/wiki/Datei:2016-12-15_Aline_Fiedler_(Landtagsprojekt_Sachsen)_by_Sandro_Halank.jpg,https://de.wikipedia.org/wiki/Aline_Fiedler
Iris Firmenich,CDU,Mittelsachsen 3,,https://de.wikipedia.org/wiki/Datei:Iris_Firmenich_Landtag_Sachsen_by_Stepro_IMG_1807_LR50.jpg,https://de.wikipedia.org/wiki/Iris_Firmenich
Sebastian Fischer,CDU,Meißen 2,,https://de.wikipedia.org/wiki/Datei:SF_oK.jpg,https://de.wikipedia.org/wiki/Sebastian_Fischer_(Politiker)
Sabine Friedel,SPD,,,https://de.wikipedia.org/wiki/Datei:Sabine_Friedel_by_Stepro_IMG_1533_LR50.jpg,https://de.wikipedia.org/wiki/Sabine_Friedel
Oliver Fritzsche,CDU,Leipzig Land 2,,https://de.wikipedia.org/wiki/Datei:Oliver_Fritzsche_Landtag_Sachsen_by_Stepro_IMG_1797_LR50.jpg,https://de.wikipedia.org/wiki/Oliver_Fritzsche
Holger Gasse,CDU,Leipzig 7,,https://de.wikipedia.org/wiki/Datei:Gasse_Holger.jpg,https://de.wikipedia.org/wiki/Holger_Gasse
Rico Gebhardt,LINKE,,,https://de.wikipedia.org/wiki/Datei:Rico_Gebhardt_Landtag_Sachsen_by_Stepro_IMG_1840_LR50.jpg,https://de.wikipedia.org/wiki/Rico_Gebhardt
Sebastian Gemkow,CDU,Leipzig 4,,https://de.wikipedia.org/wiki/Datei:2016-12-15_Sebastian_Gemkow_(Landtagsprojekt_Sachsen)_by_Sandro_Halank%E2%80%931.jpg,https://de.wikipedia.org/wiki/Sebastian_Gemkow
Silke Grimm,AfD,,,https://de.wikipedia.org/wiki/Datei:MJK21265_Silke_Grimm.jpg,https://de.wikipedia.org/wiki/Silke_Grimm
Wolfram Günther,GRÜNE,,,https://de.wikipedia.org/wiki/Datei:MJK21282_Wolfram_G%C3%BCnther.jpg,https://de.wikipedia.org/wiki/Wolfram_G%C3%BCnther
Christian Hartmann,CDU,Dresden 1,,https://de.wikipedia.org/wiki/Datei:Christian_Hartmann_2016_by_Jenny_Paul.jpg,"https://de.wikipedia.org/wiki/Christian_Hartmann_(Politiker,_1974)"
Frank Heidan,CDU,Vogtland 1,,https://de.wikipedia.org/wiki/Datei:Frank_Heidan_2016_by_Jenny_Paul.jpg,https://de.wikipedia.org/wiki/Frank_Heidan
Andreas Heinz,CDU,Vogtland 2,,https://de.wikipedia.org/wiki/Datei:2016-12-15_Andreas_Heinz_(Landtagsprojekt_Sachsen)_by_Sandro_Halank.jpg,https://de.wikipedia.org/wiki/Andreas_Heinz_(Politiker)
Jan Hippold,CDU,Zwickau 5,,https://de.wikipedia.org/wiki/Datei:2013-12-17_-_Jan_Hippold_-_S%C3%A4chsischer_Landtag_-_1288.jpg,https://de.wikipedia.org/wiki/Jan_Hippold
Frank Hirche,CDU,Bautzen 4,,https://de.wikipedia.org/wiki/Datei:Frank_Uwe_Hirche_(Martin_Rulsch)_2.jpg,https://de.wikipedia.org/wiki/Frank_Hirche
Henning Homann,SPD,,,https://de.wikipedia.org/wiki/Datei:Henning_Homann_(Martin_Rulsch)_3.jpg,https://de.wikipedia.org/wiki/Henning_Homann
Stephan Hösl,CDU,Vogtland 4,,https://de.wikipedia.org/wiki/Datei:2016-12-15_Stephan_H%C3%B6sl_(Landtagsprojekt_Sachsen)_by_Sandro_Halank.jpg,https://de.wikipedia.org/wiki/Stephan_H%C3%B6sl
Carsten Hütter,AfD,,,https://de.wikipedia.org/wiki/Datei:Carsten_H%C3%BCtter_(AfD)_Landtagsprojekt_Sachsen_IMG_9371_LR10_by_Stepro.jpg,https://de.wikipedia.org/wiki/Carsten_H%C3%BCtter
Steve Ittershagen,CDU,Mittelsachsen 2,,https://de.wikipedia.org/wiki/Datei:MJK21227_Steve_Ittershagen.jpg,https://de.wikipedia.org/wiki/Steve_Ittershagen
René Jalaß,LINKE,,nachgerückt im Februar 2017 für Sebastian Scheel,https://de.wikipedia.org/wiki/Datei:Placeholder_staff_photo.svg,https://de.wikipedia.org/wiki/Ren%C3%A9_Jala%C3%9F
Marion Junge,LINKE,,,https://de.wikipedia.org/wiki/Datei:MJK20812_Marion_Junge.jpg,https://de.wikipedia.org/wiki/Marion_Junge
Kathrin Kagelmann,LINKE,,,https://de.wikipedia.org/wiki/Datei:Kathrin_Kagelmann_MdL.jpg,https://de.wikipedia.org/wiki/Kathrin_Kagelmann
Andrea Kersten,fraktionslos,,"am 29. September 2017 aus der AfD-Fraktion ausgetreten,[1] Übertritt zu Die blaue Partei",https://de.wikipedia.org/wiki/Datei:Andrea_Kersten_(AfD)_Landtagsprojekt_Sachsen_IMG_9295_LR10_by_Stepro.jpg,https://de.wikipedia.org/wiki/Andrea_Kersten
