Name,Fraktion,Wahlkreis,Kommentar,Bild,Wikipedia-URL
Hans-Jörn Arp,CDU,Steinburg-West,,https://de.wikipedia.org/wiki/Datei:1372-ri-67-CDU_Hans-Joern_Arp.jpg,https://de.wikipedia.org/wiki/Hans-J%C3%B6rn_Arp
Wolfgang Baasch,SPD,Lübeck-Süd,,https://de.wikipedia.org/wiki/Datei:1842-ri-129-SPD_Wolfgang_Baasch.jpg,https://de.wikipedia.org/wiki/Wolfgang_Baasch
Marret Bohn,GRÜNE,Listenmandat,,https://de.wikipedia.org/wiki/Datei:Marret_Bohn_(2016).jpg,https://de.wikipedia.org/wiki/Marret_Bohn
Dennys Bornhöft,FDP,Listenmandat,,https://de.wikipedia.org/wiki/Datei:Dennys_Bornh%C3%B6ft_WackenOpenAir_2018_Urheber_Dennys_Bornh%C3%B6ft_Selbst_SELFIE_2a.png,https://de.wikipedia.org/wiki/Dennys_Bornh%C3%B6ft
Tim Brockmann,CDU,Plön-Ostholstein,,https://de.wikipedia.org/wiki/Datei:Tim_Brockmann_Plenum.jpg,https://de.wikipedia.org/wiki/Tim_Brockmann
Frank Brodehl,fraktionslos,Listenmandat,am 25. September 2020 aus AfD-Fraktion ausgetreten[7],https://de.wikipedia.org/wiki/Datei:Placeholder_staff_photo.svg,https://de.wikipedia.org/wiki/Frank_Brodehl
Johannes Callsen,CDU,Schleswig,,https://de.wikipedia.org/wiki/Datei:1922-ri-166-CDU_Johannes_Callsen.jpg,https://de.wikipedia.org/wiki/Johannes_Callsen
Claus Christian Claussen,CDU,Stormarn,,https://de.wikipedia.org/wiki/Datei:Claus_christian_claussen_foto_landtag.jpg,https://de.wikipedia.org/wiki/Claus_Christian_Claussen
Christian Dirschauer,SSW,Listenmandat,am 1. August 2020 nachgerückt für Flemming Meyer,https://de.wikipedia.org/wiki/Datei:Placeholder_staff_photo.svg,https://de.wikipedia.org/wiki/Christian_Dirschauer
Kai Dolgner,SPD,Listenmandat,,https://de.wikipedia.org/wiki/Datei:13-08-22-kai-dolgner-01.jpg,https://de.wikipedia.org/wiki/Kai_Dolgner
Heiner Dunckel,SPD,Flensburg,,https://de.wikipedia.org/wiki/Datei:HeinerDunckelLandtagSH.jpg,https://de.wikipedia.org/wiki/Heiner_Dunckel
Kirsten Eickhoff-Weber,SPD,Listenmandat,,https://de.wikipedia.org/wiki/Datei:2005-ri-182-Kirsten_Eickhoff-Weber_SPD.jpg,https://de.wikipedia.org/wiki/Kirsten_Eickhoff-Weber
Wolf Rüdiger Fehrs,CDU,Neumünster,,https://de.wikipedia.org/wiki/Datei:Fehrs-landtag.jpg,https://de.wikipedia.org/wiki/Wolf_R%C3%BCdiger_Fehrs
Maria-Elisabeth Fritzen,GRÜNE,Listenmandat,,https://de.wikipedia.org/wiki/Datei:Marlies_Fritzen.png,https://de.wikipedia.org/wiki/Maria-Elisabeth_Fritzen
Hauke Göttsch,CDU,Rendsburg-Ost,,https://de.wikipedia.org/wiki/Datei:1260-ri-5-CDU_Hauke_Goettsch.jpg,https://de.wikipedia.org/wiki/Hauke_G%C3%B6ttsch
Daniel Günther,CDU,Eckernförde,Ministerpräsident,https://de.wikipedia.org/wiki/Datei:1320-ri-40-CDU_Daniel_Guenther.jpg,https://de.wikipedia.org/wiki/Daniel_G%C3%BCnther
