Name,Fraktion,Wahlkreis,Kommentar,Bild,Wikipedia-URL
René Aust,AfD,Schmalkalden-Meiningen II,,https://de.wikipedia.org/wiki/Datei:Ren%C3%A9_Aust_(2019).jpg,https://de.wikipedia.org/wiki/Ren%C3%A9_Aust
Franziska Baum,FDP,Landesliste,,https://de.wikipedia.org/wiki/Datei:Image_of_none.svg,https://de.wikipedia.org/wiki/Franziska_Baum
Patrick Beier,LINKE,Landesliste,,https://de.wikipedia.org/wiki/Datei:Image_of_none.svg,https://de.wikipedia.org/wiki/Patrick_Beier
Ute Bergner,FDP,Landesliste,,https://de.wikipedia.org/wiki/Datei:Image_of_none.svg,https://de.wikipedia.org/wiki/Ute_Bergner
Dirk Bergner,FDP,Landesliste,Landtagsvizepräsident,https://de.wikipedia.org/wiki/Datei:2011_05_19_-_Landtagsprojekt_Erfurt_(0732).jpg,https://de.wikipedia.org/wiki/Dirk_Bergner
Sascha Bilay,LINKE,Landesliste,,https://de.wikipedia.org/wiki/Datei:Image_of_none.svg,https://de.wikipedia.org/wiki/Sascha_Bilay
André Blechschmidt,LINKE,Erfurt IV,,https://de.wikipedia.org/wiki/Datei:Landtag_Erfurt_2011-05-18_mnII_(37).JPG,https://de.wikipedia.org/wiki/Andr%C3%A9_Blechschmidt
Torben Braga,AfD,Landesliste,,https://de.wikipedia.org/wiki/Datei:Image_of_none.svg,https://de.wikipedia.org/wiki/Torben_Braga
Andreas Bühl,CDU,Ilm-Kreis I,,https://de.wikipedia.org/wiki/Datei:Landtagsprojekt_Th%C3%BCringen_2016_Andreas_B%C3%BChl_IMG_9774_LR10_by_Stepro.jpg,https://de.wikipedia.org/wiki/Andreas_B%C3%BChl
Jens Cotta,AfD,Kyffhäuserkreis II,,https://de.wikipedia.org/wiki/Datei:Image_of_none.svg,https://de.wikipedia.org/wiki/Jens_Cotta
Torsten Czuppon,AfD,Sömmerda II,,https://de.wikipedia.org/wiki/Datei:Image_of_none.svg,https://de.wikipedia.org/wiki/Torsten_Czuppon
Steffen Dittes,LINKE,Weimar II,Fraktionsvorsitzender,https://de.wikipedia.org/wiki/Datei:Dittes.jpg,https://de.wikipedia.org/wiki/Steffen_Dittes
Cordula Eger,LINKE,Landesliste,,https://de.wikipedia.org/wiki/Datei:Image_of_none.svg,https://de.wikipedia.org/wiki/Cordula_Eger
Volker Emde,CDU,Greiz I,,https://de.wikipedia.org/wiki/Datei:Volker_Emde.jpg,https://de.wikipedia.org/wiki/Volker_Emde
Kati Engel,LINKE,Landesliste,,https://de.wikipedia.org/wiki/Datei:Landtagsprojekt_Th%C3%BCringen_2016_Kati_Engel_IMG_9764_LR10_by_Stepro.jpg,https://de.wikipedia.org/wiki/Kati_Engel
Karlheinz Frosch,AfD,Saalfeld-Rudolstadt I,Alterspräsident,https://de.wikipedia.org/wiki/Datei:Image_of_none.svg,https://de.wikipedia.org/wiki/Karlheinz_Frosch
Markus Gleichmann,LINKE,Landesliste,,https://de.wikipedia.org/wiki/Datei:Image_of_none.svg,https://de.wikipedia.org/wiki/Markus_Gleichmann
Thomas Gottweiss,CDU,Weimar I – Weimarer Land II,,https://de.wikipedia.org/wiki/Datei:Image_of_none.svg,https://de.wikipedia.org/wiki/Thomas_Gottweiss
Birger Gröning,AfD,Gotha I,,https://de.wikipedia.org/wiki/Datei:Image_of_none.svg,https://de.wikipedia.org/wiki/Birger_Gr%C3%B6ning
Lena Saniye Güngör,LINKE,Landesliste,,"https://de.wikipedia.org/wiki/Datei:2020-03-04_Th%C3%BCringer_Landtag,_erneute_Wahl_des_Ministerpr%C3%A4sidenten_1DX_2804_by_Stepro.jpg",https://de.wikipedia.org/wiki/Lena_Saniye_G%C3%BCng%C3%B6r
Ronald Hande,LINKE,Landesliste,,https://de.wikipedia.org/wiki/Datei:Image_of_none.svg,https://de.wikipedia.org/wiki/Ronald_Hande
Thomas Hartung,SPD,Landesliste,am 5. Dezember 2019 nachgerückt für Wolfgang Tiefensee,https://de.wikipedia.org/wiki/Datei:Landtag_Erfurt_2011-05-18_mnII_(58).JPG,https://de.wikipedia.org/wiki/Thomas_Hartung_(Politiker)
Madeleine Henfling,GRÜNE,Landesliste,Landtagsvizepräsidentin (ab 14. Mai 2020),https://de.wikipedia.org/wiki/Datei:Landtagsprojekt_Th%C3%BCringen_Madeleine_Henfling_by_Olaf_Kosinsky-3.jpg,https://de.wikipedia.org/wiki/Madeleine_Henfling
Jörg Henke,AfD,Landesliste,,https://de.wikipedia.org/wiki/Datei:J%C3%B6rg_Henke.jpg,https://de.wikipedia.org/wiki/J%C3%B6rg_Henke
Martin Henkel,CDU,Wartburgkreis I,,https://de.wikipedia.org/wiki/Datei:Martin_Henkel_MdL.jpg,https://de.wikipedia.org/wiki/Martin_Henkel_(Politiker)
Susanne Hennig-Wellsow,LINKE,Erfurt II,,https://de.wikipedia.org/wiki/Datei:2011-05-18-landtagsprojekt-erfurt-107.jpg,https://de.wikipedia.org/wiki/Susanne_Hennig-Wellsow
Corinna Herold,AfD,Landesliste,,https://de.wikipedia.org/wiki/Datei:Corinna_Herold.jpg,https://de.wikipedia.org/wiki/Corinna_Herold
Christian Herrgott,CDU,Saale-Orla-Kreis II,,https://de.wikipedia.org/wiki/Datei:Landtagsprojekt_Th%C3%BCringen_2016_Christian_Herrgott_IMG_9924_LR10_by_Stepro.jpg,https://de.wikipedia.org/wiki/Christian_Herrgott
Matthias Hey,SPD,Gotha II,Fraktionsvorsitzender,https://de.wikipedia.org/wiki/Datei:Matthias_Hey_Landtag_Th%C3%BCringen_19.05.11.jpg,https://de.wikipedia.org/wiki/Matthias_Hey
Michael Heym,CDU,Schmalkalden-Meiningen I,,"https://de.wikipedia.org/wiki/Datei:2020-03-04_Th%C3%BCringer_Landtag,_erneute_Wahl_des_Ministerpr%C3%A4sidenten_1DX_2878_by_Stepro.jpg",https://de.wikipedia.org/wiki/Michael_Heym
Björn Höcke,AfD,Landesliste,Fraktionsvorsitzender,https://de.wikipedia.org/wiki/Datei:2019-10-27_Wahlabend_Th%C3%BCringen_by_Sandro_Halank%E2%80%9388.jpg,https://de.wikipedia.org/wiki/Bj%C3%B6rn_H%C3%B6cke
Nadine Hoffmann,AfD,Hildburghausen I – Schmalkalden-Meiningen III,,https://de.wikipedia.org/wiki/Datei:Image_of_none.svg,https://de.wikipedia.org/wiki/Nadine_Hoffmann
Denny Jankowski,AfD,Landesliste,,https://de.wikipedia.org/wiki/Datei:Image_of_none.svg,https://de.wikipedia.org/wiki/Denny_Jankowski
