Name,Fraktion,Geschlecht,Twitter_screen_name,Twitter_id,Parlament
"Kazim Abaci",SPD,männlich,KazimAbaci,397443675,"Hamburgische Bürgerschaft"
"Jasmina Abo-El-Hemam Heritani",SPD,weiblich,,,"Bremische Bürgerschaft"
"Doris Maria Achelwilm","DIE LINKE",weiblich,doris_achelwilm,4819478705,Bundestag
"Dirk Adams","Bündnis 90/Die Grünen",männlich,GruenerDirk,1227578366,"Thüringer Landtag"
"Thomas Adasch",CDU,männlich,,,"Niedersächsischer Landtag"
"Klaus Adelt",SPD,männlich,KlausAdelt,192203257,"Bayerischer Landtag"
"Benjamin Adjei","Bündnis 90/Die Grünen",männlich,benniadjei,1063007310996480000,"Bayerischer Landtag"
"Uwe Adler",SPD,männlich,,,"Landtag Brandenburg"
"Dirk Adomat",SPD,männlich,,,"Niedersächsischer Landtag"
"Grigorios Aggelidis",FDP,männlich,,,Bundestag
"Jens Ahnemüller",Fraktionslos,männlich,,,"Landtag Rheinland-Pfalz"
"Doris Ahnen",SPD,weiblich,,,"Landtag Rheinland-Pfalz"
"Jens Ahrends",AfD,männlich,JeAhr711,376950979,"Niedersächsischer Landtag"
"Sandra Ahrens",CDU,weiblich,SandraAhrens,256503377,"Bremische Bürgerschaft"
"Ilse Aigner",CSU,weiblich,IlseAigner,4060082415,"Bayerischer Landtag"
"Hubert Aiwanger","Freie Wähler",männlich,HubertAiwanger,702495475275079680,"Bayerischer Landtag"
"Gökay Akbulut","DIE LINKE",weiblich,goekayakbulut,4594081419,Bundestag
"Stephan Albani",CDU,männlich,,,Bundestag
"Wolfgang Albers","DIE LINKE",männlich,,,"Abgeordnetenhaus von Berlin"
"Rainer Albrecht",SPD,männlich,,,"Landtag Mecklenburg-Vorpommern"
"Wolfgang Aldag","Bündnis 90/Die Grünen",männlich,wolfgangaldag,2209961105,"Landtag Sachsen-Anhalt"
"Ulrike Alex",SPD,weiblich,UAlexMdL,1169613384,"Hessischer Landtag"
"Renata Alt",FDP,weiblich,,,Bundestag
"Britta Altenkamp",SPD,weiblich,,,"Landtag Nordrhein-Westfalen"
"Norbert Maria Altenkamp",CDU,männlich,,,Bundestag
"Dr Bernd Althusmann",CDU,männlich,althusmann,777476473187958785,"Niedersächsischer Landtag"
"Peter Altmaier",CDU,männlich,peteraltmaier,378693834,Bundestag
"Turgut Altug","Bündnis 90/Die Grünen",männlich,DrTurgutAltug,1074444199,"Abgeordnetenhaus von Berlin"
"Tarek Al-Wazir","Bündnis 90/Die Grünen",männlich,talwazir,1361302316,"Hessischer Landtag"
"Philipp Amthor",CDU,männlich,,,Bundestag
"Luise Amtsberg","Bündnis 90/Die Grünen",weiblich,,,Bundestag
"Kathrin Anders","Bündnis 90/Die Grünen",weiblich,kathrin_anders,1257763741,"Hessischer Landtag"
