Name,Fraktion,Wahlkreis,Kommentar,Bild,Wikipedia-URL
Wolfgang Albers,LINKE,Lichtenberg 2,,https://de.wikipedia.org/wiki/Datei:2017-11-16_Wolfgang_Albers_by_Sandro_Halank.jpg,https://de.wikipedia.org/wiki/Wolfgang_Albers_(Politiker)
Turgut Altuğ,GRÜNE,Friedrichshain-Kreuzberg 3,,https://de.wikipedia.org/wiki/Datei:Turgut_Altu%C4%9F_(Martin_Rulsch)_1.jpg,https://de.wikipedia.org/wiki/Turgut_Altu%C4%9F
Jeannette Auricht,AfD,Landesliste,,https://de.wikipedia.org/wiki/Datei:Placeholder_staff_photo.svg,https://de.wikipedia.org/wiki/Jeannette_Auricht
Hanno Bachmann,AfD,Landesliste,,https://de.wikipedia.org/wiki/Datei:Placeholder_staff_photo.svg,https://de.wikipedia.org/wiki/Hanno_Bachmann
Sabine Bangert,GRÜNE,Landesliste,,https://de.wikipedia.org/wiki/Datei:2017-11-16_Sabine_Bangert_by_Sandro_Halank.jpg,https://de.wikipedia.org/wiki/Sabine_Bangert
Franziska Becker,SPD,Charlottenburg-Wilmersdorf 6,,https://de.wikipedia.org/wiki/Datei:AGH_Berlin_10-2013_img03_Franziska_Becker.jpg,https://de.wikipedia.org/wiki/Franziska_Becker_(Politikerin)
Hans-Joachim Berg,AfD,Landesliste,,https://de.wikipedia.org/wiki/Datei:2017-11-16_Hans-Joachim_Berg_by_Sandro_Halank.jpg,https://de.wikipedia.org/wiki/Hans-Joachim_Berg
Philipp Bertram,LINKE,Landesliste,am 1. Februar 2017 nachgerückt für Katrin Lompscher,"https://de.wikipedia.org/wiki/Datei:Philipp_Bertram,_Linke_(Martin_Rulsch)_2017-11-16.jpg","https://de.wikipedia.org/wiki/Philipp_Bertram_(Politiker,_1991)"
Jessica Bießmann,Fraktionslos,Marzahn-Hellersdorf 3,am 6. November 2018 aus der AfD-Fraktion ausgeschlossen[1],https://de.wikipedia.org/wiki/Datei:Placeholder_staff_photo.svg,https://de.wikipedia.org/wiki/Jessica_Bie%C3%9Fmann
Daniela Billig,GRÜNE,,am 5. Februar 2018 nachgerückt für Canan Bayram,"https://de.wikipedia.org/wiki/Datei:Daniela_Billig,_MdA.jpg",https://de.wikipedia.org/wiki/Daniela_Billig
Carola Bluhm,LINKE,Mitte 2,Fraktionsvorsitzende,https://de.wikipedia.org/wiki/Datei:2017-11-16_Carola_Bluhm_by_Sandro_Halank.jpg,https://de.wikipedia.org/wiki/Carola_Bluhm
Nicola Böcker-Giannini,SPD,Bezirksliste Neukölln,am 6. März 2018 nachgerückt für Karin Korte,https://de.wikipedia.org/wiki/Datei:Placeholder_staff_photo.svg,https://de.wikipedia.org/wiki/Nicola_B%C3%B6cker-Giannini
Kristin Brinker,AfD,Landesliste,,"https://de.wikipedia.org/wiki/Datei:Kristin_Brinker,_AfD_(Martin_Rulsch)_2017-11-16.jpg",https://de.wikipedia.org/wiki/Kristin_Brinker
Hugh Bronson,AfD,Landesliste,,"https://de.wikipedia.org/wiki/Datei:Hugh_Bronson,_AfD_(Martin_Rulsch)_2017-11-16_1.jpg",https://de.wikipedia.org/wiki/Hugh_Bronson
Franziska Brychcy,LINKE,Landesliste,,"https://de.wikipedia.org/wiki/Datei:Franziska_Brychcy,_Linke_(Martin_Rulsch)_2017-11-16.jpg",https://de.wikipedia.org/wiki/Franziska_Brychcy
Christian Buchholz,AfD,Pankow 1,,https://de.wikipedia.org/wiki/Datei:Placeholder_staff_photo.svg,https://de.wikipedia.org/wiki/Christian_Buchholz
Daniel Buchholz,SPD,Spandau 3,,https://de.wikipedia.org/wiki/Datei:Daniel_Buchholz_(Martin_Rulsch)_1.jpg,https://de.wikipedia.org/wiki/Daniel_Buchholz
Dennis Buchner,SPD,Pankow 4,,"https://de.wikipedia.org/wiki/Datei:Dennis_Buchner,_SPD_(Martin_Rulsch)_2017-11-16_2.jpg",https://de.wikipedia.org/wiki/Dennis_Buchner
Marianne Burkert-Eulitz,GRÜNE,Friedrichshain-Kreuzberg 2,,https://de.wikipedia.org/wiki/Datei:AGH_Berlin_10-2013_img31_Marianne_Burkert-Eulitz.jpg,https://de.wikipedia.org/wiki/Marianne_Burkert-Eulitz
Derya Çağlar,SPD,Neukölln 4,,"https://de.wikipedia.org/wiki/Datei:Derya_%C3%87a%C4%9Flar,_SPD_(Martin_Rulsch)_2017-11-16.jpg",https://de.wikipedia.org/wiki/Derya_%C3%87a%C4%9Flar
Mario Czaja,CDU,Marzahn-Hellersdorf 5,,https://de.wikipedia.org/wiki/Datei:2017-11-16_Mario_Czaja_by_Sandro_Halank.jpg,https://de.wikipedia.org/wiki/Mario_Czaja
Sebastian Czaja,FDP,Bezirksliste Steglitz-Zehlendorf,Fraktionsvorsitzender,https://de.wikipedia.org/wiki/Datei:Sebastian_Czaja_2016.jpg,https://de.wikipedia.org/wiki/Sebastian_Czaja
Ina Czyborra,SPD,Bezirksliste Steglitz-Zehlendorf,,https://de.wikipedia.org/wiki/Datei:2017-11-16_Ina_Czyborra_by_Sandro_Halank.jpg,https://de.wikipedia.org/wiki/Ina_Czyborra
Emine Demirbüken-Wegner,CDU,Reinickendorf 2,,https://de.wikipedia.org/wiki/Datei:2017-11-16_Emine_Demirbr%C3%BCcken-Wegner_(Wiki_Loves_Parliaments_2017_in_Berlin)_by_Sandro_Halank%E2%80%932.jpg,https://de.wikipedia.org/wiki/Emine_Demirb%C3%BCken-Wegner
Michael Dietmann,CDU,Reinickendorf 5,,https://de.wikipedia.org/wiki/Datei:2016-12-08_Plenarsitzung_Abgeordnetenhaus_Berlin_by_Sandro_Halank%E2%80%9325.jpg,https://de.wikipedia.org/wiki/Michael_Dietmann
Florian Dörstelmann,SPD,Charlottenburg-Wilmersdorf 7,,https://de.wikipedia.org/wiki/Datei:Placeholder_staff_photo.svg,https://de.wikipedia.org/wiki/Florian_D%C3%B6rstelmann
Bettina Domer,SPD,Spandau 1,,https://de.wikipedia.org/wiki/Datei:Placeholder_staff_photo.svg,https://de.wikipedia.org/wiki/Bettina_Domer
Burkard Dregger,CDU,Reinickendorf 1,Fraktionsvorsitzender,"https://de.wikipedia.org/wiki/Datei:Burkard_Dregger,_CDU_(Martin_Rulsch)_2017-11-16.jpg",https://de.wikipedia.org/wiki/Burkard_Dregger
Lars Düsterhöft,SPD,Treptow-Köpenick 2,,https://de.wikipedia.org/wiki/Datei:Placeholder_staff_photo.svg,https://de.wikipedia.org/wiki/Lars_D%C3%BCsterh%C3%B6ft
Michael Efler,LINKE,Landesliste,,"https://de.wikipedia.org/wiki/Datei:Michael_Efler,_Linke_(Martin_Rulsch)_2017-11-16_3.jpg",https://de.wikipedia.org/wiki/Michael_Efler
Stefan Evers,CDU,Bezirksliste Charlottenburg-Wilmersdorf,,"https://de.wikipedia.org/wiki/Datei:Stefan_Evers,_CDU_(Martin_Rulsch)_2017-11-16_1.jpg",https://de.wikipedia.org/wiki/Stefan_Evers
Stefan Förster,FDP,Bezirksliste Treptow-Köpenick,,"https://de.wikipedia.org/wiki/Datei:Stefan_F%C3%B6rster,_FDP_(Martin_Rulsch)_2017-11-16.jpg",https://de.wikipedia.org/wiki/Stefan_F%C3%B6rster_(Politiker)
Paul Fresdorf,FDP,Bezirksliste Spandau,,"https://de.wikipedia.org/wiki/Datei:Paul_Fresdorf,_FDP_(Martin_Rulsch)_2017-11-16.jpg",https://de.wikipedia.org/wiki/Paul_Fresdorf
Danny Freymark,CDU,Bezirksliste Lichtenberg,,https://de.wikipedia.org/wiki/Datei:2017-11-16_Danny_Freymark_by_Sandro_Halank%E2%80%931.jpg,https://de.wikipedia.org/wiki/Danny_Freymark
Oliver Friederici,CDU,Steglitz-Zehlendorf 5,,https://de.wikipedia.org/wiki/Datei:Oliver_Friederici_(Martin_Rulsch)_1.jpg,https://de.wikipedia.org/wiki/Oliver_Friederici
Stefanie Fuchs,LINKE,Landesliste,,"https://de.wikipedia.org/wiki/Datei:Stefanie_Fuchs,_Linke_(Martin_Rulsch)_2017-11-16.jpg",https://de.wikipedia.org/wiki/Stefanie_Fuchs
Silke Gebel,GRÜNE,Landesliste,Fraktionsvorsitzende,https://de.wikipedia.org/wiki/Datei:AGH_Berlin_10-2013_img04_Silke_Gebel.jpg,https://de.wikipedia.org/wiki/Silke_Gebel
Andreas Geisel,SPD,Bezirksliste Lichtenberg,Senator für Inneres und Sport,https://de.wikipedia.org/wiki/Datei:2017_UEC_Track_Elite_European_Championships_002.jpg,https://de.wikipedia.org/wiki/Andreas_Geisel
Katalin Gennburg,LINKE,Treptow-Köpenick 1,,https://de.wikipedia.org/wiki/Datei:2017-03-23_Katalin_Gennburg_by_Sandro_Halank.jpg,https://de.wikipedia.org/wiki/Katalin_Gennburg
Harald Gindra,LINKE,Landesliste,,https://de.wikipedia.org/wiki/Datei:2017-11-16_Harald_Gindra_by_Sandro_Halank.jpg,https://de.wikipedia.org/wiki/Harald_Gindra
Ronald Gläser,AfD,Landesliste,,https://de.wikipedia.org/wiki/Datei:Placeholder_staff_photo.svg,https://de.wikipedia.org/wiki/Ronald_Gl%C3%A4ser
Christian Goiny,CDU,Steglitz-Zehlendorf 3,,https://de.wikipedia.org/wiki/Datei:Placeholder_staff_photo.svg,https://de.wikipedia.org/wiki/Christian_Goiny
Gabriele Gottwald,LINKE,Landesliste,am 1. Februar 2017 nachgerückt für Elke Breitenbach,https://de.wikipedia.org/wiki/Datei:Placeholder_staff_photo.svg,https://de.wikipedia.org/wiki/Gabriele_Gottwald
Christian Gräff,CDU,Marzahn-Hellersdorf 4,,"https://de.wikipedia.org/wiki/Datei:Christian_Gr%C3%A4ff,_CDU_(Martin_Rulsch)_2017-11-16.jpg",https://de.wikipedia.org/wiki/Christian_Gr%C3%A4ff
