Name,Fraktion,Wahlkreis,Kommentar,Bild,Wikipedia-URL
Uwe Adler,SPD,Potsdam-Mittelmark III/Potsdam III,,https://de.wikipedia.org/wiki/Datei:Image_of_none.svg,https://de.wikipedia.org/wiki/Uwe_Adler_(Politiker)
Kristy Augustin,CDU,Landesliste,,https://de.wikipedia.org/wiki/Datei:16-03-10-Kristy-Augustin_RR26959.jpg,https://de.wikipedia.org/wiki/Kristy_Augustin
Günter Baaske,SPD,Potsdam-Mittelmark II,,https://de.wikipedia.org/wiki/Datei:G%C3%BCnter_Baaske_2012.jpg,https://de.wikipedia.org/wiki/G%C3%BCnter_Baaske
Ortwin Baier,SPD,Teltow-Fläming III,,https://de.wikipedia.org/wiki/Datei:Image_of_none.svg,https://de.wikipedia.org/wiki/Ortwin_Baier
Helmut Barthel,SPD,Teltow-Fläming I,,https://de.wikipedia.org/wiki/Datei:16-03-10-Helmut-Barthel_RR27204.jpg,https://de.wikipedia.org/wiki/Helmut_Barthel
Sabine Barthel,AfD,Uckermark III/Oberhavel IV,,https://de.wikipedia.org/wiki/Datei:Image_of_none.svg,https://de.wikipedia.org/wiki/Sabine_Barthel
Hans-Christoph Berndt,AfD,Dahme-Spreewald III,,https://de.wikipedia.org/wiki/Datei:Image_of_none.svg,https://de.wikipedia.org/wiki/Hans-Christoph_Berndt
Birgit Bessin,AfD,Landesliste,,https://de.wikipedia.org/wiki/Datei:Landtagsprojekt_Brandenburg_Plenum_by_Olaf_Kosinsky-14_(cropped).jpg,https://de.wikipedia.org/wiki/Birgit_Bessin
Mike Bischoff,SPD,Uckermark II,,https://de.wikipedia.org/wiki/Datei:16-03-09-Mike-Bischoff_RR26435.jpg,https://de.wikipedia.org/wiki/Mike_Bischoff
Marlen Block,DIE LINKE,Landesliste,,https://de.wikipedia.org/wiki/Datei:Image_of_none.svg,https://de.wikipedia.org/wiki/Marlen_Block
Frank Bommert,CDU,Landesliste,,https://de.wikipedia.org/wiki/Datei:2019-09-03_Frank-Bommert-2018-by-Frank-Bommert-and-Marcel-Ruffert.jpg,https://de.wikipedia.org/wiki/Frank_Bommert
Steeven Bretz,CDU,Landesliste,,https://de.wikipedia.org/wiki/Datei:Portr%C3%A4t_Steeven_Bretz_Landesparteitag_CDU_Brandenburg_Mai_2019.jpg,https://de.wikipedia.org/wiki/Steeven_Bretz
Julian Brüning,CDU,Landesliste,,https://de.wikipedia.org/wiki/Datei:Image_of_none.svg,https://de.wikipedia.org/wiki/Julian_Br%C3%BCning
Petra Budke,GRÜNE,Landesliste,,https://de.wikipedia.org/wiki/Datei:Image_of_none.svg,https://de.wikipedia.org/wiki/Petra_Budke
Ricarda Budke,GRÜNE,Landesliste,nachgerückt am 7. Januar 2020 für Axel Vogel,https://de.wikipedia.org/wiki/Datei:Image_of_none.svg,https://de.wikipedia.org/wiki/Ricarda_Budke
Andreas Büttner,DIE LINKE,Landesliste,,https://de.wikipedia.org/wiki/Datei:Andreas_B%C3%BCttner_2009_Europaparteitag_FDP.jpg,https://de.wikipedia.org/wiki/Andreas_B%C3%BCttner_(Politiker)
Sahra Damus,GRÜNE,Landesliste,,https://de.wikipedia.org/wiki/Datei:Image_of_none.svg,https://de.wikipedia.org/wiki/Sahra_Damus
Kathrin Dannenberg,DIE LINKE,Landesliste,,https://de.wikipedia.org/wiki/Datei:16-03-10-Kathrin-Dannenberg_RR27060.jpg,https://de.wikipedia.org/wiki/Kathrin_Dannenberg
Thomas Domres,DIE LINKE,Landesliste,,https://de.wikipedia.org/wiki/Datei:16-03-09-Thomas-Domres_RR26662.jpg,https://de.wikipedia.org/wiki/Thomas_Domres
Peter Drenske,AfD,Elbe-Elster I,,https://de.wikipedia.org/wiki/Datei:Image_of_none.svg,https://de.wikipedia.org/wiki/Peter_Drenske
Lena Duggen,AfD,Landesliste,,https://de.wikipedia.org/wiki/Datei:Image_of_none.svg,https://de.wikipedia.org/wiki/Lena_Duggen
Danny Eichelbaum,CDU,Landesliste,,https://de.wikipedia.org/wiki/Datei:Danny_Eichelbaum_2016.jpg,https://de.wikipedia.org/wiki/Danny_Eichelbaum
Tina Fischer,SPD,Dahme-Spreewald I,,https://de.wikipedia.org/wiki/Datei:Image_of_none.svg,https://de.wikipedia.org/wiki/Tina_Fischer_(Politikerin)
Bettina Fortunato,DIE LINKE,Landesliste,,https://de.wikipedia.org/wiki/Datei:Image_of_none.svg,https://de.wikipedia.org/wiki/Bettina_Fortunato
Johannes Funke,SPD,Havelland I,parteiloses Mitglied der SPD-Fraktion,https://de.wikipedia.org/wiki/Datei:Image_of_none.svg,https://de.wikipedia.org/wiki/Johannes_Funke
Andreas Galau,AfD,Landesliste,,https://de.wikipedia.org/wiki/Datei:Landtagsprojekt_Brandenburg_Andreas_Galau_by_Olaf_Kosinsky.jpg,https://de.wikipedia.org/wiki/Andreas_Galau
Thomas von Gizycki,GRÜNE,Landesliste,,https://de.wikipedia.org/wiki/Datei:Image_of_none.svg,https://de.wikipedia.org/wiki/Thomas_von_Gizycki
Christian Görke,DIE LINKE,Landesliste,,https://de.wikipedia.org/wiki/Datei:16-03-09-Christian-G%C3%B6rke_RR26732.jpg,https://de.wikipedia.org/wiki/Christian_G%C3%B6rke
Inka Gossmann-Reetz,SPD,Oberhavel II,,https://de.wikipedia.org/wiki/Datei:Landtagsprojekt_Brandenburg_Inka_Gossmann-Reetz_by_Olaf_Kosinsky.jpg,https://de.wikipedia.org/wiki/Inka_Gossmann-Reetz
Lars Günther,AfD,Märkisch-Oderland III,,https://de.wikipedia.org/wiki/Datei:Image_of_none.svg,https://de.wikipedia.org/wiki/Lars_G%C3%BCnther_(Politiker)
Michael Hanko,AfD,Spree-Neiße II,,https://de.wikipedia.org/wiki/Datei:Image_of_none.svg,https://de.wikipedia.org/wiki/Michael_Hanko
Isabell Hiekel,GRÜNE,Landesliste,,https://de.wikipedia.org/wiki/Datei:Image_of_none.svg,https://de.wikipedia.org/wiki/Isabell_Hiekel
Elske Hildebrandt,SPD,Märkisch-Oderland II,,https://de.wikipedia.org/wiki/Datei:Image_of_none.svg,https://de.wikipedia.org/wiki/Elske_Hildebrandt
Gordon Hoffmann,CDU,Landesliste,,"https://de.wikipedia.org/wiki/Datei:KAS-Hoffmann,_Gordon-Bild-35518-2.jpg",https://de.wikipedia.org/wiki/Gordon_Hoffmann
Dennis Hohloch,AfD,Landesliste,,https://de.wikipedia.org/wiki/Datei:Image_of_none.svg,https://de.wikipedia.org/wiki/Dennis_Hohloch
Rolf-Peter Hooge,AfD,Oder-Spree III,,https://de.wikipedia.org/wiki/Datei:Image_of_none.svg,https://de.wikipedia.org/wiki/Rolf-Peter_Hooge
Lars Hünich,AfD,Landesliste,,https://de.wikipedia.org/wiki/Datei:Image_of_none.svg,https://de.wikipedia.org/wiki/Lars_H%C3%BCnich
Andrea Johlige,DIE LINKE,Landesliste,,https://de.wikipedia.org/wiki/Datei:16-03-10-Andrea-Johlige_RR27161.jpg,https://de.wikipedia.org/wiki/Andrea_Johlige
Steffen John,AfD,Barnim III,,https://de.wikipedia.org/wiki/Datei:20-01-22-Steffen-John-MdL_DSF5623.jpg,https://de.wikipedia.org/wiki/Steffen_John_(Politiker)
Andreas Kalbitz,AfD,Landesliste,parteiloses Mitglied der AfD-Fraktion,https://de.wikipedia.org/wiki/Datei:Andreas_Kalbitz_2016_(2).jpg,https://de.wikipedia.org/wiki/Andreas_Kalbitz
Daniel Keller,SPD,Potsdam II,,https://de.wikipedia.org/wiki/Datei:Image_of_none.svg,https://de.wikipedia.org/wiki/Daniel_Keller
Heiner Klemp,GRÜNE,Landesliste,,https://de.wikipedia.org/wiki/Datei:20-01-22-Heiner-Klemp-MdL_DSF5513_1.jpg,https://de.wikipedia.org/wiki/Heiner_Klemp
Carla Kniestedt,GRÜNE,Landesliste,nachgerückt am 3. Dezember 2019 für Ursula Nonnemacher,https://de.wikipedia.org/wiki/Datei:Image_of_none.svg,https://de.wikipedia.org/wiki/Carla_Kniestedt
Britta Kornmesser,SPD,Brandenburg an der Havel II,,https://de.wikipedia.org/wiki/Datei:Image_of_none.svg,https://de.wikipedia.org/wiki/Britta_Kornmesser
Ronny Kretschmer,DIE LINKE,Landesliste,,https://de.wikipedia.org/wiki/Datei:Image_of_none.svg,https://de.wikipedia.org/wiki/Ronny_Kretschmer
Steffen Kubitzki,AfD,Landesliste,,https://de.wikipedia.org/wiki/Datei:Image_of_none.svg,https://de.wikipedia.org/wiki/Steffen_Kubitzki
Björn Lakenmacher,CDU,Landesliste,,https://de.wikipedia.org/wiki/Datei:16-03-09-Bj%C3%B6rn-Lakenmacher_RR26508.jpg,https://de.wikipedia.org/wiki/Bj%C3%B6rn_Lakenmacher
Katrin Lange,SPD,Prignitz II/Ostprignitz-Ruppin II,,https://de.wikipedia.org/wiki/Datei:Image_of_none.svg,https://de.wikipedia.org/wiki/Katrin_Lange_(Politikerin)
Ulrike Liedtke,SPD,Ostprignitz-Ruppin I,,https://de.wikipedia.org/wiki/Datei:Prof._Dr._Ulrike_Liedtke.jpg,https://de.wikipedia.org/wiki/Ulrike_Liedtke
Saskia Ludwig,CDU,Landesliste,,https://de.wikipedia.org/wiki/Datei:Portrait_saskia_ludwig.jpg,https://de.wikipedia.org/wiki/Saskia_Ludwig
Björn Lüttmann,SPD,Oberhavel III,,https://de.wikipedia.org/wiki/Datei:Bj%C3%B6rn_L%C3%BCttmann.tiff,https://de.wikipedia.org/wiki/Bj%C3%B6rn_L%C3%BCttmann
Daniel Freiherr von Lützow,AfD,Landesliste,,https://de.wikipedia.org/wiki/Datei:Image_of_none.svg,https://de.wikipedia.org/wiki/Daniel_Freiherr_von_L%C3%BCtzow
Hardy Lux,SPD,Barnim I,,https://de.wikipedia.org/wiki/Datei:Image_of_none.svg,https://de.wikipedia.org/wiki/Hardy_Lux
Wilko Möller,AfD,Frankfurt (Oder),,https://de.wikipedia.org/wiki/Datei:Image_of_none.svg,https://de.wikipedia.org/wiki/Wilko_M%C3%B6ller
Daniel Münschke,AfD,Oberspreewald-Lausitz III/Spree-Neiße III,,https://de.wikipedia.org/wiki/Datei:20-01-22-Muenschke-Daniel-MdL_DSF5464.jpg,https://de.wikipedia.org/wiki/Daniel_M%C3%BCnschke
Kathleen Muxel,AfD,Oder-Spree II,,https://de.wikipedia.org/wiki/Datei:Image_of_none.svg,https://de.wikipedia.org/wiki/Kathleen_Muxel
Ilona Nicklisch,BVB/FW,Landesliste,,https://de.wikipedia.org/wiki/Datei:Image_of_none.svg,https://de.wikipedia.org/wiki/Ilona_Nicklisch
Andreas Noack,SPD,Oberhavel I,,https://de.wikipedia.org/wiki/Datei:20_01-22-Andreas-Noack-MdL_DSF5560.jpg,https://de.wikipedia.org/wiki/Andreas_Noack
Volker Nothing,AfD,Elbe-Elster II,,https://de.wikipedia.org/wiki/Datei:Image_of_none.svg,https://de.wikipedia.org/wiki/Volker_Nothing
