Name,Fraktion,Wahlkreis,Kommentar,Bild,Wikipedia-URL
Kazım Abacı,SPD,–,,https://de.wikipedia.org/wiki/Datei:2018-09-26_Kaz%C4%B1m_Abac%C4%B1_(WLP_Hamburg)_by_Sandro_Halank%E2%80%933.jpg,https://de.wikipedia.org/wiki/Kaz%C4%B1m_Abac%C4%B1
Julia Barth,SPD,–,,https://de.wikipedia.org/wiki/Datei:Image_of_none.svg,https://de.wikipedia.org/wiki/Julia_Barth
Ksenija Bekeris,SPD,–,,https://de.wikipedia.org/wiki/Datei:Image_of_none.svg,https://de.wikipedia.org/wiki/Ksenija_Bekeris
Cem Berk,SPD,11 Wandsbek,,https://de.wikipedia.org/wiki/Datei:Image_of_none.svg,https://de.wikipedia.org/wiki/Cem_Berk
Miriam Block,GRÜNE,–,,https://de.wikipedia.org/wiki/Datei:Image_of_none.svg,https://de.wikipedia.org/wiki/Miriam_Block
Maryam Blumenthal,GRÜNE,13 Alstertal-Walddörfer,,https://de.wikipedia.org/wiki/Datei:Image_of_none.svg,https://de.wikipedia.org/wiki/Maryam_Blumenthal
Sabine Boeddinghaus,LINKE,–,,https://de.wikipedia.org/wiki/Datei:Image_of_none.svg,https://de.wikipedia.org/wiki/Sabine_Boeddinghaus
Eva-Maria Botzenhart,GRÜNE,–,nachgerückt für Anna Gallina,https://de.wikipedia.org/wiki/Datei:Image_of_none.svg,https://de.wikipedia.org/wiki/Eva-Maria_Botzenhart
Ole Thorben Buschhüter,SPD,14 Rahlstedt,,https://de.wikipedia.org/wiki/Datei:Ole_Thorben_Buschh%C3%BCter_2018_by_Jenny_Paul_%E2%80%93_(01).jpg,https://de.wikipedia.org/wiki/Ole_Thorben_Buschh%C3%BCter
Deniz Çelik,LINKE,9 Barmbek-Uhlenhorst-Dulsberg,,https://de.wikipedia.org/wiki/Datei:Deniz_%C3%87elik_2018_by_Jenny_Paul_%E2%80%93_(01).jpg,https://de.wikipedia.org/wiki/Deniz_%C3%87elik_(Politiker)
Matthias Czech,SPD,17 Süderelbe,,https://de.wikipedia.org/wiki/Datei:Matthias_Czech_2018_by_Jenny_Paul_%E2%80%93_(04).jpg,https://de.wikipedia.org/wiki/Matthias_Czech
Filiz Demirel,GRÜNE,4 Blankenese,,https://de.wikipedia.org/wiki/Datei:20180926_Abgeordnete(r)_der_B%C3%BCrgerschaft_der_Freien_und_Hansestadt_Hamburg_Filiz_Demirel_by_Stepro_IMG_9057.jpg,https://de.wikipedia.org/wiki/Filiz_Demirel
Sina Aylin Demirhan,GRÜNE,–,,https://de.wikipedia.org/wiki/Datei:Image_of_none.svg,https://de.wikipedia.org/wiki/Sina_Aylin_Demirhan
Gabriele Dobusch,SPD,3 Altona,,https://de.wikipedia.org/wiki/Datei:20180926_Abgeordnete(r)_der_B%C3%BCrgerschaft_der_Freien_und_Hansestadt_Hamburg_Gabriele_(Gabi)_Dobusch_by_Stepro_IMG_9028.jpg,https://de.wikipedia.org/wiki/Gabriele_Dobusch
Rosa Domm,GRÜNE,11 Wandsbek,,https://de.wikipedia.org/wiki/Datei:Image_of_none.svg,https://de.wikipedia.org/wiki/Rosa_Domm
Olaf Duge,GRÜNE,–,nachgerückt für Jens Kerstan,https://de.wikipedia.org/wiki/Datei:2018-09-26_Olaf_Duge_(WLP_Hamburg)_by_Sandro_Halank%E2%80%932.jpg,https://de.wikipedia.org/wiki/Olaf_Duge
Detlef Ehlebracht,fraktionslos,–,,https://de.wikipedia.org/wiki/Datei:Image_of_none.svg,https://de.wikipedia.org/wiki/Detlef_Ehlebracht
Mareike Engels,GRÜNE,3 Altona,,https://de.wikipedia.org/wiki/Datei:Image_of_none.svg,https://de.wikipedia.org/wiki/Mareike_Engels
Carola Ensslen,LINKE,5 Rotherbaum-Harvestehude-Eimsbüttel-Ost,,https://de.wikipedia.org/wiki/Datei:20180926_Abgeordnete(r)_der_B%C3%BCrgerschaft_der_Freien_und_Hansestadt_Hamburg_Carola_Ensslen_by_Stepro_IMG_9068.jpg,https://de.wikipedia.org/wiki/Carola_Ensslen
David Erkalp,CDU,2 Billstedt-Wilhelmsburg-Finkenwerder,,https://de.wikipedia.org/wiki/Datei:David_Erkalp_2018_by_Jenny_Paul_%E2%80%93_(04).jpg,https://de.wikipedia.org/wiki/David_Erkalp
Alske Freter,GRÜNE,9 Barmbek-Uhlenhorst-Dulsberg,,https://de.wikipedia.org/wiki/Datei:Image_of_none.svg,https://de.wikipedia.org/wiki/Alske_Freter
Anke Frieling,CDU,4 Blankenese,,https://de.wikipedia.org/wiki/Datei:Image_of_none.svg,https://de.wikipedia.org/wiki/Anke_Frieling
Olga Fritzsche,LINKE,–,,https://de.wikipedia.org/wiki/Datei:Image_of_none.svg,https://de.wikipedia.org/wiki/Olga_Fritzsche
Gerrit Fuß,GRÜNE,2 Billstedt-Wilhelmsburg-Finkenwerder,,https://de.wikipedia.org/wiki/Datei:Image_of_none.svg,https://de.wikipedia.org/wiki/Gerrit_Fu%C3%9F
Stephan Gamm,CDU,9 Barmbek-Uhlenhorst-Dulsberg,,https://de.wikipedia.org/wiki/Datei:2018-09-26_Stephan_Gamm_(WLP_Hamburg)_by_Sandro_Halank%E2%80%932.jpg,https://de.wikipedia.org/wiki/Stephan_Gamm
Dennis Gladiator,CDU,15 Bergedorf,,https://de.wikipedia.org/wiki/Datei:Dennis_Gladiator_2018_by_Jenny_Paul_%E2%80%93_(02).jpg,https://de.wikipedia.org/wiki/Dennis_Gladiator
René Gögge,GRÜNE,–,,https://de.wikipedia.org/wiki/Datei:Ren%C3%A9_G%C3%B6gge_2018_by_Jenny_Paul_%E2%80%93_(01).jpg,https://de.wikipedia.org/wiki/Ren%C3%A9_G%C3%B6gge
Eckard Graage,CDU,14 Rahlstedt,,https://de.wikipedia.org/wiki/Datei:Image_of_none.svg,https://de.wikipedia.org/wiki/Eckard_H._Graage
Andreas Grutzeck,CDU,3 Altona,,https://de.wikipedia.org/wiki/Datei:Image_of_none.svg,https://de.wikipedia.org/wiki/Andreas_Grutzeck
Michael Gwosdz,GRÜNE,–,,https://de.wikipedia.org/wiki/Datei:Image_of_none.svg,https://de.wikipedia.org/wiki/Michael_Gwosdz
Norbert Hackbusch,LINKE,3 Altona,,https://de.wikipedia.org/wiki/Datei:Norbert_Hackbusch_2018_by_Jenny_Paul_%E2%80%93_(03).jpg,https://de.wikipedia.org/wiki/Norbert_Hackbusch
Astrid Hennies,SPD,14 Rahlstedt,,https://de.wikipedia.org/wiki/Datei:Image_of_none.svg,https://de.wikipedia.org/wiki/Astrid_Hennies_(Politikerin)
