Name,Fraktion,Wahlkreis,Kommentar,Bild,Wikipedia-URL
Ulrike Alex,SPD,Offenbach Land II,,https://de.wikipedia.org/wiki/Datei:MJK00507_Ulrike_Alex.jpg,https://de.wikipedia.org/wiki/Ulrike_Alex
Tarek Al-Wazir,GRÜNE,Offenbach-Stadt,"Stellvertreter des Ministerpräsidenten, Staatsminister für Wirtschaft, Energie, Verkehr und Wohnen",https://de.wikipedia.org/wiki/Datei:2016-02-04_Tarek_Al-Wazir_-_MdL_Hessen_-_3647-2.jpg,https://de.wikipedia.org/wiki/Tarek_Al-Wazir
Kathrin Anders,GRÜNE,nur Landesliste,,https://de.wikipedia.org/wiki/Datei:MJK_43170_Kathrin_Anders_(Hessischer_Landtag_2019).jpg,https://de.wikipedia.org/wiki/Kathrin_Anders
Lena Arnoldt,CDU,Rotenburg,,https://de.wikipedia.org/wiki/Datei:MJK_42966_Lena_Arnoldt_(Hessischer_Landtag_2019).jpg,https://de.wikipedia.org/wiki/Lena_Arnoldt
Sabine Bächle-Scholz,CDU,Groß-Gerau I,,https://de.wikipedia.org/wiki/Datei:2016-02-04_Sabine_B%C3%A4chle-Scholz_-_MdL_Hessen_-_3262-2.jpg,https://de.wikipedia.org/wiki/Sabine_B%C3%A4chle-Scholz
Dirk Bamberger,CDU,Marburg-Biedenkopf II,,https://de.wikipedia.org/wiki/Datei:MJK_43264_Dirk_Bamberger_(Hessischer_Landtag_2019).jpg,https://de.wikipedia.org/wiki/Dirk_Bamberger
Jürgen Banzer,CDU,Hochtaunus II,,"https://de.wikipedia.org/wiki/Datei:0390R-CDU,_Juergen_Banzer.jpg",https://de.wikipedia.org/wiki/J%C3%BCrgen_Banzer
Ralf-Norbert Bartelt,CDU,Frankfurt am Main III,,https://de.wikipedia.org/wiki/Datei:Ralf-Norbert_Bartelt_(Martin_Rulsch)_2013-02-28_3.jpg,https://de.wikipedia.org/wiki/Ralf-Norbert_Bartelt
Elke Barth,SPD,Hochtaunus I,,https://de.wikipedia.org/wiki/Datei:2016-02-04_Elke_Barth_-_MdL_Hessen_-_3430-2.jpg,https://de.wikipedia.org/wiki/Elke_Barth_(Politikerin)
Alexander Bauer,CDU,Bergstraße I,,https://de.wikipedia.org/wiki/Datei:MJK00558_Alexander_Bauer.jpg,"https://de.wikipedia.org/wiki/Alexander_Bauer_(Politiker,_1972)"
Frank-Tilo Becher,SPD,Gießen I,,https://de.wikipedia.org/wiki/Datei:MJK_43373_Frank-Tilo_Becher_(Hessischer_Landtag_2019).jpg,https://de.wikipedia.org/wiki/Frank-Tilo_Becher
Holger Bellino,CDU,Hochtaunus I,,"https://de.wikipedia.org/wiki/Datei:0802R-CDU,_Holger_Bellino.jpg",https://de.wikipedia.org/wiki/Holger_Bellino
Peter Beuth,CDU,Rheingau-Taunus II,Staatsminister des Inneren und für Sport,https://de.wikipedia.org/wiki/Datei:MJK00741_Peter_Beuth.jpg,"https://de.wikipedia.org/wiki/Peter_Beuth_(Politiker,_1967)"
Marcus Bocklet,GRÜNE,Frankfurt am Main V,,https://de.wikipedia.org/wiki/Datei:MJK00718_Marcus_Bocklet.jpg,https://de.wikipedia.org/wiki/Marcus_Bocklet
Michael Boddenberg,CDU,Frankfurt am Main IV,Staatsminister der Finanzen,https://de.wikipedia.org/wiki/Datei:MJK_42887_Michael_Boddenberg_(Hessischer_Landtag_2019).jpg,https://de.wikipedia.org/wiki/Michael_Boddenberg
Christiane Böhm,LINKE,Groß-Gerau II,,https://de.wikipedia.org/wiki/Datei:MJK_43616_Christiane_B%C3%B6hm_(Hessischer_Landtag_2019).jpg,https://de.wikipedia.org/wiki/Christiane_B%C3%B6hm
Karl Hermann Bolldorf,AfD,Marburg-Biedenkopf I,,https://de.wikipedia.org/wiki/Datei:Image_of_none.svg,https://de.wikipedia.org/wiki/Karl_Hermann_Bolldorf
Volker Bouffier,CDU,Gießen II,Ministerpräsident,https://de.wikipedia.org/wiki/Datei:MJK00898_Volker_Bouffier.jpg,https://de.wikipedia.org/wiki/Volker_Bouffier
Silvia Brünnel,GRÜNE,Fulda I,,,https://de.wikipedia.org/wiki/Silvia_Br%C3%BCnnel
Matthias Büger,FDP,Lahn-Dill II,,https://de.wikipedia.org/wiki/Datei:WP_Landtagsprojekt_Hessen_-_Matthias_B%C3%BCger_(FDP)_-_001.jpg,https://de.wikipedia.org/wiki/Matthias_B%C3%BCger
Taylan Burcu,GRÜNE,Frankfurt am Main VI,,https://de.wikipedia.org/wiki/Datei:Taylan-Burcu-Presse.jpg,https://de.wikipedia.org/wiki/Taylan_Burcu
Ines Claus,CDU,Groß-Gerau II,Fraktionsvorsitzende,https://de.wikipedia.org/wiki/Datei:MJK_43489_Ines_Claus_(Hessischer_Landtag_2019).jpg,https://de.wikipedia.org/wiki/Ines_Claus
Miriam Dahlke,GRÜNE,Frankfurt am Main II,,https://de.wikipedia.org/wiki/Datei:MJK_43650_Miriam_Dahlke_(Hessischer_Landtag_2019).jpg,https://de.wikipedia.org/wiki/Miriam_Dahlke
Wolfgang Decker,SPD,Kassel-Stadt II,,https://de.wikipedia.org/wiki/Datei:Wdecker.jpg,"https://de.wikipedia.org/wiki/Wolfgang_Decker_(Politiker,_1955)"
Christoph Degen,SPD,Main-Kinzig I,,https://de.wikipedia.org/wiki/Datei:MJK00568_Christoph_Degen.jpg,https://de.wikipedia.org/wiki/Christoph_Degen
Frank Diefenbach,GRÜNE,Odenwald,,https://de.wikipedia.org/wiki/Datei:MJK_43585_Frank_Diefenbach_(Hessischer_Landtag_2019).jpg,https://de.wikipedia.org/wiki/Frank_Diefenbach
Angela Dorn-Rancke,GRÜNE,Marburg-Biedenkopf II,Staatsministerin für Wissenschaft und Kunst,https://de.wikipedia.org/wiki/Datei:Portr%C3%A4t_StM_Angela_Dorn.jpg,https://de.wikipedia.org/wiki/Angela_Dorn-Rancke
Tobias Eckert,SPD,Limburg-Weilburg II,,https://de.wikipedia.org/wiki/Datei:Tobias_Eckert_(Martin_Rulsch)_2013-02-28_1.jpg,https://de.wikipedia.org/wiki/Tobias_Eckert
Nina Eisenhardt,GRÜNE,Groß-Gerau II,,https://de.wikipedia.org/wiki/Datei:Image_of_none.svg,https://de.wikipedia.org/wiki/Nina_Eisenhardt
Arno Enners,AfD,Gießen I,,https://de.wikipedia.org/wiki/Datei:MJK_43209_Arno_Enners_(Hessischer_Landtag_2019).jpg,https://de.wikipedia.org/wiki/Arno_Enners
Nancy Faeser,SPD,Main-Taunus I,Fraktionsvorsitzende,https://de.wikipedia.org/wiki/Datei:Nancy_Faeser_(MdL_Hessen_2014-01-18).jpg,https://de.wikipedia.org/wiki/Nancy_Faeser
Horst Falk,CDU,Marburg-Biedenkopf I,Nachrücker für Thomas Schäfer[10],https://de.wikipedia.org/wiki/Datei:Image_of_none.svg,https://de.wikipedia.org/wiki/Horst_Falk
Martina Feldmayer,GRÜNE,Frankfurt am Main I,,https://de.wikipedia.org/wiki/Datei:Martina_Feldmayer_307x396_pixel_2.jpg,https://de.wikipedia.org/wiki/Martina_Feldmayer
Torsten Felstehausen,LINKE,Kassel-Stadt I,,https://de.wikipedia.org/wiki/Datei:MJK_43698_Torsten_Felstehausen_(Hessischer_Landtag_2019).jpg,https://de.wikipedia.org/wiki/Torsten_Felstehausen
Karina Fissmann,SPD,Rotenburg,,https://de.wikipedia.org/wiki/Datei:MJK_43236_Karina_Fissmann_(Hessischer_Landtag_2019).jpg,https://de.wikipedia.org/wiki/Karina_Fissmann
Hildegard Förster-Heldmann,GRÜNE,Darmstadt-Stadt I,,https://de.wikipedia.org/wiki/Datei:MJK_43749_Hildegard_F%C3%B6rster-Heldmann_(Hessischer_Landtag_2019).jpg,https://de.wikipedia.org/wiki/Hildegard_F%C3%B6rster-Heldmann
Jürgen Frömmrich,GRÜNE,Waldeck-Frankenberg II,,https://de.wikipedia.org/wiki/Datei:J%C3%BCrgen_Fr%C3%B6mmrich_(Martin_Rulsch)_2013-02-26_3.jpg,https://de.wikipedia.org/wiki/J%C3%BCrgen_Fr%C3%B6mmrich
Sandra Funken,CDU,Odenwald,,https://de.wikipedia.org/wiki/Datei:MJK_43818_Sandra_Funken_(Hessischer_Landtag_2019).jpg,https://de.wikipedia.org/wiki/Sandra_Funken
Klaus Gagel,AfD,Rheingau-Taunus II,,https://de.wikipedia.org/wiki/Datei:Image_of_none.svg,https://de.wikipedia.org/wiki/Klaus_Gagel
Dirk Gaw,AfD,nur Landesliste,,https://de.wikipedia.org/wiki/Datei:MJK_43249_Dirk_Gaw_(Hessischer_Landtag_2019).jpg,https://de.wikipedia.org/wiki/Dirk_Gaw
Kerstin Geis,SPD,Groß-Gerau I,,https://de.wikipedia.org/wiki/Datei:2016-02-04_Kerstin_Geis_-_MdL_Hessen_-_3613-2.jpg,https://de.wikipedia.org/wiki/Kerstin_Geis
Nadine Gersberg,SPD,Offenbach-Stadt,nachgerückt am 4. September 2019 für Thorsten Schäfer-Gümbel,https://de.wikipedia.org/wiki/Datei:Image_of_none.svg,https://de.wikipedia.org/wiki/Nadine_Gersberg
Lisa Gnadl,SPD,Wetterau II,,https://de.wikipedia.org/wiki/Datei:MJK00821_Lisa_Gnadl.jpg,https://de.wikipedia.org/wiki/Lisa_Gnadl
Eva Goldbach,GRÜNE,Vogelsberg,,https://de.wikipedia.org/wiki/Datei:Eva_Goldbach-3.jpg,https://de.wikipedia.org/wiki/Eva_Goldbach
Frank Grobe,AfD,Rheingau-Taunus I,,https://de.wikipedia.org/wiki/Datei:MJK_42911_Frank_Grobe_(Hessischer_Landtag_2019).jpg,https://de.wikipedia.org/wiki/Frank_Grobe
Vanessa Gronemann,GRÜNE,Kassel-Stadt I,,https://de.wikipedia.org/wiki/Datei:Image_of_none.svg,https://de.wikipedia.org/wiki/Vanessa_Gronemann
Stephan Grüger,SPD,Lahn-Dill I,,https://de.wikipedia.org/wiki/Datei:MJK00988_Stephan_Gr%C3%BCger.jpg,https://de.wikipedia.org/wiki/Stephan_Gr%C3%BCger
Gernot Grumbach,SPD,Frankfurt am Main II,,https://de.wikipedia.org/wiki/Datei:Gernot_Grumbach_(Martin_Rulsch)_2013-02-27_1.jpg,https://de.wikipedia.org/wiki/Gernot_Grumbach
Jörg-Uwe Hahn,FDP,Wetterau I,Vizepräsident des Landtags,https://de.wikipedia.org/wiki/Datei:2013-02-27_J%C3%B6rg-Uwe_Hahn_-_3098.JPG,https://de.wikipedia.org/wiki/J%C3%B6rg-Uwe_Hahn
Karin Hartmann,SPD,Bergstraße II,,https://de.wikipedia.org/wiki/Datei:2019-04-03_Karin_Hartmann_im_Hessischen_Landtag_3881.jpg,https://de.wikipedia.org/wiki/Karin_Hartmann
Erich Heidkamp,AfD,Frankfurt am Main IV,,https://de.wikipedia.org/wiki/Datei:MJK_43687_Erich_Heidkamp_(Hessischer_Landtag_2019).jpg,https://de.wikipedia.org/wiki/Erich_Heidkamp
Christian Heinz,CDU,Main-Taunus I,,https://de.wikipedia.org/wiki/Datei:MJK00535_Christian_Heinz.jpg,https://de.wikipedia.org/wiki/Christian_Heinz
Birgit Heitland,CDU,Bergstraße II,,https://de.wikipedia.org/wiki/Datei:MJK_42916_Birgit_Heitland_(Hessischer_Landtag_2019).jpg,https://de.wikipedia.org/wiki/Birgit_Heitland
Thomas Hering,CDU,Fulda I,,https://de.wikipedia.org/wiki/Datei:Thomas_Hering_DSC03181.jpg,https://de.wikipedia.org/wiki/Thomas_Hering_(Politiker)
Klaus Herrmann,AfD,Wetterau III,,https://de.wikipedia.org/wiki/Datei:2019-01-18_Konstituierende_Sitzung_Hessischer_Landtag_AfD_Hermann_3683.jpg,"https://de.wikipedia.org/wiki/Klaus_Herrmann_(Politiker,_1960)"
Priska Hinz,GRÜNE,Lahn-Dill I,"Staatsministerin für Umwelt, Klimaschutz, Landwirtschaft und Verbraucherschutz",https://de.wikipedia.org/wiki/Datei:2016-02-04_Priska_Hinz_-_Staatsministerin_im_Umweltministerium_Hessen_-_3535-2.jpg,https://de.wikipedia.org/wiki/Priska_Hinz
Heike Hofmann,SPD,Darmstadt-Dieburg I,Vizepräsidentin des Landtags,https://de.wikipedia.org/wiki/Datei:2016-02-04_Heike_Hofmann_-_MdL_Hessen_-_3680-2.jpg,https://de.wikipedia.org/wiki/Heike_Hofmann
Markus Hofmann,GRÜNE,Fulda II,,https://de.wikipedia.org/wiki/Datei:MJK_43184_Markus_Hofmann_(Hessischer_Landtag_2019).jpg,https://de.wikipedia.org/wiki/Markus_Hofmann_(Politiker)
Andreas Hofmeister,CDU,Limburg-Weilburg II,,https://de.wikipedia.org/wiki/Datei:MJK00929_Andreas_Hofmeister.jpg,https://de.wikipedia.org/wiki/Andreas_Hofmeister
Hartmut Honka,CDU,Offenbach Land I,,https://de.wikipedia.org/wiki/Datei:Hartmut_Honka_2013.jpg,https://de.wikipedia.org/wiki/Hartmut_Honka
Knut John,SPD,Eschwege-Witzenhausen,,https://de.wikipedia.org/wiki/Datei:MJK_43221_Knut_John_(Hessischer_Landtag_2019).jpg,https://de.wikipedia.org/wiki/Knut_John
Bijan Kaffenberger,SPD,Darmstadt-Stadt II,,https://de.wikipedia.org/wiki/Datei:Image_of_none.svg,https://de.wikipedia.org/wiki/Bijan_Kaffenberger
Rolf Kahnt,AfD,Bergstraße II,,https://de.wikipedia.org/wiki/Datei:2019-01-18_Konstituierende_Sitzung_Hessischer_Landtag_AfD_Kahnt_3631.jpg,https://de.wikipedia.org/wiki/Rolf_Kahnt
Norbert Kartmann,CDU,Wetterau III,Landtagspräsident a.D,https://de.wikipedia.org/wiki/Datei:WP_Landtagsprojekt_Hessen_-_Norbert_Kartmann_(CDU)_-_001.jpg,https://de.wikipedia.org/wiki/Norbert_Kartmann
Heiko Kasseckert,CDU,Main-Kinzig II,,https://de.wikipedia.org/wiki/Datei:2016-02-04_Heiko_Kasseckert_-_MdL_Hessen_-_3293-2.jpg,https://de.wikipedia.org/wiki/Heiko_Kasseckert
Frank-Peter Kaufmann,GRÜNE,Offenbach Land II,,https://de.wikipedia.org/wiki/Datei:2016-02-04_Frank-Peter_Kaufmann_-_MdL_Hessen_-_3580-2.jpg,https://de.wikipedia.org/wiki/Frank-Peter_Kaufmann
Kaya Kinkel,GRÜNE,Hersfeld,,https://de.wikipedia.org/wiki/Datei:MJK_42902_Kaya_Kinkel_(Hessischer_Landtag_2019).jpg,https://de.wikipedia.org/wiki/Kaya_Kinkel
Kai Klose,GRÜNE,Rheingau-Taunus II,Staatsminister für Soziales und Integration,https://de.wikipedia.org/wiki/Datei:Kai_Klose_(Martin_Rulsch)_2013-02-28_1.jpg,https://de.wikipedia.org/wiki/Kai_Klose
Wiebke Knell,FDP,Schwalm-Eder II,,https://de.wikipedia.org/wiki/Datei:2019-01-18_Konstituierende_Sitzung_Hessischer_Landtag_FDP_Knell_3656.jpg,https://de.wikipedia.org/wiki/Wiebke_Knell
Elisabeth Kula,LINKE,nur Landesliste,,https://de.wikipedia.org/wiki/Datei:Image_of_none.svg,https://de.wikipedia.org/wiki/Elisabeth_Kula
Gerald Kummer,SPD,Groß-Gerau II,,https://de.wikipedia.org/wiki/Datei:2016-02-04_Gerald_Kummer_-_MdL_Hessen_-_3289-2.jpg,https://de.wikipedia.org/wiki/Gerald_Kummer_(Politiker)
