Name,Fraktion,Wahlkreis,Kommentar,Bild,Wikipedia-URL
Rainer Albrecht,SPD,5 (Hansestadt Rostock II),,https://de.wikipedia.org/wiki/Datei:18-05-2017-Rainer_Albrecht-JonasR.jpg,https://de.wikipedia.org/wiki/Rainer_Albrecht_(Politiker)
Ann Christin von Allwörden,CDU,26 (Stralsund II),,https://de.wikipedia.org/wiki/Datei:18-05-2017-Ann_Christin_von_Allw%C3%B6rden-JonasR.jpg,https://de.wikipedia.org/wiki/Ann_Christin_von_Allw%C3%B6rden
Holger Arppe,fraktionslos,Landesliste,"AfD-Fraktionsaustritt am 31. August 2017, Parteiausschluss im September 2018",https://de.wikipedia.org/wiki/Datei:2019-03-13_Landtag_Mecklenburg-Vorpommern_Holger_Arppe_6165.jpg,https://de.wikipedia.org/wiki/Holger_Arppe
Elisabeth Aßmann,SPD,18 (Ludwigslust-Parchim II),,https://de.wikipedia.org/wiki/Datei:Assmann_Elisabeth_001.jpg,https://de.wikipedia.org/wiki/Elisabeth_A%C3%9Fmann
Till Backhaus,SPD,17 (Ludwigslust-Parchim I),Landwirtschaftsminister,https://de.wikipedia.org/wiki/Datei:18-05-2017-Till_Backhaus-JonasR.jpg,https://de.wikipedia.org/wiki/Till_Backhaus
Julian Barlen,SPD,Landesliste,nachgerückt am 14. Mai 2019 für die am 28. April 2019 verstorbene Sylvia Bretschneider,https://de.wikipedia.org/wiki/Datei:Julian_Barlen_6204018b.jpg,https://de.wikipedia.org/wiki/Julian_Barlen
Christiane Berg,CDU,Landesliste,,https://de.wikipedia.org/wiki/Datei:17-05-18-Christiane_Berg-a_RR79568.jpg,https://de.wikipedia.org/wiki/Christiane_Berg
Jacqueline Bernhardt,LINKE,Landesliste,,https://de.wikipedia.org/wiki/Datei:17-05-18-Jacqueline_Bernhardt_RR79524.jpg,https://de.wikipedia.org/wiki/Jacqueline_Bernhardt
Ralf Borschke,AfD,Landesliste,Austritt aus der AfD-Fraktion am 25. September 2017; Eintritt in die AfD-Fraktion am 1. Oktober 2019,https://de.wikipedia.org/wiki/Datei:18-05-2017-Ralf_Borschke-JonasR.jpg,https://de.wikipedia.org/wiki/Ralf_Borschke
Christian Brade,SPD,31 (Ludwigslust-Parchim III),,https://de.wikipedia.org/wiki/Datei:18-05-2017-Christian_Brade-JonasR.jpg,https://de.wikipedia.org/wiki/Christian_Brade
Andreas Butzki,SPD,21 (Mecklenburgische Seenplatte IV),,https://de.wikipedia.org/wiki/Datei:2017-05-18_-_Andreas_Butzki_-_1391.jpg,https://de.wikipedia.org/wiki/Andreas_Butzki
Lorenz Caffier,CDU,22 (Mecklenburgische Seenplatte V),Innenminister,https://de.wikipedia.org/wiki/Datei:2018-11-30_Lorenz_Caffier_Pressekonferenz_Innenministerkonferenz_in_Magdeburg-2378_(cropped).jpg,https://de.wikipedia.org/wiki/Lorenz_Caffier
