Name,Fraktion,Wahlkreis,Kommentar,Bild,Wikipedia-URL
Thomas Adasch,CDU,Celle,,"https://de.wikipedia.org/wiki/Datei:Adasch,_Thomas.jpg",https://de.wikipedia.org/wiki/Thomas_Adasch
Jens Ahrends,fraktionslos,Landesliste,Austritt aus der AfD-Fraktion am 22. September 2020[2],https://de.wikipedia.org/wiki/Datei:Placeholder_staff_photo.svg,https://de.wikipedia.org/wiki/Jens_Ahrends
Lars Alt,FDP,Landesliste,nachgerückt am 30. Oktober 2020 für Sylvia Bruns,https://de.wikipedia.org/wiki/Datei:Lars_Alt_Landeskongress_Lingen_M%C3%A4rz_2020.png,https://de.wikipedia.org/wiki/Lars_Alt
Bernd Althusmann,CDU,Seevetal,,https://de.wikipedia.org/wiki/Datei:Althusmann.jpg,https://de.wikipedia.org/wiki/Bernd_Althusmann
Gabriele Andretta,SPD,Göttingen-Stadt,,https://de.wikipedia.org/wiki/Datei:Gabriele_andretta_cropped.jpg,https://de.wikipedia.org/wiki/Gabriele_Andretta
Holger Ansmann,SPD,Wilhelmshaven,,https://de.wikipedia.org/wiki/Datei:Holger_Ansmann_(Martin_Rulsch)_2.jpg,https://de.wikipedia.org/wiki/Holger_Ansmann
Matthias Arends,SPD,Emden/Norden,,"https://de.wikipedia.org/wiki/Datei:Arends,_Matthias.jpg",https://de.wikipedia.org/wiki/Matthias_Arends
Volker Bajus,GRÜNE,Landesliste,nachgerückt am 25. März 2020 für Anja Piel,https://de.wikipedia.org/wiki/Datei:Volker_Bajus_(Martin_Rulsch)_4.jpg,https://de.wikipedia.org/wiki/Volker_Bajus
Martin Bäumer,CDU,Georgsmarienhütte,,"https://de.wikipedia.org/wiki/Datei:B%C3%A4umer,_Martin.jpg",https://de.wikipedia.org/wiki/Martin_B%C3%A4umer
Karsten Becker,SPD,Schaumburg,,"https://de.wikipedia.org/wiki/Datei:Becker,_Karsten.jpg",https://de.wikipedia.org/wiki/Karsten_Becker
Jochen Beekhuis,fraktionslos,Wittmund/Inseln,Ausschluss aus der SPD-Fraktion am 22. Oktober 2019[3],https://de.wikipedia.org/wiki/Datei:Placeholder_staff_photo.svg,https://de.wikipedia.org/wiki/Jochen_Beekhuis
