Name,Fraktion,Wahlkreis,Kommentar,Bild,Wikipedia-URL
Britta Altenkamp,SPD,Essen III,,https://de.wikipedia.org/wiki/Datei:Britta_Altenkamp.jpg,https://de.wikipedia.org/wiki/Britta_Altenkamp
Berivan Aymaz,GRÜNE,Landesliste,,https://de.wikipedia.org/wiki/Datei:Berivan_Aymaz.jpg,https://de.wikipedia.org/wiki/Berivan_Aymaz
Volkan Baran,SPD,Dortmund II,,"https://de.wikipedia.org/wiki/Datei:Baran,_Volkan-1.jpg",https://de.wikipedia.org/wiki/Volkan_Baran
Roger Beckamp,AfD,Landesliste,,"https://de.wikipedia.org/wiki/Datei:Beckamp,_Roger-1.jpg",https://de.wikipedia.org/wiki/Roger_Beckamp
Andreas Becker,SPD,Recklinghausen I,,https://de.wikipedia.org/wiki/Datei:20131129_Andreas_Becker_1058.jpg,https://de.wikipedia.org/wiki/Andreas_Becker_(Politiker)
Horst Becker,GRÜNE,Landesliste,,https://de.wikipedia.org/wiki/Datei:Horst_Becker-Gr%C3%BCne.jpg,"https://de.wikipedia.org/wiki/Horst_Becker_(Politiker,_1956)"
Sigrid Beer,GRÜNE,Landesliste,,https://de.wikipedia.org/wiki/Datei:Sigrid-Beer-Gr%C3%BCnen-2_LT-NRW-by-Leila-Paul.jpg,https://de.wikipedia.org/wiki/Sigrid_Beer
Daniela Beihl,FDP,Landesliste,Nachgerückt am 27. Juni 2019 für Moritz Körner,https://de.wikipedia.org/wiki/Datei:Placeholder_staff_photo.svg,https://de.wikipedia.org/wiki/Daniela_Beihl
Dietmar Bell,SPD,Wuppertal I,,"https://de.wikipedia.org/wiki/Datei:Dietmar_Bell,_2013-11_CN-02.jpg",https://de.wikipedia.org/wiki/Dietmar_Bell
Jürgen Berghahn,SPD,Lippe II,,"https://de.wikipedia.org/wiki/Datei:Berghahn,_J%C3%BCrgen-1.jpg",https://de.wikipedia.org/wiki/J%C3%BCrgen_Berghahn
Günther Bergmann,CDU,Kleve II,,"https://de.wikipedia.org/wiki/Datei:Bergmann,_G%C3%BCnther-1.jpg",https://de.wikipedia.org/wiki/G%C3%BCnther_Bergmann
Andreas Bialas,SPD,Wuppertal II,,https://de.wikipedia.org/wiki/Datei:Andreas_Bialas_(Martin_Rulsch)_2.jpg,https://de.wikipedia.org/wiki/Andreas_Bialas
Peter Biesenbach,CDU,Oberbergischer Kreis I,Minister,https://de.wikipedia.org/wiki/Datei:Peter_Biesenbach-CDU-1.jpg,https://de.wikipedia.org/wiki/Peter_Biesenbach
Rainer Bischoff,SPD,Duisburg II,,https://de.wikipedia.org/wiki/Datei:20131127_Rainer_Bischoff_0495.jpg,https://de.wikipedia.org/wiki/Rainer_Bischoff
Inge Blask,SPD,Landesliste,Nachgerückt am 19. März 2018 für Svenja Schulze,"https://de.wikipedia.org/wiki/Datei:Blask,_Inge-1.jpg",https://de.wikipedia.org/wiki/Inge_Blask
Christian Blex,AfD,Landesliste,,"https://de.wikipedia.org/wiki/Datei:Blex,_Christian-1.jpg",https://de.wikipedia.org/wiki/Christian_Blex
Jörg Blöming,CDU,Soest II,,"https://de.wikipedia.org/wiki/Datei:Bl%C3%B6ming,_J%C3%B6rg-1.jpg",https://de.wikipedia.org/wiki/J%C3%B6rg_Bl%C3%B6ming
Marc Blondin,CDU,Krefeld II,,https://de.wikipedia.org/wiki/Datei:Placeholder_staff_photo.svg,https://de.wikipedia.org/wiki/Marc_Blondin
