"","Parlament","Name","Fraktion","Wahlkreis","Geschlecht","Kommentar","Bild","tags","Wikipedia_URL","Homepage_URL","SM_Twitter_user","SM_Twitter_id","SM_Facebook_id","SM_Facebook_user","SM_Twitter_verifiziert","SM_Facebook_verifiziert","SM_Youtube_user","SM_Youtube_id","SM_Youtube_verifiziert","SM_Instagram_user","SM_Instagram_id","SM_Instagram_verifiziert","SM_Telegram_user","SM_Telegram_id","SM_Telegram_verifiziert","created_at","created_by","modified_at","modified_by"
"1","Abgeordnetenhaus von Berlin","Wolfgang Albers","LINKE","Lichtenberg 2","männlich","","https://de.wikipedia.org/wiki/Datei:2017-11-16_Wolfgang_Albers_by_Sandro_Halank.jpg","","https://de.wikipedia.org/wiki/Wolfgang_Albers_(Politiker)","","","","","","","","","","","","","","","","","1614372251.7037","admin","1614372251.7037","admin"
"2","Abgeordnetenhaus von Berlin","Turgut Altug","GRÜNE","Friedrichshain-Kreuzberg 3","","","https://de.wikipedia.org/wiki/Datei:Turgut_Altu%C4%9F_(Martin_Rulsch)_1.jpg","","https://de.wikipedia.org/wiki/Turgut_Altu%C4%9F","","","","","","","","","","","","","","","","","1614372251.7037","admin","1614372251.7037","admin"
"3","Abgeordnetenhaus von Berlin","Jeannette Auricht","AfD","Landesliste","weiblich","","https://de.wikipedia.org/wiki/Datei:Placeholder_staff_photo.svg","","https://de.wikipedia.org/wiki/Jeannette_Auricht","","JeanetteAuricht","826402742893760512","1643965502492591","jeannette.auricht","","","","","","","","","","","","1614372251.7037","admin","1614372251.7037","admin"
"4","Abgeordnetenhaus von Berlin","Hanno Bachmann","AfD","Landesliste","männlich","","https://de.wikipedia.org/wiki/Datei:Placeholder_staff_photo.svg","","https://de.wikipedia.org/wiki/Hanno_Bachmann","","hanno_bachmann","791978053379432448","433233507008273","HannoBachmann.AfD","","","","","","","","","","","","1614372251.7037","admin","1614372251.7037","admin"
"5","Abgeordnetenhaus von Berlin","Sabine Bangert","GRÜNE","Landesliste","weiblich","","https://de.wikipedia.org/wiki/Datei:2017-11-16_Sabine_Bangert_by_Sandro_Halank.jpg","","https://de.wikipedia.org/wiki/Sabine_Bangert","","SabineBangert","262062333","1172940376092079","sabine.bangert","","","","","","","","","","","","1614372251.7037","admin","1614372251.7037","admin"
"6","Abgeordnetenhaus von Berlin","Franziska Becker","SPD","Charlottenburg-Wilmersdorf 6","weiblich","","https://de.wikipedia.org/wiki/Datei:AGH_Berlin_10-2013_img03_Franziska_Becker.jpg","","https://de.wikipedia.org/wiki/Franziska_Becker_(Politikerin)","","Fcm_BeckerSPD","2684648481","","","","","","","","","","","","","","1614372251.7037","admin","1614372251.7037","admin"
"7","Abgeordnetenhaus von Berlin","Hans-Joachim Berg","AfD","Landesliste","männlich","","https://de.wikipedia.org/wiki/Datei:2017-11-16_Hans-Joachim_Berg_by_Sandro_Halank.jpg","","https://de.wikipedia.org/wiki/Hans-Joachim_Berg","","","","","","","","","","","","","","","","","1614372251.7037","admin","1614372251.7037","admin"
"8","Abgeordnetenhaus von Berlin","Philipp Bertram","LINKE","Landesliste","","am 1. Februar 2017 nachgerückt für Katrin Lompscher","https://de.wikipedia.org/wiki/Datei:Philipp_Bertram,_Linke_(Martin_Rulsch)_2017-11-16.jpg","","https://de.wikipedia.org/wiki/Philipp_Bertram_(Politiker,_1991)","","","","","","","","","","","","","","","","","1614372251.7037","admin","1614372251.7037","admin"
"9","Abgeordnetenhaus von Berlin","Jessica Bießmann","Fraktionslos","Marzahn-Hellersdorf 3","weiblich","am 6. November 2018 aus der AfD-Fraktion ausgeschlossen[1]","https://de.wikipedia.org/wiki/Datei:Placeholder_staff_photo.svg","","https://de.wikipedia.org/wiki/Jessica_Bie%C3%9Fmann","","JessicaBiessman","393541223","189249388173108","Jessica Bießmann","","","","","","","","","","","","1614372251.7037","admin","1614372251.7037","admin"
"10","Abgeordnetenhaus von Berlin","Daniela Billig","GRÜNE","","weiblich","am 5. Februar 2018 nachgerückt für Canan Bayram","https://de.wikipedia.org/wiki/Datei:Daniela_Billig,_MdA.jpg","","https://de.wikipedia.org/wiki/Daniela_Billig","","danielabillig","2967515615","","","","","","","","","","","","","","1614372251.7037","admin","1614372251.7037","admin"
