"uuid","category","group","Name","Fraktion","Wahlkreis","Kommentar","Bild","Wikipedia.URL","Geschlecht","Twitter_screen_name","Twitter_id","last_modified_time","last_modified_user","modified_at","modified_by","tags"
"97ea0a72-c683-465a-b4dd-ae4ebb557e9a","Parlamentarier","Abgeordnetenhaus von Berlin","Wolfgang Albers","LINKE","Lichtenberg 2","","https://de.wikipedia.org/wiki/Datei:2017-11-16_Wolfgang_Albers_by_Sandro_Halank.jpg","https://de.wikipedia.org/wiki/Wolfgang_Albers_(Politiker)","männlich","",NA,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"93ebe891-90cb-4848-bddb-9c47bf4a2760","Parlamentarier","Abgeordnetenhaus von Berlin","Turgut Altug","GRÜNE","Friedrichshain-Kreuzberg 3","","https://de.wikipedia.org/wiki/Datei:Turgut_Altu%C4%9F_(Martin_Rulsch)_1.jpg","https://de.wikipedia.org/wiki/Turgut_Altu%C4%9F",NA,NA,NA,NA,NA,2021-02-23 20:38:11,"admin",""
"d5555504-66be-415c-ba9c-07dbd21835e6","Parlamentarier","Abgeordnetenhaus von Berlin","Jeannette Auricht","AfD","Landesliste","","https://de.wikipedia.org/wiki/Datei:Placeholder_staff_photo.svg","https://de.wikipedia.org/wiki/Jeannette_Auricht","weiblich","JeanetteAuricht",826402742893760512,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"72eeac2c-4d30-4124-9fdd-7092686cc99a","Parlamentarier","Abgeordnetenhaus von Berlin","Hanno Bachmann","AfD","Landesliste","","https://de.wikipedia.org/wiki/Datei:Placeholder_staff_photo.svg","https://de.wikipedia.org/wiki/Hanno_Bachmann","männlich","hanno_bachmann",791978053379432448,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"8f36d0cc-d921-4b6e-a631-edebbf8569d0","Parlamentarier","Abgeordnetenhaus von Berlin","Sabine Bangert","GRÜNE","Landesliste","","https://de.wikipedia.org/wiki/Datei:2017-11-16_Sabine_Bangert_by_Sandro_Halank.jpg","https://de.wikipedia.org/wiki/Sabine_Bangert","weiblich","SabineBangert",262062333,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"f2079ce0-4f6f-4ff7-9c68-7d2d4eb2c90c","Parlamentarier","Abgeordnetenhaus von Berlin","Franziska Becker","SPD","Charlottenburg-Wilmersdorf 6","","https://de.wikipedia.org/wiki/Datei:AGH_Berlin_10-2013_img03_Franziska_Becker.jpg","https://de.wikipedia.org/wiki/Franziska_Becker_(Politikerin)","weiblich","Fcm_BeckerSPD",2684648481,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"aecbad08-381a-4f38-b669-3bba9c61edc7","Parlamentarier","Abgeordnetenhaus von Berlin","Hans-Joachim Berg","AfD","Landesliste","","https://de.wikipedia.org/wiki/Datei:2017-11-16_Hans-Joachim_Berg_by_Sandro_Halank.jpg","https://de.wikipedia.org/wiki/Hans-Joachim_Berg","männlich","",NA,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"bf11c4eb-34d0-42c3-aa6e-e30c4029968a","Parlamentarier","Abgeordnetenhaus von Berlin","Philipp Bertram","LINKE","Landesliste","am 1. Februar 2017 nachgerückt für Katrin Lompscher","https://de.wikipedia.org/wiki/Datei:Philipp_Bertram,_Linke_(Martin_Rulsch)_2017-11-16.jpg","https://de.wikipedia.org/wiki/Philipp_Bertram_(Politiker,_1991)",NA,NA,NA,NA,NA,2021-02-23 20:38:11,"admin",""
"dd8a2e37-2d4d-490d-8b8b-3201f5952688","Parlamentarier","Abgeordnetenhaus von Berlin","Jessica Bießmann","Fraktionslos","Marzahn-Hellersdorf 3","am 6. November 2018 aus der AfD-Fraktion ausgeschlossen[1]","https://de.wikipedia.org/wiki/Datei:Placeholder_staff_photo.svg","https://de.wikipedia.org/wiki/Jessica_Bie%C3%9Fmann","weiblich","JessicaBiessman",393541223,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"26db76fd-98d3-4e0e-859c-bfccea9c80af","Parlamentarier","Abgeordnetenhaus von Berlin","Daniela Billig","GRÜNE","","am 5. Februar 2018 nachgerückt für Canan Bayram","https://de.wikipedia.org/wiki/Datei:Daniela_Billig,_MdA.jpg","https://de.wikipedia.org/wiki/Daniela_Billig","weiblich","danielabillig",2967515615,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"3bae82ab-551d-471d-bdd0-004568f88aab","Parlamentarier","Abgeordnetenhaus von Berlin","Carola Bluhm","LINKE","Mitte 2","Fraktionsvorsitzende","https://de.wikipedia.org/wiki/Datei:2017-11-16_Carola_Bluhm_by_Sandro_Halank.jpg","https://de.wikipedia.org/wiki/Carola_Bluhm","weiblich","",NA,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"3135499b-c99f-458e-a1b0-78ae04bc2717","Parlamentarier","Abgeordnetenhaus von Berlin","Nicola Böcker-Giannini","SPD","Bezirksliste Neukölln","am 6. März 2018 nachgerückt für Karin Korte","https://de.wikipedia.org/wiki/Datei:Placeholder_staff_photo.svg","https://de.wikipedia.org/wiki/Nicola_B%C3%B6cker-Giannini","weiblich","BoeckerMda",977505094399873024,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"c186e215-57b6-4382-bb89-c5e14ee66dcf","Parlamentarier","Abgeordnetenhaus von Berlin","Kristin Brinker","AfD","Landesliste","","https://de.wikipedia.org/wiki/Datei:Kristin_Brinker,_AfD_(Martin_Rulsch)_2017-11-16.jpg","https://de.wikipedia.org/wiki/Kristin_Brinker","weiblich","Kristin_Brinker",2359728006,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"145ade1a-291b-4374-90c7-60701f499154","Parlamentarier","Abgeordnetenhaus von Berlin","Hugh Bronson","AfD","Landesliste","","https://de.wikipedia.org/wiki/Datei:Hugh_Bronson,_AfD_(Martin_Rulsch)_2017-11-16_1.jpg","https://de.wikipedia.org/wiki/Hugh_Bronson","männlich","HughBronson_AfD",1647937405,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"78093b04-1d35-48c8-bb93-6534748895dd","Parlamentarier","Abgeordnetenhaus von Berlin","Franziska Brychcy","LINKE","Landesliste","","https://de.wikipedia.org/wiki/Datei:Franziska_Brychcy,_Linke_(Martin_Rulsch)_2017-11-16.jpg","https://de.wikipedia.org/wiki/Franziska_Brychcy","weiblich","F_Brychcy",837467563604979712,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"90747bcd-39e5-47f9-a745-ea7c614dd58b","Parlamentarier","Abgeordnetenhaus von Berlin","Christian Buchholz","AfD","Pankow 1","","https://de.wikipedia.org/wiki/Datei:Placeholder_staff_photo.svg","https://de.wikipedia.org/wiki/Christian_Buchholz","männlich","",NA,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"a3b68f1e-715c-4607-811b-dcc80e09568f","Parlamentarier","Abgeordnetenhaus von Berlin","Daniel Buchholz","SPD","Spandau 3","","https://de.wikipedia.org/wiki/Datei:Daniel_Buchholz_(Martin_Rulsch)_1.jpg","https://de.wikipedia.org/wiki/Daniel_Buchholz","männlich","",NA,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
