"uuid","category","group","Name","Fraktion","Wahlkreis","Kommentar","Bild","Wikipedia.URL","Geschlecht","Twitter_screen_name","Twitter_id","last_modified_time","last_modified_user","modified_at","modified_by","tags"
"cfd1ebf8-8ee5-4910-87e4-ce50b529e3d5","Parlamentarier","Bremische Bürgerschaft","Sandra Ahrens","CDU","Bremen, Personenwahl","Schriftführerin der Bürgerschaft","https://de.wikipedia.org/wiki/Datei:Sandra_Ahrens.jpg","https://de.wikipedia.org/wiki/Sandra_Ahrens","weiblich","SandraAhrens",256503377,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"90b61893-c948-4d19-b34f-dd527fe31b99","Parlamentarier","Bremische Bürgerschaft","Sascha Karolin Aulepp","SPD","Bremen, Listenwahl","","https://de.wikipedia.org/wiki/Datei:Aulepp,_Sascha_Karolin-9217.jpg","https://de.wikipedia.org/wiki/Sascha_Karolin_Aulepp","männlich","",NA,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"e668a21f-37fc-4ca0-9e04-e7d8a6af320f","Parlamentarier","Bremische Bürgerschaft","Yvonne Averwerser","CDU","Bremen, Listenwahl","","https://de.wikipedia.org/wiki/Datei:Averwerser,_Yvonne-1.jpg","https://de.wikipedia.org/wiki/Yvonne_Averwerser","weiblich","YAverwerser",1135974223774720000,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"9252a557-e81b-4b74-8ac2-50c7437be873","Parlamentarier","Bremische Bürgerschaft","Peter Beck","AfD","Bremen, Listenwahl","seit 1. September 2019 fraktionslos","https://de.wikipedia.org/wiki/Datei:Silver_-_replace_this_image_male.svg","https://de.wikipedia.org/wiki/Peter_Beck_(Politiker)","männlich","",NA,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"37758ecb-b8c5-4edd-a460-344960451eb2","Parlamentarier","Bremische Bürgerschaft","Rainer Bensch","CDU","Bremen, Personenwahl","","https://de.wikipedia.org/wiki/Datei:Bensch,_Rainer-9021.jpg","https://de.wikipedia.org/wiki/Rainer_Bensch","männlich","BenschRainer",890582808636346368,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"d001b200-020c-4435-b9b2-7e5292a55757","Parlamentarier","Bremische Bürgerschaft","Birgit Bergmann","FDP","Bremen, Personenwahl","","https://de.wikipedia.org/wiki/Datei:Birgit_Bergmann.jpg","https://de.wikipedia.org/wiki/Birgit_Bergmann","weiblich","",NA,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"9099a233-443e-4c40-b3ef-52cd049ced64","Parlamentarier","Bremische Bürgerschaft","Hartmut Bodeit","CDU","Bremen, Listenwahl","","https://de.wikipedia.org/wiki/Datei:Bodeit,_Hartmut-1.jpg","https://de.wikipedia.org/wiki/Hartmut_Bodeit","männlich","HBodeit",607957793,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"532ae895-f393-435a-9be6-b0b7ff75b866","Parlamentarier","Bremische Bürgerschaft","Elombo Bolayela","SPD","Bremen, Personenwahl","","https://de.wikipedia.org/wiki/Datei:Elombo_Bolayela.jpg","https://de.wikipedia.org/wiki/Elombo_Bolayela","männlich","Bolayela",258404471,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"d3b212dd-238a-4b98-bcdb-4697a9a3eede","Parlamentarier","Bremische Bürgerschaft","Gönül Bredehorst","SPD","Bremen, Listenwahl","Nachrückerin 2019","https://de.wikipedia.org/wiki/Datei:Bredehorst,_G%C3%B6n%C3%BCl-1.jpg","https://de.wikipedia.org/wiki/G%C3%B6n%C3%BCl_Bredehorst","weiblich","GonulBredehorst",307202535,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"0ef41141-e246-40bd-b943-8512aea400f7","Parlamentarier","Bremische Bürgerschaft","Thomas vom Bruch","CDU","Bremen, Listenwahl","","https://de.wikipedia.org/wiki/Datei:Vom_Bruch,_Thomas.jpg","https://de.wikipedia.org/wiki/Thomas_vom_Bruch",NA,NA,NA,NA,NA,2021-02-23 20:38:11,"admin",""
"7d90183b-a699-4046-bf77-54e2b5b3f14b","Parlamentarier","Bremische Bürgerschaft","Philipp Bruck","GRÜNE","Bremen, Listenwahl","","https://de.wikipedia.org/wiki/Datei:Bruck,_Philipp-1.jpg","https://de.wikipedia.org/wiki/Philipp_Bruck","männlich","PhBruck",3241137995,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
