"uuid","category","group","Name","Fraktion","Wahlkreis","Kommentar","Bild","Wikipedia.URL","Geschlecht","Twitter_screen_name","Twitter_id","last_modified_time","last_modified_user","modified_at","modified_by","tags"
"e7ba03be-814a-444a-8d6e-bb9b2b6ce3a2","Parlamentarier","Bundestag","Michael von Abercron","CDU/CSU (CDU)","Pinneberg","","https://de.wikipedia.org/wiki/Datei:Dr._Ernst-Michael_von_Abercron.jpg","https://de.wikipedia.org/wiki/Michael_von_Abercron",NA,NA,NA,NA,NA,2021-02-23 20:38:11,"admin",""
"6af6a964-6285-47ae-a661-bd96bd6a571a","Parlamentarier","Bundestag","Doris Achelwilm","Linke","","","https://de.wikipedia.org/wiki/Datei:ColognePride_2018-Samstag-Hauptb%C3%BChne-1600-Politblock-Doris_Achelwilm-7638.jpg","https://de.wikipedia.org/wiki/Doris_Achelwilm",NA,NA,NA,NA,NA,2021-02-23 20:38:11,"admin",""
"0944b524-2a6d-4356-ad9f-8c63a6270c3c","Parlamentarier","Bundestag","Grigorios Aggelidis","FDP","","","https://de.wikipedia.org/wiki/Datei:Grigorios_Aggelidis_MdB.jpg","https://de.wikipedia.org/wiki/Grigorios_Aggelidis","männlich","",NA,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"98bef955-a63e-4b6c-b242-7a67ea489230","Parlamentarier","Bundestag","Gökay Akbulut","Linke","","","https://de.wikipedia.org/wiki/Datei:Portrait_G%C3%B6kay_Akbulut_Foto_Andi_Weiland.jpg","https://de.wikipedia.org/wiki/G%C3%B6kay_Akbulut","weiblich","goekayakbulut",4594081419,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"b98a3b3a-618f-4fa2-beb2-5a0691182557","Parlamentarier","Bundestag","Stephan Albani","CDU/CSU (CDU)","","","https://de.wikipedia.org/wiki/Datei:Albani,_Stephan-0402.jpg","https://de.wikipedia.org/wiki/Stephan_Albani","männlich","",NA,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"295a2840-095f-4c52-92f8-6509840d9cfd","Parlamentarier","Bundestag","Renata Alt","FDP","","","https://de.wikipedia.org/wiki/Datei:Renata_Alt_2020_by_Jenny_Paul_%E2%80%93_(01).jpg","https://de.wikipedia.org/wiki/Renata_Alt","weiblich","",NA,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"214e2f89-175b-473d-947d-a6d35e96bb3f","Parlamentarier","Bundestag","Norbert Altenkamp","CDU/CSU (CDU)","Main-Taunus","Schriftführer","https://de.wikipedia.org/wiki/Datei:Norbert_Altenkamp_by_Niklas_Mulzer.jpg","https://de.wikipedia.org/wiki/Norbert_Altenkamp",NA,NA,NA,NA,NA,2021-02-23 20:38:11,"admin",""
"b5f85403-5ed8-4307-969a-9fa168e9f1f7","Parlamentarier","Bundestag","Peter Altmaier","CDU/CSU (CDU)","Saarlouis","Bundesminister für Wirtschaft und Energie (ab März 2018); Bundesminister für besondere Aufgaben und Chef des Bundeskanzleramtes (bis März 2018); kommissarischer Bundesminister der Finanzen (bis März 2018)","https://de.wikipedia.org/wiki/Datei:Peter_Altmaier.jpg","https://de.wikipedia.org/wiki/Peter_Altmaier","männlich","peteraltmaier",378693834,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"f94cbbbd-849d-4d90-8a59-d03f4ad99953","Parlamentarier","Bundestag","Philipp Amthor","CDU/CSU (CDU)","Mecklenburgische Seenplatte I – Vorpommern-Greifswald II","","https://de.wikipedia.org/wiki/Datei:Philipp_Amthor.jpg","https://de.wikipedia.org/wiki/Philipp_Amthor","männlich","",NA,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"94ebd2c1-23ee-4eb2-826e-4785913392de","Parlamentarier","Bundestag","Luise Amtsberg","Grüne","","","https://de.wikipedia.org/wiki/Datei:Luise_Amtsberg.jpg","https://de.wikipedia.org/wiki/Luise_Amtsberg","weiblich","",NA,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
