"uuid","category","group","Name","Fraktion","Wahlkreis","Kommentar","Bild","Wikipedia.URL","Geschlecht","Twitter_screen_name","Twitter_id","last_modified_time","last_modified_user","modified_at","modified_by","tags"
"a9e60fbc-b46c-4b4d-9d6d-d7dd8025e6a0","Parlamentarier","Hamburgische Bürgerschaft","Kazim Abaci","SPD","–","","https://de.wikipedia.org/wiki/Datei:2018-09-26_Kaz%C4%B1m_Abac%C4%B1_(WLP_Hamburg)_by_Sandro_Halank%E2%80%933.jpg","https://de.wikipedia.org/wiki/Kaz%C4%B1m_Abac%C4%B1",NA,NA,NA,NA,NA,2021-02-23 20:38:11,"admin",""
"3162086d-70b5-4244-a3fd-021c6b8c4307","Parlamentarier","Hamburgische Bürgerschaft","Julia Barth","SPD","–","","https://de.wikipedia.org/wiki/Datei:Image_of_none.svg","https://de.wikipedia.org/wiki/Julia_Barth","weiblich","",NA,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"0187e191-214a-47cf-b130-a8761808fb96","Parlamentarier","Hamburgische Bürgerschaft","Ksenija Bekeris","SPD","–","","https://de.wikipedia.org/wiki/Datei:Image_of_none.svg","https://de.wikipedia.org/wiki/Ksenija_Bekeris","weiblich","",NA,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"b9fd78dd-2f8d-49b7-ac4d-6faaf7b501c9","Parlamentarier","Hamburgische Bürgerschaft","Cem Berk","SPD","11 Wandsbek","","https://de.wikipedia.org/wiki/Datei:Image_of_none.svg","https://de.wikipedia.org/wiki/Cem_Berk","männlich","",NA,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"e55cd5f7-9b17-4030-b080-32bbc4c35d39","Parlamentarier","Hamburgische Bürgerschaft","Miriam Block","GRÜNE","–","","https://de.wikipedia.org/wiki/Datei:Image_of_none.svg","https://de.wikipedia.org/wiki/Miriam_Block","weiblich","",NA,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"55ff96a4-8e52-444c-a6ca-2676fa6c9730","Parlamentarier","Hamburgische Bürgerschaft","Maryam Blumenthal","GRÜNE","13 Alstertal-Walddörfer","","https://de.wikipedia.org/wiki/Datei:Image_of_none.svg","https://de.wikipedia.org/wiki/Maryam_Blumenthal","weiblich","",NA,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"e8eaebff-9223-4f8a-bb5a-c43ff9d9d675","Parlamentarier","Hamburgische Bürgerschaft","Sabine Boeddinghaus","LINKE","–","","https://de.wikipedia.org/wiki/Datei:Image_of_none.svg","https://de.wikipedia.org/wiki/Sabine_Boeddinghaus","weiblich","s_boeddinghaus",3382066053,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"b3ea1539-aa08-4572-a9d5-57b41e97f18b","Parlamentarier","Hamburgische Bürgerschaft","Eva-Maria Botzenhart","GRÜNE","–","nachgerückt für Anna Gallina","https://de.wikipedia.org/wiki/Datei:Image_of_none.svg","https://de.wikipedia.org/wiki/Eva-Maria_Botzenhart",NA,NA,NA,NA,NA,2021-02-23 20:38:11,"admin",""
"c5774836-a20a-414c-808b-7b9abc9141de","Parlamentarier","Hamburgische Bürgerschaft","Ole Thorben Buschhüter","SPD","14 Rahlstedt","","https://de.wikipedia.org/wiki/Datei:Ole_Thorben_Buschh%C3%BCter_2018_by_Jenny_Paul_%E2%80%93_(01).jpg","https://de.wikipedia.org/wiki/Ole_Thorben_Buschh%C3%BCter","männlich","otbhh",129563351,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"cfce0ea1-927d-4d59-a444-667bd4411c76","Parlamentarier","Hamburgische Bürgerschaft","Deniz Çelik","LINKE","9 Barmbek-Uhlenhorst-Dulsberg","","https://de.wikipedia.org/wiki/Datei:Deniz_%C3%87elik_2018_by_Jenny_Paul_%E2%80%93_(01).jpg","https://de.wikipedia.org/wiki/Deniz_%C3%87elik_(Politiker)",NA,NA,NA,NA,NA,2021-02-23 20:38:11,"admin",""
