"uuid","category","group","Name","Fraktion","Wahlkreis","Kommentar","Bild","Wikipedia.URL","Geschlecht","Twitter_screen_name","Twitter_id","last_modified_time","last_modified_user","modified_at","modified_by","tags"
"725b480e-86fe-40fb-bc61-3e4ffc6882ce","Parlamentarier","Landtag Mecklenburg-Vorpommern","Rainer Albrecht","SPD","5 (Hansestadt Rostock II)","","https://de.wikipedia.org/wiki/Datei:18-05-2017-Rainer_Albrecht-JonasR.jpg","https://de.wikipedia.org/wiki/Rainer_Albrecht_(Politiker)","männlich","",NA,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"72daa0b6-fa90-4060-a0a0-0acda8c0deaa","Parlamentarier","Landtag Mecklenburg-Vorpommern","Ann Christin von Allwörden","CDU","26 (Stralsund II)","","https://de.wikipedia.org/wiki/Datei:18-05-2017-Ann_Christin_von_Allw%C3%B6rden-JonasR.jpg","https://de.wikipedia.org/wiki/Ann_Christin_von_Allw%C3%B6rden","weiblich","",NA,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"43fb6883-5d8f-471e-9abf-3fc75819e138","Parlamentarier","Landtag Mecklenburg-Vorpommern","Holger Arppe","fraktionslos","Landesliste","AfD-Fraktionsaustritt am 31. August 2017, Parteiausschluss im September 2018","https://de.wikipedia.org/wiki/Datei:2019-03-13_Landtag_Mecklenburg-Vorpommern_Holger_Arppe_6165.jpg","https://de.wikipedia.org/wiki/Holger_Arppe","männlich","",NA,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"dadce1ff-9303-43dd-a6cd-afd0335c6a3b","Parlamentarier","Landtag Mecklenburg-Vorpommern","Elisabeth Aßmann","SPD","18 (Ludwigslust-Parchim II)","","https://de.wikipedia.org/wiki/Datei:Assmann_Elisabeth_001.jpg","https://de.wikipedia.org/wiki/Elisabeth_A%C3%9Fmann","weiblich","",NA,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"6fd60523-3d13-49d1-82e3-53916c9584d5","Parlamentarier","Landtag Mecklenburg-Vorpommern","Till Backhaus","SPD","17 (Ludwigslust-Parchim I)","Landwirtschaftsminister","https://de.wikipedia.org/wiki/Datei:18-05-2017-Till_Backhaus-JonasR.jpg","https://de.wikipedia.org/wiki/Till_Backhaus","männlich","",NA,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"1a468eac-9f62-4284-a9e7-a3c946919f21","Parlamentarier","Landtag Mecklenburg-Vorpommern","Julian Barlen","SPD","Landesliste","nachgerückt am 14. Mai 2019 für die am 28. April 2019 verstorbene Sylvia Bretschneider","https://de.wikipedia.org/wiki/Datei:Julian_Barlen_6204018b.jpg","https://de.wikipedia.org/wiki/Julian_Barlen","männlich","JulianBarlen",1012957688295280640,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"37e1b3fc-10ad-4e8a-9ca9-ec55252b113e","Parlamentarier","Landtag Mecklenburg-Vorpommern","Christiane Berg","CDU","Landesliste","","https://de.wikipedia.org/wiki/Datei:17-05-18-Christiane_Berg-a_RR79568.jpg","https://de.wikipedia.org/wiki/Christiane_Berg","weiblich","",NA,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"8bf56024-2065-4be8-937b-f31bb92c9c08","Parlamentarier","Landtag Mecklenburg-Vorpommern","Jacqueline Bernhardt","LINKE","Landesliste","","https://de.wikipedia.org/wiki/Datei:17-05-18-Jacqueline_Bernhardt_RR79524.jpg","https://de.wikipedia.org/wiki/Jacqueline_Bernhardt","weiblich","JacbeJacqueline",930837904653418496,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"5d8fa525-7a6a-44f0-ba86-ff686ba7b6a5","Parlamentarier","Landtag Mecklenburg-Vorpommern","Ralf Borschke","AfD","Landesliste","Austritt aus der AfD-Fraktion am 25. September 2017; Eintritt in die AfD-Fraktion am 1. Oktober 2019","https://de.wikipedia.org/wiki/Datei:18-05-2017-Ralf_Borschke-JonasR.jpg","https://de.wikipedia.org/wiki/Ralf_Borschke","männlich","",NA,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"b1914975-8dd6-4f9d-8dc7-471ef4567d1f","Parlamentarier","Landtag Mecklenburg-Vorpommern","Christian Brade","SPD","31 (Ludwigslust-Parchim III)","","https://de.wikipedia.org/wiki/Datei:18-05-2017-Christian_Brade-JonasR.jpg","https://de.wikipedia.org/wiki/Christian_Brade","männlich","",NA,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
