"uuid","category","group","Name","Fraktion","Wahlkreis","Kommentar","Bild","Wikipedia.URL","Geschlecht","Twitter_screen_name","Twitter_id","last_modified_time","last_modified_user","modified_at","modified_by","tags"
"7ce28795-185c-44b8-b3bb-67f3cf885afc","Parlamentarier","Landtag Nordrhein-Westfalen","Britta Altenkamp","SPD","Essen III","","https://de.wikipedia.org/wiki/Datei:Britta_Altenkamp.jpg","https://de.wikipedia.org/wiki/Britta_Altenkamp","weiblich","",NA,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"1a21e0d6-255b-4999-b216-41f44856cbfe","Parlamentarier","Landtag Nordrhein-Westfalen","Berivan Aymaz","GRÜNE","Landesliste","","https://de.wikipedia.org/wiki/Datei:Berivan_Aymaz.jpg","https://de.wikipedia.org/wiki/Berivan_Aymaz","männlich","berivan_aymaz",3122315198,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"429b6785-90e8-492d-b88e-fb9e33e1667a","Parlamentarier","Landtag Nordrhein-Westfalen","Volkan Baran","SPD","Dortmund II","","https://de.wikipedia.org/wiki/Datei:Baran,_Volkan-1.jpg","https://de.wikipedia.org/wiki/Volkan_Baran","männlich","baran_volkan",1479540692,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"eb199d61-052f-4ac4-88dd-3e9a37d2f8ab","Parlamentarier","Landtag Nordrhein-Westfalen","Roger Beckamp","AfD","Landesliste","","https://de.wikipedia.org/wiki/Datei:Beckamp,_Roger-1.jpg","https://de.wikipedia.org/wiki/Roger_Beckamp","männlich","RogerBeckamp",4755310637,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"822b3e37-9992-49c2-acc9-f0a6dc1f0871","Parlamentarier","Landtag Nordrhein-Westfalen","Andreas Becker","SPD","Recklinghausen I","","https://de.wikipedia.org/wiki/Datei:20131129_Andreas_Becker_1058.jpg","https://de.wikipedia.org/wiki/Andreas_Becker_(Politiker)","männlich","AndreasBeckerRE",532919150,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"617c9c56-2c15-4eac-89e9-251ac52b66c4","Parlamentarier","Landtag Nordrhein-Westfalen","Horst Becker","GRÜNE","Landesliste","","https://de.wikipedia.org/wiki/Datei:Horst_Becker-Gr%C3%BCne.jpg","https://de.wikipedia.org/wiki/Horst_Becker_(Politiker,_1956)",NA,NA,NA,NA,NA,2021-02-23 20:38:11,"admin",""
"84960577-0152-4f86-8b85-5cb44d3ea836","Parlamentarier","Landtag Nordrhein-Westfalen","Sigrid Beer","GRÜNE","Landesliste","","https://de.wikipedia.org/wiki/Datei:Sigrid-Beer-Gr%C3%BCnen-2_LT-NRW-by-Leila-Paul.jpg","https://de.wikipedia.org/wiki/Sigrid_Beer","weiblich","beerenstark",19455453,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"bddd5b18-4aaf-4470-92f4-2ae97956f64d","Parlamentarier","Landtag Nordrhein-Westfalen","Daniela Beihl","FDP","Landesliste","Nachgerückt am 27. Juni 2019 für Moritz Körner","https://de.wikipedia.org/wiki/Datei:Placeholder_staff_photo.svg","https://de.wikipedia.org/wiki/Daniela_Beihl","weiblich","",NA,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"d9dc92bc-cff5-4567-877d-19c0d55f0ae9","Parlamentarier","Landtag Nordrhein-Westfalen","Dietmar Bell","SPD","Wuppertal I","","https://de.wikipedia.org/wiki/Datei:Dietmar_Bell,_2013-11_CN-02.jpg","https://de.wikipedia.org/wiki/Dietmar_Bell","männlich","DietmarBell",19059408,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"dd85dfbf-c35a-45b4-84c5-9a56411d09cd","Parlamentarier","Landtag Nordrhein-Westfalen","Jürgen Berghahn","SPD","Lippe II","","https://de.wikipedia.org/wiki/Datei:Berghahn,_J%C3%BCrgen-1.jpg","https://de.wikipedia.org/wiki/J%C3%BCrgen_Berghahn","männlich","",NA,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"2652a9c1-542f-4c3e-8c07-9a6a69e0a0c2","Parlamentarier","Landtag Nordrhein-Westfalen","Günther Bergmann","CDU","Kleve II","","https://de.wikipedia.org/wiki/Datei:Bergmann,_G%C3%BCnther-1.jpg","https://de.wikipedia.org/wiki/G%C3%BCnther_Bergmann",NA,NA,NA,NA,NA,2021-02-23 20:38:11,"admin",""
"e969ebc5-98f4-439d-9dd6-04798c928316","Parlamentarier","Landtag Nordrhein-Westfalen","Andreas Bialas","SPD","Wuppertal II","","https://de.wikipedia.org/wiki/Datei:Andreas_Bialas_(Martin_Rulsch)_2.jpg","https://de.wikipedia.org/wiki/Andreas_Bialas","männlich","Abialas",90497993,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
