"uuid","category","group","Name","Fraktion","Wahlkreis","Kommentar","Bild","Wikipedia.URL","Geschlecht","Twitter_screen_name","Twitter_id","last_modified_time","last_modified_user","modified_at","modified_by","tags"
"2f792034-df89-4fe9-9da2-78ba975f400c","Parlamentarier","Landtag Rheinland-Pfalz","Jens Ahnemüller","fraktionslos","","im September 2018 aus der AfD-Fraktion ausgeschlossen","https://de.wikipedia.org/wiki/Datei:2016-11-17_-_Jens_Ahnem%C3%BCller_-_0199.jpg","https://de.wikipedia.org/wiki/Jens_Ahnem%C3%BCller","männlich","",NA,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"552fcf59-ffc6-4fbc-a2ed-343d0ad8be10","Parlamentarier","Landtag Rheinland-Pfalz","Doris Ahnen","SPD","Mainz II","Ministerin der Finanzen","https://de.wikipedia.org/wiki/Datei:Doris_Ahnen-7462.jpg","https://de.wikipedia.org/wiki/Doris_Ahnen","weiblich","",NA,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"ff203c7d-56c8-4d70-af89-3319f4a2e29e","Parlamentarier","Landtag Rheinland-Pfalz","Kathrin Anklam-Trapp","SPD","Rhein-Selz/Wonnegau","Stellv. Fraktionsvorsitzende","https://de.wikipedia.org/wiki/Datei:Kathrin_Anklam-Trapp-2683.jpg","https://de.wikipedia.org/wiki/Kathrin_Anklam-Trapp","weiblich","AnklamTrapp",2996784718,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"fb0df8d8-de54-4330-bfb7-7b7673ca197c","Parlamentarier","Landtag Rheinland-Pfalz","Sabine Bätzing-Lichtenthäler","SPD","","Ministerin für Soziales, Arbeit, Gesundheit und Demografie","https://de.wikipedia.org/wiki/Datei:2014-09-11_-_Sabine_B%C3%A4tzing-Lichtenth%C3%A4ler_MdB_-_7791.jpg","https://de.wikipedia.org/wiki/Sabine_B%C3%A4tzing-Lichtenth%C3%A4ler","männlich","Sabine_Baetzing",281941547,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"eba809a7-ecdb-48cf-8c34-8330f40255f4","Parlamentarier","Landtag Rheinland-Pfalz","Christian Baldauf","CDU","Frankenthal (Pfalz)","Fraktionsvorsitzender","https://de.wikipedia.org/wiki/Datei:2014-02-19_-_Christian_Baldauf_-_Landtag_Rheinland-Pfalz_343.jpg","https://de.wikipedia.org/wiki/Christian_Baldauf","männlich","ChBaldauf",228016783,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"88f712c2-9e6d-4887-ac1c-06da16c17e90","Parlamentarier","Landtag Rheinland-Pfalz","Thomas Barth","CDU","","am 1. Oktober 2017 für Dorothea Schäfer nachgerückt","https://de.wikipedia.org/wiki/Datei:Placeholder_staff_photo.svg","https://de.wikipedia.org/wiki/Thomas_Barth_(Politiker)","männlich","",NA,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"9f55b0d6-8162-472e-89d0-e1922d4c6701","Parlamentarier","Landtag Rheinland-Pfalz","Monika Becker","FDP","","Stellv. Fraktionsvorsitzende","https://de.wikipedia.org/wiki/Datei:Monika_Becker-2808.jpg","https://de.wikipedia.org/wiki/Monika_Becker","weiblich","",NA,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"8f28f96a-b6cc-4289-b865-bce7159f65a2","Parlamentarier","Landtag Rheinland-Pfalz","Anke Beilstein","CDU","Cochem-Zell","Stellv. Fraktionsvorsitzende","https://de.wikipedia.org/wiki/Datei:2016-11-17_-_Anke_Beilstein_-_0056.jpg","https://de.wikipedia.org/wiki/Anke_Beilstein","weiblich","",NA,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"52ca208b-fc21-431d-9ac7-8b38baf4bb61","Parlamentarier","Landtag Rheinland-Pfalz","Katharina Binz","GRÜNE","","am 1. April 2017 nachgerückt für Eveline Lemke","https://de.wikipedia.org/wiki/Datei:Placeholder_staff_photo.svg","https://de.wikipedia.org/wiki/Katharina_Binz","weiblich","katharina_binz",141163937,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"fb315fa6-5b84-4d7d-b5de-c2e7c058612c","Parlamentarier","Landtag Rheinland-Pfalz","Jutta Blatzheim-Roegler","GRÜNE","","Stellv. Fraktionsvorsitzende","https://de.wikipedia.org/wiki/Datei:2014-02-20_-_Jutta_Blatzheim-Roegler_-_Landtag_Rheinland-Pfalz_-_2818.jpg","https://de.wikipedia.org/wiki/Jutta_Blatzheim-Roegler","weiblich","",NA,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"a2620975-786d-45ed-8c65-e489d60adbcf","Parlamentarier","Landtag Rheinland-Pfalz","Timo Böhme","AfD","","Stellv. Fraktionsvorsitzender","https://de.wikipedia.org/wiki/Datei:Timo_B%C3%B6hme-2698.jpg","https://de.wikipedia.org/wiki/Timo_B%C3%B6hme","männlich","",NA,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"b797e8fc-7d84-4be8-9e99-178301b2bddf","Parlamentarier","Landtag Rheinland-Pfalz","Jan Bollinger","AfD","","Parlamentar. Geschäftsführer","https://de.wikipedia.org/wiki/Datei:Jan_Bollinger-2712.jpg","https://de.wikipedia.org/wiki/Jan_Bollinger","männlich","",NA,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"0b34fd78-1804-4d40-8d05-8e802d7bcd36","Parlamentarier","Landtag Rheinland-Pfalz","Hans-Josef Bracht","CDU","Rhein-Hunsrück","Stellvertretender Landtagspräsident","https://de.wikipedia.org/wiki/Datei:Hans-Josef_Bracht-7062.jpg","https://de.wikipedia.org/wiki/Hans-Josef_Bracht","männlich","HansJosefBracht",88241842,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
