"uuid","category","group","Name","Fraktion","Wahlkreis","Kommentar","Bild","Wikipedia.URL","Geschlecht","Twitter_screen_name","Twitter_id","last_modified_time","last_modified_user","modified_at","modified_by","tags"
"6862d408-7e08-4090-8237-7ae6340dcf49","Parlamentarier","Landtag Sachsen-Anhalt","Wolfgang Aldag","GRÜNE","Landesliste","am 4. Mai 2016 nachgerückt für Claudia Dalbert[2]","https://de.wikipedia.org/wiki/Datei:2018-05-24_Abgeordnete(r)_des_Landtags_von_Sachsen-Anhalt_IMG_5828_LR10_by_Stepro.jpg","https://de.wikipedia.org/wiki/Wolfgang_Aldag","männlich","wolfgangaldag",2209961105,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"4bfe65b5-a2ac-429e-ab62-15fe013dbe03","Parlamentarier","Landtag Sachsen-Anhalt","Eva von Angern","LINKE","Landesliste","","https://de.wikipedia.org/wiki/Datei:2018-05-24_Abgeordnete(r)_des_Landtags_von_Sachsen-Anhalt_IMG_5945_LR10_by_Stepro.jpg","https://de.wikipedia.org/wiki/Eva_von_Angern","weiblich","Eva0112",74135988,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"ee57c48a-e126-41a5-a72d-9e55ffc55a92","Parlamentarier","Landtag Sachsen-Anhalt","Gottfried Backhaus","fraktionslos","40 Querfurt","am 2. Juni 2017 aus der AfD-Fraktion[3] und am 17. Oktober 2017 aus der AfD ausgetreten, im Januar 2018 Eintritt in die blaue Partei, seit deren Auflösung am 31. Dezember 2019 parteilos","https://de.wikipedia.org/wiki/Datei:Image_of_none.svg","https://de.wikipedia.org/wiki/Gottfried_Backhaus","männlich","",NA,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"cffd8018-691a-48f1-8c77-f4812f4f215c","Parlamentarier","Landtag Sachsen-Anhalt","Katja Bahlmann","Linke","Landesliste","am 2. November 2017 nachgerückt für Matthias Höhn[4]","https://de.wikipedia.org/wiki/Datei:2018-05-24_Abgeordnete(r)_des_Landtags_von_Sachsen-Anhalt_IMG_5838_LR10_by_Stepro.jpg","https://de.wikipedia.org/wiki/Katja_Bahlmann","weiblich","katja_bahlmann",2977798858,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"96691366-1042-4d3e-bc97-22137e7fceb4","Parlamentarier","Landtag Sachsen-Anhalt","Jürgen Barth","SPD","Landesliste","","https://de.wikipedia.org/wiki/Datei:2012-12-13_-_J%C3%BCrgen_Barth_MdL_DE-ST_-_1249.jpg","https://de.wikipedia.org/wiki/J%C3%BCrgen_Barth_(Politiker)",NA,NA,NA,NA,NA,2021-02-23 20:38:11,"admin",""
"dc0e15d6-6b7c-4a83-9e75-6ec6581d3b03","Parlamentarier","Landtag Sachsen-Anhalt","Frank Bommersbach","CDU","Landesliste","am 21. Februar 2018 nachgerückt für Eva Feußner[5]","https://de.wikipedia.org/wiki/Datei:Image_of_none.svg","https://de.wikipedia.org/wiki/Frank_Bommersbach","männlich","",NA,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"c7b87af4-d023-4636-a151-58564b71c736","Parlamentarier","Landtag Sachsen-Anhalt","Bernhard Bönisch","CDU","37 Halle III","","https://de.wikipedia.org/wiki/Datei:2012-12-13_-_Bernhard_B%C3%B6nisch_MdL_DE-ST_-_1214.jpg","https://de.wikipedia.org/wiki/Bernhard_B%C3%B6nisch","männlich","boenisch2012",400656681,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"dbc9d0e9-ae1e-49fe-9ae6-f7adb9c88c6e","Parlamentarier","Landtag Sachsen-Anhalt","Carsten Borchert","CDU","01 Salzwedel","","https://de.wikipedia.org/wiki/Datei:2018-05-24_Abgeordnete(r)_des_Landtags_von_Sachsen-Anhalt_IMG_6120_LR10_by_Stepro.jpg","https://de.wikipedia.org/wiki/Carsten_Borchert","männlich","Borchert_CDU",726487498956886016,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"2e0bcef9-ac4f-4a14-99b4-dec74f91f3dd","Parlamentarier","Landtag Sachsen-Anhalt","Siegfried Borgwardt","CDU","25 Jessen","","https://de.wikipedia.org/wiki/Datei:2012-12-13_-_Siegfried_Borgwardt_MdL_DE-ST_-_1201.jpg","https://de.wikipedia.org/wiki/Siegfried_Borgwardt",NA,NA,NA,NA,NA,2021-02-23 20:38:11,"admin",""
"6ec6c62d-6039-4051-8e7a-47e58a3fde94","Parlamentarier","Landtag Sachsen-Anhalt","Gabriele Brakebusch","CDU","09 Oschersleben","Landtagspräsidentin (ab September 2016)","https://de.wikipedia.org/wiki/Datei:Gabriele_Brakebusch.jpg","https://de.wikipedia.org/wiki/Gabriele_Brakebusch","weiblich","brakebusch1",1086011780034379776,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"dc66471d-aaf7-468d-bf7c-68171a55e849","Parlamentarier","Landtag Sachsen-Anhalt","Christina Buchheim","LINKE","22 Köthen","","https://de.wikipedia.org/wiki/Datei:2018-05-24_Abgeordnete(r)_des_Landtags_von_Sachsen-Anhalt_IMG_5813_LR10_by_Stepro.jpg","https://de.wikipedia.org/wiki/Christina_Buchheim","weiblich","",NA,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"d48fe78e-ef82-480d-b3fe-2826460982c2","Parlamentarier","Landtag Sachsen-Anhalt","Matthias Büttner","AfD","17 Staßfurt","","https://de.wikipedia.org/wiki/Datei:Matthias_B%C3%BCttner_AfD.jpg","https://de.wikipedia.org/wiki/Matthias_B%C3%BCttner_(Politiker,_1983)",NA,NA,NA,NA,NA,2021-02-23 20:38:11,"admin",""
"e3c1ec72-0a99-4ec3-ac1c-0505ee334fc3","Parlamentarier","Landtag Sachsen-Anhalt","Bernhard Daldrup","CDU","15 Blankenburg","","https://de.wikipedia.org/wiki/Datei:2012-12-13_-_Bernhard_Daldrup_MdL_DE-ST_-_1154.jpg","https://de.wikipedia.org/wiki/Bernhard_Daldrup_(Politiker,_1961)","männlich","",NA,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
