"uuid","category","group","Name","Fraktion","Wahlkreis","Kommentar","Bild","Wikipedia.URL","Geschlecht","Twitter_screen_name","Twitter_id","last_modified_time","last_modified_user","modified_at","modified_by","tags"
"b698fceb-f585-440b-9fed-3c25036acb21","Parlamentarier","Landtag des Saarlandes","Christina Baltes","SPD","Neunkirchen","","https://de.wikipedia.org/wiki/Datei:Christina_Baltes-6977.jpg","https://de.wikipedia.org/wiki/Christina_Baltes","weiblich","",NA,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"084e2c97-1a6c-4689-8d66-44722a1c5963","Parlamentarier","Landtag des Saarlandes","Heike Becker","SPD","Neunkirchen","nachgerückt am 30. Oktober 2019 für Sebastian Thul[7]","https://de.wikipedia.org/wiki/Datei:Placeholder_staff_photo.svg","https://de.wikipedia.org/wiki/Heike_Becker","weiblich","",NA,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"f7639df5-76d5-4a8e-ad3e-546eebd6a31a","Parlamentarier","Landtag des Saarlandes","Petra Berg","SPD","Saarlouis","","https://de.wikipedia.org/wiki/Datei:Petra_Berg-6869.jpg","https://de.wikipedia.org/wiki/Petra_Berg","weiblich","",NA,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"bbf88970-37fc-4a98-969e-c65abb2508f2","Parlamentarier","Landtag des Saarlandes","Klaus Bouillon","CDU","Neunkirchen","Kabinettsmitglied","https://de.wikipedia.org/wiki/Datei:Klaus_Bouillon(2015).jpg","https://de.wikipedia.org/wiki/Klaus_Bouillon","männlich","klausbouillon",90607386,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"ef361d20-a946-4f63-8a74-4f0d8627ccfc","Parlamentarier","Landtag des Saarlandes","Ulrich Commerçon","SPD","Saarbrücken","Kabinettsmitglied bis 18. September 2019  Fraktionsvorsitzender seit 18. September 2019","https://de.wikipedia.org/wiki/Datei:Ulrich_Commer%C3%A7on-6871.jpg","https://de.wikipedia.org/wiki/Ulrich_Commer%C3%A7on",NA,NA,NA,NA,NA,2021-02-23 20:38:11,"admin",""
"290a0edb-c4e2-4215-be0f-2ca3d73287f2","Parlamentarier","Landtag des Saarlandes","Pia Döring","SPD","Neunkirchen","","https://de.wikipedia.org/wiki/Datei:Placeholder_staff_photo.svg","https://de.wikipedia.org/wiki/Pia_D%C3%B6ring","weiblich","",NA,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"b736fc7c-341b-4125-a9ba-4080557181d4","Parlamentarier","Landtag des Saarlandes","Josef Dörr","AfD","Saarbrücken","Alterspräsident, Fraktionsvorsitzender","https://de.wikipedia.org/wiki/Datei:Josef_D%C3%B6rr-6905.jpg","https://de.wikipedia.org/wiki/Josef_D%C3%B6rr","männlich","",NA,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"721e847a-8d22-479c-8181-2cb4ecd11f30","Parlamentarier","Landtag des Saarlandes","Elke Eder-Hippler","SPD","Neunkirchen","","https://de.wikipedia.org/wiki/Datei:Elke_Eder-Hippler-7027.jpg","https://de.wikipedia.org/wiki/Elke_Eder-Hippler","weiblich","",NA,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"5b7a1ac4-6093-4072-8508-7e875c0e63f9","Parlamentarier","Landtag des Saarlandes","Dagmar Ensch-Engel","fraktionslos","Saarlouis","im August 2018 aus der LINKE-Fraktion ausgetreten","https://de.wikipedia.org/wiki/Datei:Placeholder_staff_photo.svg","https://de.wikipedia.org/wiki/Dagmar_Ensch-Engel","weiblich","DIELINKEUMWELT",1383197616,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"1b969fb7-0865-49a5-acdb-183a58324c52","Parlamentarier","Landtag des Saarlandes","Jochen Flackus","LINKE","Landesliste","","https://de.wikipedia.org/wiki/Datei:Jochen_Flackus-7381.jpg","https://de.wikipedia.org/wiki/Jochen_Flackus","männlich","",NA,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
