"uuid","category","group","Name","Fraktion","Wahlkreis","Kommentar","Bild","Wikipedia.URL","Geschlecht","Twitter_screen_name","Twitter_id","last_modified_time","last_modified_user","modified_at","modified_by","tags"
"a9b1695b-5990-4439-bc6e-c40099b42cf2","Parlamentarier","Schleswig-Holsteinischer Landtag","Hans-Jörn Arp","CDU","Steinburg-West","","https://de.wikipedia.org/wiki/Datei:1372-ri-67-CDU_Hans-Joern_Arp.jpg","https://de.wikipedia.org/wiki/Hans-J%C3%B6rn_Arp","männlich","",NA,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"d5256a61-2ade-4361-9f63-29192e1b88e8","Parlamentarier","Schleswig-Holsteinischer Landtag","Wolfgang Baasch","SPD","Lübeck-Süd","","https://de.wikipedia.org/wiki/Datei:1842-ri-129-SPD_Wolfgang_Baasch.jpg","https://de.wikipedia.org/wiki/Wolfgang_Baasch","männlich","wolfgangbaasch",59100258,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"ed129872-510d-4593-a47f-c07db339cddc","Parlamentarier","Schleswig-Holsteinischer Landtag","Marret Bohn","GRÜNE","Listenmandat","","https://de.wikipedia.org/wiki/Datei:Marret_Bohn_(2016).jpg","https://de.wikipedia.org/wiki/Marret_Bohn",NA,NA,NA,NA,NA,2021-02-23 20:38:11,"admin",""
"da1593f3-a2ac-43c6-bd9a-eecd6a042ee7","Parlamentarier","Schleswig-Holsteinischer Landtag","Dennys Bornhöft","FDP","Listenmandat","","https://de.wikipedia.org/wiki/Datei:Dennys_Bornh%C3%B6ft_WackenOpenAir_2018_Urheber_Dennys_Bornh%C3%B6ft_Selbst_SELFIE_2a.png","https://de.wikipedia.org/wiki/Dennys_Bornh%C3%B6ft","männlich","DABornhoeft",4854575801,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"6bfcd360-d5e6-4ee1-bfd7-120770123ab4","Parlamentarier","Schleswig-Holsteinischer Landtag","Tim Brockmann","CDU","Plön-Ostholstein","","https://de.wikipedia.org/wiki/Datei:Tim_Brockmann_Plenum.jpg","https://de.wikipedia.org/wiki/Tim_Brockmann","männlich","",NA,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"ccb7dc32-6034-46c3-8070-4dc631b09689","Parlamentarier","Schleswig-Holsteinischer Landtag","Frank Brodehl","fraktionslos","Listenmandat","am 25. September 2020 aus AfD-Fraktion ausgetreten[7]","https://de.wikipedia.org/wiki/Datei:Placeholder_staff_photo.svg","https://de.wikipedia.org/wiki/Frank_Brodehl",NA,NA,NA,NA,NA,2021-02-23 20:38:11,"admin",""
"791cf3f4-f0d4-47a0-bf01-a841f1064308","Parlamentarier","Schleswig-Holsteinischer Landtag","Johannes Callsen","CDU","Schleswig","","https://de.wikipedia.org/wiki/Datei:1922-ri-166-CDU_Johannes_Callsen.jpg","https://de.wikipedia.org/wiki/Johannes_Callsen","männlich","",NA,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"25cbc441-f6c2-46e2-8bc1-dcd4ff07a99c","Parlamentarier","Schleswig-Holsteinischer Landtag","Claus Christian Claussen","CDU","Stormarn","","https://de.wikipedia.org/wiki/Datei:Claus_christian_claussen_foto_landtag.jpg","https://de.wikipedia.org/wiki/Claus_Christian_Claussen","männlich","CCCfuerStormarn",833831914251370496,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"fef4ab93-f62e-4547-ad40-0820e1dec11a","Parlamentarier","Schleswig-Holsteinischer Landtag","Christian Dirschauer","SSW","Listenmandat","am 1. August 2020 nachgerückt für Flemming Meyer","https://de.wikipedia.org/wiki/Datei:Placeholder_staff_photo.svg","https://de.wikipedia.org/wiki/Christian_Dirschauer",NA,NA,NA,NA,NA,2021-02-23 20:38:11,"admin",""
"3369864b-8f2d-4347-937c-5d7bdef1eff0","Parlamentarier","Schleswig-Holsteinischer Landtag","Kai Dolgner","SPD","Listenmandat","","https://de.wikipedia.org/wiki/Datei:13-08-22-kai-dolgner-01.jpg","https://de.wikipedia.org/wiki/Kai_Dolgner",NA,NA,NA,NA,NA,2021-02-23 20:38:11,"admin",""
