"uuid","category","group","Name","Fraktion","Wahlkreis","Kommentar","Bild","Wikipedia.URL","Geschlecht","Twitter_screen_name","Twitter_id","last_modified_time","last_modified_user","modified_at","modified_by","tags"
"4d3f4fc5-9f64-4ac5-be26-847aa06c1039","Parlamentarier","Sächsischer Landtag","Rico Anton","CDU","Erzgebirge 1","","https://de.wikipedia.org/wiki/Datei:Placeholder_staff_photo.svg","https://de.wikipedia.org/wiki/Rico_Anton","männlich","",NA,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"c7bf0499-5ac3-4a05-bb93-2884122f1cf2","Parlamentarier","Sächsischer Landtag","André Barth","AfD","","","https://de.wikipedia.org/wiki/Datei:Placeholder_staff_photo.svg","https://de.wikipedia.org/wiki/Andr%C3%A9_Barth",NA,NA,NA,NA,NA,2021-02-23 20:38:11,"admin",""
"263a0b7c-ffa0-45eb-9c85-a81bcceddf6b","Parlamentarier","Sächsischer Landtag","Klaus Bartl","LINKE","","","https://de.wikipedia.org/wiki/Datei:2013-12-17_-_Klaus_Bartl_-_S%C3%A4chsischer_Landtag_-_1853.jpg","https://de.wikipedia.org/wiki/Klaus_Bartl",NA,NA,NA,NA,NA,2021-02-23 20:38:11,"admin",""
"7e789265-3202-4f48-8f92-dac23a86f7c6","Parlamentarier","Sächsischer Landtag","Thomas Baum","SPD","","nachgerückt im Dezember 2014 für Stefan Brangs","https://de.wikipedia.org/wiki/Datei:2016-12-15_Thomas_Baum_(Landtagsprojekt_Sachsen)_by_Sandro_Halank%E2%80%931.jpg","https://de.wikipedia.org/wiki/Thomas_Baum_(Politiker)",NA,NA,NA,NA,NA,2021-02-23 20:38:11,"admin",""
"4c7debe3-e04f-4099-aa05-e72f025b951e","Parlamentarier","Sächsischer Landtag","Harald Baumann-Hasske","SPD","","","https://de.wikipedia.org/wiki/Datei:Harald_Baumann-Hasske_(SPD)_Landtagsprojekt_Sachsen_IMG_9339_LR10_by_Stepro.jpg","https://de.wikipedia.org/wiki/Harald_Baumann-Hasske",NA,NA,NA,NA,NA,2021-02-23 20:38:11,"admin",""
"ef1d5846-4ec9-425c-b84d-56e8203f2718","Parlamentarier","Sächsischer Landtag","Mario Beger","AfD","","","https://de.wikipedia.org/wiki/Datei:Placeholder_staff_photo.svg","https://de.wikipedia.org/wiki/Mario_Beger",NA,NA,NA,NA,NA,2021-02-23 20:38:11,"admin",""
"e24cfb36-938e-41f0-9427-c283efc06313","Parlamentarier","Sächsischer Landtag","Lothar Bienst","CDU","Görlitz 1","","https://de.wikipedia.org/wiki/Datei:Lothar_Bienst_(CDU)_Landtagsprojekt_Sachsen_IMG_9307_LR10_by_Stepro.jpg","https://de.wikipedia.org/wiki/Lothar_Bienst",NA,NA,NA,NA,NA,2021-02-23 20:38:11,"admin",""
"e3511830-009c-468a-8b3f-381a8e4a712e","Parlamentarier","Sächsischer Landtag","Cornelia Blattner","CDU","","nachgerückt am 27. Dezember 2017 für Günther Schneider","https://de.wikipedia.org/wiki/Datei:Placeholder_staff_photo.svg","https://de.wikipedia.org/wiki/Cornelia_Blattner",NA,NA,NA,NA,NA,2021-02-23 20:38:11,"admin",""
"2242bb2a-56cf-41f2-aef3-7f608c52f9ec","Parlamentarier","Sächsischer Landtag","Marco Böhme","LINKE","","","https://de.wikipedia.org/wiki/Datei:Placeholder_staff_photo.svg","https://de.wikipedia.org/wiki/Marco_B%C3%B6hme","männlich","BoehmeMarco",21297432,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"a0d5fc98-498d-493b-8ade-8d30d8810405","Parlamentarier","Sächsischer Landtag","Georg-Ludwig von Breitenbuch","CDU","Leipzig Land 1","","https://de.wikipedia.org/wiki/Datei:2016-12-15_Georg_Ludwig_Breitenbuch_(Landtagsprojekt_Sachen)_by_Sandro_Halank.jpg","https://de.wikipedia.org/wiki/Georg-Ludwig_von_Breitenbuch",NA,NA,NA,NA,NA,2021-02-23 20:38:11,"admin",""
"2be23ffb-d4bf-43e3-af63-04c9b1a26a12","Parlamentarier","Sächsischer Landtag","Nico Brünler","LINKE","","","https://de.wikipedia.org/wiki/Datei:Placeholder_staff_photo.svg","https://de.wikipedia.org/wiki/Nico_Br%C3%BCnler","männlich","NicoBruenler",3358305904,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"9b549a63-a4d2-44e4-a322-c7f33c0964a8","Parlamentarier","Sächsischer Landtag","Sarah Buddeberg","LINKE","","","https://de.wikipedia.org/wiki/Datei:Sarah_Buddeberg_2016_-_I_by_Jenny_Paul.jpg","https://de.wikipedia.org/wiki/Sarah_Buddeberg","weiblich","",NA,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"903c2ce0-2ac3-48c1-a2fe-3a6331b317ad","Parlamentarier","Sächsischer Landtag","Christine Clauß","CDU","Leipzig 5","","https://de.wikipedia.org/wiki/Datei:Christine_Clau%C3%9F_09.jpg","https://de.wikipedia.org/wiki/Christine_Clau%C3%9F",NA,NA,NA,NA,NA,2021-02-23 20:38:11,"admin",""
