"uuid","category","group","Name","Fraktion","Wahlkreis","Kommentar","Bild","Wikipedia.URL","Geschlecht","Twitter_screen_name","Twitter_id","last_modified_time","last_modified_user","modified_at","modified_by","tags"
"179c76fb-4d66-415a-aa7e-342d328e9937","Parlamentarier","Thüringer Landtag","René Aust","AfD","Schmalkalden-Meiningen II","","https://de.wikipedia.org/wiki/Datei:Ren%C3%A9_Aust_(2019).jpg","https://de.wikipedia.org/wiki/Ren%C3%A9_Aust",NA,NA,NA,NA,NA,2021-02-23 20:38:11,"admin",""
"eaec6e25-ea38-473a-ad38-7ac68339ef86","Parlamentarier","Thüringer Landtag","Franziska Baum","FDP","Landesliste","","https://de.wikipedia.org/wiki/Datei:Image_of_none.svg","https://de.wikipedia.org/wiki/Franziska_Baum","weiblich","fbaumfdp",68986627,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"d32d5ce1-7371-45d9-93d5-a7ed298669aa","Parlamentarier","Thüringer Landtag","Patrick Beier","LINKE","Landesliste","","https://de.wikipedia.org/wiki/Datei:Image_of_none.svg","https://de.wikipedia.org/wiki/Patrick_Beier","männlich","PatrickBeier_93",855130787418656768,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"f67227bd-0311-4fe3-b56d-087c2deabba1","Parlamentarier","Thüringer Landtag","Ute Bergner","FDP","Landesliste","","https://de.wikipedia.org/wiki/Datei:Image_of_none.svg","https://de.wikipedia.org/wiki/Ute_Bergner","weiblich","",NA,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"433ffb13-6524-478c-bb30-05ea7152404a","Parlamentarier","Thüringer Landtag","Dirk Bergner","FDP","Landesliste","Landtagsvizepräsident","https://de.wikipedia.org/wiki/Datei:2011_05_19_-_Landtagsprojekt_Erfurt_(0732).jpg","https://de.wikipedia.org/wiki/Dirk_Bergner","männlich","DirkBergner",27234930,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"edda7853-7831-4c6f-a3e4-4ca463d59370","Parlamentarier","Thüringer Landtag","Sascha Bilay","LINKE","Landesliste","","https://de.wikipedia.org/wiki/Datei:Image_of_none.svg","https://de.wikipedia.org/wiki/Sascha_Bilay","männlich","SBilay",164205156,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"91e6838d-6c59-4456-829d-eed9ee7ad8ef","Parlamentarier","Thüringer Landtag","André Blechschmidt","LINKE","Erfurt IV","","https://de.wikipedia.org/wiki/Datei:Landtag_Erfurt_2011-05-18_mnII_(37).JPG","https://de.wikipedia.org/wiki/Andr%C3%A9_Blechschmidt","männlich","BlechschmidtA",951080921163292672,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"f55d9537-da52-4f84-99dc-5c88e238d969","Parlamentarier","Thüringer Landtag","Torben Braga","AfD","Landesliste","","https://de.wikipedia.org/wiki/Datei:Image_of_none.svg","https://de.wikipedia.org/wiki/Torben_Braga","männlich","torben_braga",787776888097927168,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"7d948f7a-f447-4ef5-9bc2-918479c0dd7a","Parlamentarier","Thüringer Landtag","Andreas Bühl","CDU","Ilm-Kreis I","","https://de.wikipedia.org/wiki/Datei:Landtagsprojekt_Th%C3%BCringen_2016_Andreas_B%C3%BChl_IMG_9774_LR10_by_Stepro.jpg","https://de.wikipedia.org/wiki/Andreas_B%C3%BChl","männlich","Buehlandreas",2279896372,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"ef8007bd-aac6-4a94-8286-91b6f50c399a","Parlamentarier","Thüringer Landtag","Jens Cotta","AfD","Kyffhäuserkreis II","","https://de.wikipedia.org/wiki/Datei:Image_of_none.svg","https://de.wikipedia.org/wiki/Jens_Cotta","männlich","",NA,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"f32f4333-2dd1-4ec0-b33c-6b0a89d0e671","Parlamentarier","Thüringer Landtag","Torsten Czuppon","AfD","Sömmerda II","","https://de.wikipedia.org/wiki/Datei:Image_of_none.svg","https://de.wikipedia.org/wiki/Torsten_Czuppon","männlich","",NA,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"d2a4b747-8a88-49ff-8bfc-b1971720ece5","Parlamentarier","Thüringer Landtag","Steffen Dittes","LINKE","Weimar II","","https://de.wikipedia.org/wiki/Datei:Dittes.jpg","https://de.wikipedia.org/wiki/Steffen_Dittes","männlich","St_Dittes",362422019,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"7b679788-93c7-440d-bab2-d029ec71eac7","Parlamentarier","Thüringer Landtag","Cordula Eger","LINKE","Landesliste","","https://de.wikipedia.org/wiki/Datei:Image_of_none.svg","https://de.wikipedia.org/wiki/Cordula_Eger","weiblich","CordulaEger",959063159222005760,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"530d9db6-b013-40d9-89ed-9a037c0d3443","Parlamentarier","Thüringer Landtag","Volker Emde","CDU","Greiz I","","https://de.wikipedia.org/wiki/Datei:Volker_Emde.jpg","https://de.wikipedia.org/wiki/Volker_Emde","männlich","",NA,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"c705efbd-e4a9-41e2-9e16-69ad8c373a89","Parlamentarier","Thüringer Landtag","Kati Engel","LINKE","Landesliste","","https://de.wikipedia.org/wiki/Datei:Landtagsprojekt_Th%C3%BCringen_2016_Kati_Engel_IMG_9764_LR10_by_Stepro.jpg","https://de.wikipedia.org/wiki/Kati_Engel","weiblich","Kati_Engel",2301114522,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"36935806-afa9-49bb-8f63-9edab7876d09","Parlamentarier","Thüringer Landtag","Karlheinz Frosch","AfD","Saalfeld-Rudolstadt I","Alterspräsident","https://de.wikipedia.org/wiki/Datei:Image_of_none.svg","https://de.wikipedia.org/wiki/Karlheinz_Frosch","männlich","",NA,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"a31247e7-e8bf-4bb6-a4b8-7380f33e4e3c","Parlamentarier","Thüringer Landtag","Markus Gleichmann","LINKE","Landesliste","","https://de.wikipedia.org/wiki/Datei:Image_of_none.svg","https://de.wikipedia.org/wiki/Markus_Gleichmann","männlich","m_gleichmann",29300613,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"60d7d1cb-dbdf-4142-aa2f-a5657e8f8534","Parlamentarier","Thüringer Landtag","Thomas Gottweiss","CDU","Weimar I – Weimarer Land II","","https://de.wikipedia.org/wiki/Datei:Image_of_none.svg","https://de.wikipedia.org/wiki/Thomas_Gottweiss","männlich","GottiSlow",55487366,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"88de8302-c52f-4f67-8adf-e5f632a149f6","Parlamentarier","Thüringer Landtag","Birger Gröning","AfD","Gotha I","","https://de.wikipedia.org/wiki/Datei:Image_of_none.svg","https://de.wikipedia.org/wiki/Birger_Gr%C3%B6ning","männlich","",NA,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"63aa2364-0d07-4339-9327-4d817b06986d","Parlamentarier","Thüringer Landtag","Lena Saniye Güngör","LINKE","Landesliste","","https://de.wikipedia.org/wiki/Datei:2020-03-04_Th%C3%BCringer_Landtag,_erneute_Wahl_des_Ministerpr%C3%A4sidenten_1DX_2804_by_Stepro.jpg","https://de.wikipedia.org/wiki/Lena_Saniye_G%C3%BCng%C3%B6r",NA,NA,NA,NA,NA,2021-02-23 20:38:11,"admin",""
"69129721-b675-4f45-81fd-2e772c8198bc","Parlamentarier","Thüringer Landtag","Ronald Hande","LINKE","Landesliste","","https://de.wikipedia.org/wiki/Datei:Image_of_none.svg","https://de.wikipedia.org/wiki/Ronald_Hande","männlich","",NA,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"919371f1-b03a-4887-a621-2d3ad7114564","Parlamentarier","Thüringer Landtag","Thomas Hartung","SPD","Landesliste","am 5. Dezember 2019 nachgerückt für Wolfgang Tiefensee","https://de.wikipedia.org/wiki/Datei:Landtag_Erfurt_2011-05-18_mnII_(58).JPG","https://de.wikipedia.org/wiki/Thomas_Hartung_(Politiker)",NA,NA,NA,NA,NA,2021-02-23 20:38:11,"admin",""
"9da2d869-7e00-43ae-a12e-8cdfb3de7c07","Parlamentarier","Thüringer Landtag","Madeleine Henfling","GRÜNE","Landesliste","Landtagsvizepräsidentin(ab 14. Mai 2020)","https://de.wikipedia.org/wiki/Datei:Landtagsprojekt_Th%C3%BCringen_Madeleine_Henfling_by_Olaf_Kosinsky-3.jpg","https://de.wikipedia.org/wiki/Madeleine_Henfling","weiblich","henfling_m",195792700,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"8dac64ca-c231-401b-bfdd-774c53000a9e","Parlamentarier","Thüringer Landtag","Jörg Henke","AfD","Landesliste","","https://de.wikipedia.org/wiki/Datei:J%C3%B6rg_Henke.jpg","https://de.wikipedia.org/wiki/J%C3%B6rg_Henke","männlich","",NA,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"555c18d7-a40c-4541-859d-b8dafbc0206b","Parlamentarier","Thüringer Landtag","Martin Henkel","CDU","Wartburgkreis I","","https://de.wikipedia.org/wiki/Datei:Martin_Henkel_MdL.jpg","https://de.wikipedia.org/wiki/Martin_Henkel_(Politiker)","männlich","",NA,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"cb19d690-e373-4483-877f-927cc0961a17","Parlamentarier","Thüringer Landtag","Susanne Hennig-Wellsow","LINKE","Erfurt II","Fraktionsvorsitzende","https://de.wikipedia.org/wiki/Datei:2011-05-18-landtagsprojekt-erfurt-107.jpg","https://de.wikipedia.org/wiki/Susanne_Hennig-Wellsow",NA,NA,NA,NA,NA,2021-02-23 20:38:11,"admin",""
"f430b44e-0f42-4639-b6ff-8cf0525c18c5","Parlamentarier","Thüringer Landtag","Corinna Herold","AfD","Landesliste","","https://de.wikipedia.org/wiki/Datei:Corinna_Herold.jpg","https://de.wikipedia.org/wiki/Corinna_Herold","weiblich","CorinnaHerold",918108784496644096,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"17b71de4-91e4-44c5-befa-424ee5c9ca39","Parlamentarier","Thüringer Landtag","Christian Herrgott","CDU","Saale-Orla-Kreis II","","https://de.wikipedia.org/wiki/Datei:Landtagsprojekt_Th%C3%BCringen_2016_Christian_Herrgott_IMG_9924_LR10_by_Stepro.jpg","https://de.wikipedia.org/wiki/Christian_Herrgott","männlich","",NA,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"603d78b5-0df4-40f6-b302-173617b7fa63","Parlamentarier","Thüringer Landtag","Matthias Hey","SPD","Gotha II","Fraktionsvorsitzender","https://de.wikipedia.org/wiki/Datei:Matthias_Hey_Landtag_Th%C3%BCringen_19.05.11.jpg","https://de.wikipedia.org/wiki/Matthias_Hey","männlich","",NA,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"c6323076-5046-49f1-a2de-22713d3047d6","Parlamentarier","Thüringer Landtag","Michael Heym","CDU","Schmalkalden-Meiningen I","","https://de.wikipedia.org/wiki/Datei:2020-03-04_Th%C3%BCringer_Landtag,_erneute_Wahl_des_Ministerpr%C3%A4sidenten_1DX_2878_by_Stepro.jpg","https://de.wikipedia.org/wiki/Michael_Heym",NA,NA,NA,NA,NA,2021-02-23 20:38:11,"admin",""
"3bb0e675-ab22-4b1f-aea7-6e3153950c44","Parlamentarier","Thüringer Landtag","Björn Höcke","AfD","Landesliste","Fraktionsvorsitzender","https://de.wikipedia.org/wiki/Datei:2019-10-27_Wahlabend_Th%C3%BCringen_by_Sandro_Halank%E2%80%9388.jpg","https://de.wikipedia.org/wiki/Bj%C3%B6rn_H%C3%B6cke","männlich","BjoernHoecke",2784480231,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"2494a1a5-b273-4e42-b985-3fcb0c42da72","Parlamentarier","Thüringer Landtag","Nadine Hoffmann","AfD","Hildburghausen I – Schmalkalden-Meiningen III","","https://de.wikipedia.org/wiki/Datei:Image_of_none.svg","https://de.wikipedia.org/wiki/Nadine_Hoffmann","weiblich","NHoffmannAfDTh",955158926642896896,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"de17e52d-b4fa-4be6-94cf-fe17de882881","Parlamentarier","Thüringer Landtag","Denny Jankowski","AfD","Landesliste","","https://de.wikipedia.org/wiki/Datei:Image_of_none.svg","https://de.wikipedia.org/wiki/Denny_Jankowski","männlich","Denny_Jankowski",810948252912775168,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"cb31620b-4953-41f9-9923-2051910877e3","Parlamentarier","Thüringer Landtag","Ralf Kalich","LINKE","Landesliste","","https://de.wikipedia.org/wiki/Datei:Landtagsprojekt_Th%C3%BCringen_2016_Ralf_Kalich_IMG_0044_LR10_by_Stepro.jpg","https://de.wikipedia.org/wiki/Ralf_Kalich","männlich","RalfKalich",2302845841,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"7a9cd8d6-be98-4bf8-85bd-819f16eda580","Parlamentarier","Thüringer Landtag","Michael Kaufmann","AfD","Landesliste","Landtagsvizepräsident(ab 5. März 2020)","https://de.wikipedia.org/wiki/Datei:Image_of_none.svg","https://de.wikipedia.org/wiki/Michael_Kaufmann_(Politiker)","männlich","KaufmannAfD",1595763756,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"ef842b96-e5d2-45de-906c-1d414d9faad4","Parlamentarier","Thüringer Landtag","Birgit Keller","LINKE","Nordhausen I","Landtagspräsidentin","https://de.wikipedia.org/wiki/Datei:2011_05_19_-_Landtagsprojekt_Erfurt_(0645).jpg","https://de.wikipedia.org/wiki/Birgit_Keller","weiblich","TLTkeller",415606401,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"5e997f7e-9717-43a0-a453-8aed9e0f68e0","Parlamentarier","Thüringer Landtag","Jörg Kellner","CDU","Sömmerda I – Gotha III","","https://de.wikipedia.org/wiki/Datei:Landtagsprojekt_Th%C3%BCringen_J%C3%B6rg_Kellner_by_Olaf_Kosinsky-3.jpg","https://de.wikipedia.org/wiki/J%C3%B6rg_Kellner","männlich","",NA,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"e1260a10-e1fc-405a-9dff-017bf749bb1b","Parlamentarier","Thüringer Landtag","Thomas L. Kemmerich","FDP","Landesliste","Fraktionsvorsitzender","https://de.wikipedia.org/wiki/Datei:2011-05-18-landtagsprojekt-erfurt-063.jpg","https://de.wikipedia.org/wiki/Thomas_L._Kemmerich",NA,NA,NA,NA,NA,2021-02-23 20:38:11,"admin",""
"5bac17a9-56e2-48a7-afb4-357dde375dc7","Parlamentarier","Thüringer Landtag","Olaf Kießling","AfD","Ilm-Kreis II","","https://de.wikipedia.org/wiki/Datei:Olaf_Kie%C3%9Fling.jpg","https://de.wikipedia.org/wiki/Olaf_Kie%C3%9Fling","männlich","",NA,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"b0d132a6-567d-489d-b4ed-f068f0ad3ec7","Parlamentarier","Thüringer Landtag","Cornelia Klisch","SPD","Landesliste","","https://de.wikipedia.org/wiki/Datei:2020-03-04_Th%C3%BCringer_Landtag,_erneute_Wahl_des_Ministerpr%C3%A4sidenten_1DX_2799_by_Stepro.jpg","https://de.wikipedia.org/wiki/Cornelia_Klisch","weiblich","",NA,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"1586914d-e6bf-431d-b151-62ad23a989e1","Parlamentarier","Thüringer Landtag","Tosca Kniese","AfD","Landesliste","","https://de.wikipedia.org/wiki/Datei:Image_of_none.svg","https://de.wikipedia.org/wiki/Tosca_Kniese","männlich","KnieseTosca",921355767688593408,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"f1c3225f-d9cd-4ba4-a6c6-0ccc4820fe94","Parlamentarier","Thüringer Landtag","Thadäus König","CDU","Eichsfeld I","","https://de.wikipedia.org/wiki/Datei:Image_of_none.svg","https://de.wikipedia.org/wiki/Thad%C3%A4us_K%C3%B6nig","männlich","",NA,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"b6cf6d29-7ceb-40c0-a77a-a769c8648e53","Parlamentarier","Thüringer Landtag","Katharina König-Preuss","LINKE","Landesliste","","https://de.wikipedia.org/wiki/Datei:Katharina_K%C3%B6nig_DSC_345.jpg","https://de.wikipedia.org/wiki/Katharina_K%C3%B6nig-Preuss","weiblich","KatharinaKoenig",68359798,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"c8a98b47-3de0-4af5-b4db-c7a212bb73fc","Parlamentarier","Thüringer Landtag","Knut Korschewsky","LINKE","Landesliste","","https://de.wikipedia.org/wiki/Datei:Knut_Korschewsky,_variante_b.jpg","https://de.wikipedia.org/wiki/Knut_Korschewsky","männlich","KKorschewsky",61594385,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"4ec87bfd-a931-4887-9c53-f023423dd956","Parlamentarier","Thüringer Landtag","Maik Kowalleck","CDU","Saalfeld-Rudolstadt II","","https://de.wikipedia.org/wiki/Datei:2011_05_18_-_Landtagsprojekt_Erfurt_(0303)b.jpg","https://de.wikipedia.org/wiki/Maik_Kowalleck","männlich","",NA,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"0d18786e-15eb-4e12-ba69-40980a107aec","Parlamentarier","Thüringer Landtag","Dieter Laudenbach","AfD","Landesliste","","https://de.wikipedia.org/wiki/Datei:Image_of_none.svg","https://de.wikipedia.org/wiki/Dieter_Laudenbach","männlich","",NA,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"4477185e-0c7c-418c-b3bd-7aefb1db383b","Parlamentarier","Thüringer Landtag","Wolfgang Lauerwald","AfD","Gera II","","https://de.wikipedia.org/wiki/Datei:Image_of_none.svg","https://de.wikipedia.org/wiki/Wolfgang_Lauerwald","männlich","",NA,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"28edb152-20f6-44d3-b612-bea337a31d74","Parlamentarier","Thüringer Landtag","Diana Lehmann","SPD","Landesliste","","https://de.wikipedia.org/wiki/Datei:Landtagsprojekt_Th%C3%BCringen_2016_Diana_Lehmann_IMG_9847_LR10_by_Stepro.jpg","https://de.wikipedia.org/wiki/Diana_Lehmann","weiblich","dialehm",1393879417,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"e64400f5-c56a-47c8-9fdf-186070fe43c3","Parlamentarier","Thüringer Landtag","Lutz Liebscher","SPD","Landesliste","","https://de.wikipedia.org/wiki/Datei:Image_of_none.svg","https://de.wikipedia.org/wiki/Lutz_Liebscher","männlich","jena_lutz",1152196969915396096,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"43fb3269-18df-480e-9fdc-d91fd573c4f2","Parlamentarier","Thüringer Landtag","Ute Lukasch","LINKE","Landesliste","","https://de.wikipedia.org/wiki/Datei:Landtagsprojekt_Th%C3%BCringen_2016_Ute_Lukasch_IMG_9936_LR10_by_Stepro.jpg","https://de.wikipedia.org/wiki/Ute_Lukasch","weiblich","ULukasch",1026419383378341888,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"f40e6d2d-9ce4-433d-a25a-26dcf9435b48","Parlamentarier","Thüringer Landtag","Gudrun Lukin","LINKE","Jena II","","https://de.wikipedia.org/wiki/Datei:Gudrun_Lukin.jpg","https://de.wikipedia.org/wiki/Gudrun_Lukin","weiblich","gudrunlukin",271383045,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"1cdfb539-da5f-4eaf-8d30-60b67fdee687","Parlamentarier","Thüringer Landtag","Marcus Malsch","CDU","Wartburgkreis III","","https://de.wikipedia.org/wiki/Datei:Landtagsprojekt_Th%C3%BCringen_2016_Marcus_Malsch_IMG_9958_LR10_by_Stepro.jpg","https://de.wikipedia.org/wiki/Marcus_Malsch","männlich","",NA,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
"7ba2b1d2-3e23-4d54-8536-67884cb8c324","Parlamentarier","Thüringer Landtag","Iris Martin-Gehl","LINKE","Landesliste","am 14. Juli 2020 nachgerückt für Heike Werner","https://de.wikipedia.org/wiki/Datei:Landtagsprojekt_Th%C3%BCringen_2016_Iris_Martin-Gehl_IMG_9805_LR10_by_Stepro.jpg","https://de.wikipedia.org/wiki/Iris_Martin-Gehl",NA,NA,NA,NA,NA,2021-02-23 20:38:11,"admin",""
"1bc9a41a-c0c5-44cb-bf8a-b4aadaa9aa05","Parlamentarier","Thüringer Landtag","Dorothea Marx","SPD","Landesliste","Landtagsvizepräsidentin","https://de.wikipedia.org/wiki/Datei:Landtagsprojekt_Th%C3%BCringen_2016_Dorothea_Marx_IMG_9992_LR10_by_Stepro.jpg","https://de.wikipedia.org/wiki/Dorothea_Marx","weiblich","marx2009",26464235,2021-02-23 20:23:58,"grenwi",2021-02-23 20:38:11,"admin",""
