"Name","SM_Facebook_id","SM_Facebook_user"
Jörg Urban,"1590263664586980",Jörg Urban für Bautzen
Franz Sodann,"1482637431972478",franzsodann
Sandra Funken,"586514921727029",SandraFunken.wk53
Wolfgang Reinhart,"551246314973765",reinhart.mdl
Andreas Nowak,"330855083743622",Andreas.Nowak.MdL
Annette Schütze,"128088694468106",schuetzespd
Katharina Schulze,"118598124966673",Katharina.Schulze.Landtag
Till Mansmann,"647898078564416",tillmansmannfdp
Luise Amtsberg,"1385001921534931",LuiseAmtsberg
Arthur Kaiser,"313529465502143",arthurkaiserhamburg
Christoph Meyer,"162825633790607",christoph.meyer.berlin
Stephanie Schuhknecht,"254192228592286",stephie.gruene
"Karin Strenz","411935132202922",Karin.Strenz
Jana Schimke,,jana.schimke
Bundestagsabgeordnete Dietlind Tiemann,"203575543022507",DietlindTiemann.MdB.CDU
Bettina Fortunato,"306635603376351",fortunatobettina
"Uwe Kamann","427787230913037",Uwe.Kamann.BTW2017
Olav Gutting,,olav.gutting
Uwe Feiler,,uwe.feiler
Erik Schweickert,"101008413323806",erikschweickert
"Jochen Kohler","1885404191739789",KohlerCSU
Tim Schmuckall,"264343293747556",Tim.Schmuckall
"Hagen Kohl","1731552560448698",HagenKohlAfD
,,sebastian.steineke
Josef Seidl,"2025981297650748",j.k.c.seidl
Mignon Schwenke,"582917025201837",drmignonschwenke
Stefan Ziller,"43259223284",stefan.ziller
Rainer Spiering,"180621222095692",spiering2013
Kathrin Vogler,"563753786980536",kathrin.vogler
,,birgitt.pfeiffer.5
Stefan Räpple,"378808892868421",StefanRaeppleMdL.AfD
René Hein ,"193612161533580",fuerunsersachsen
,,doreen.schwietzer.7
Ingeborg Sahler-Fesel,"132187770193484",sahlerfesel
Barbara Hendricks,"547698145253905",hendricks.barbara
Roland Hartwig,"428288277636393",RolandHartwigMdB
"Tobias Schulze","245020728860209",TobiasSchulzeLINKE
,,fhet23
,,rita.hagl
,,HermannOttoSolms
Florian von Brunn,"134457900027950",FlorianvB
Mario Voigt,"1085329238243800",DrMarioVoigt
Mark Hauptmann,"121036874736442",mark.hauptmann.cdu
Markus Gleichmann - Landtagsabgeordneter aus dem SHK,"113301246689236",MarkusGleichmannLandtagThueringen
Hermann Gröhe,"84534791408",groehe
Florian Post,"115908038555670",florianpost
,,bernd.vohl
Thomas Hartung,"955485327955789",hartung.spd
Serpil Midyatli,"1602662696420915",serpil.midyatli.spd
Margit Stumpp,"622829394570890",stumppmargit
Katrin Staffler,"1145118288919890",katrinstaffler
"Ute Eiling-Hütig","656300844400331",uteeilinghuetig
,,sybille.benning.ms
,,stephanoetzinger
,,ulrich.reuter.7902
"Marcus Bühl, AfD","1843056589285625",marcus.buehl.afd
Sevim Dagdelen,"1753343008226103",MdBSevimDagdelen
Jan Zwerg,"296188784243424",AfD.Sachsen.Generalsekretaer
Der Flügel,"1628714997358867",derfluegel
Thomas Hacker,"135179350225",FDP.Hacker
Uwe Schwarz,"415550491825995",uweschwarzmdl
Sören Bartol,"1395797837300016",soerenbartol
Sebastian Striegel,"1548351238767524",StriegSe
Pascal Kober,"1913903912210913",PascalKoberFDP
Ines Schmidt die Politikerin,"167634216954082",dielinke.ines.schmidt
Martin Michalik,"1406260406357359",martinmichalikcdu
Markus Uhl,"467987053577610",markusuhlmdb
Sabine Weigand,"295997074285117",DrSabineWeigandMdL
Danny Freymark,"225436390816202",dannyfreymark.cdu
Matthias Heider,"81393410085",Dr.MatthiasHeider
,,daniel.rausch.988
Daniel Köbler,"152324884791181",daniel.koebler
Klaus Herrmann,"346615899102825",klaus.herrmann.afd
Michael Gwosdz,"120624218011424",gwosdzmichael
"Dennis Lander","645564818971508",DennisLanderLinke
Thomas Wansch,"543818092353321",Thomas Wansch
Daniel Oetzel,"1519902998023194",MdHBOetzel
"Frank Scheermesser","998371603627838",FScheermesser
,,JanSchiffers2017
Joachim Keiler,"431403980669017",KeilerAfD
Christoph Weiss,"304896320199127",ChristophWeiss11
,,uwe.felgentrager.12
Markus Blume,"200855900382059",markusblumecsu
"Berengar Elsner v. Gronow","742811825755690",ElsnervonGronow
,,jorg.dornau.90
Rainer Schmeltzer,"205789092856248",RainerSchmeltzer
Andreas Schmidt (SPD),"115347451960050",Dr.Andreas.Schmidt.SPD
Bettina Brück,"109510926086291",Bettina Brück
Güngör Yilmaz,"1412245292410253",GuengoerYilmaz1961
Frank Schäffler,"284882801581896",frank.schaeffler
"Uwe Kamann","427787230913037",Uwe.Kamann.BTW2017
Lutz Lienenkämper,"470750479716818",lutz.lienenkaemper
Florian Swyter,"188574241604520",FlorianSwyterFDP
