id;Kategorie;Name;Partei;Wahlkreis;Geschlecht;Kommentar;Bild;tags;Wikipedia_URL;Homepage_URL;SM_Twitter_user;SM_Twitter_id;SM_Twitter_verifiziert;SM_Facebook_id;SM_Facebook_user;SM_Facebook_verifiziert;SM_Youtube_user;SM_Youtube_id;SM_Youtube_verifiziert;SM_Instagram_user;SM_Instagram_id;SM_Instagram_verifiziert;SM_Telegram_user;SM_Telegram_id;SM_Telegram_verifiziert;created_at;created_by;modified_at;modified_by
;Hamburg;Steffan Nethe;LKR;21;männlich;;;;;;;;;;;;;;;;;;;;;;;;
;Hamburg;Simon Rohlfing;LKR;;männlich;;;;;;;;;;;;;;;;;;;;;;;;
;Hamburg;Johannes Purwin;LKR;;männlich;;;;;;;;;;;;;;;;;;;;;;;;
;Hamburg;Dr.Wolfgang Schlage;LKR;;männlich;;;;;;;;;;;;;;;;;;;;;;;;
;Hamburg;Bernd Anders;LKR;;männlich;;;;;;;;;;;;;;;;;;;;;;;;
;Niedersachsen;Thomas Ganskow;Piraten;42;männlich;;;;;;;;;;;;;;;;;;;;;;;;
;Niedersachsen;Phil Höfer;Piraten;48;männlich;;;;;;;;;;;;;;;;;;;;;;;;
;Niedersachsen;Martina Broschei;Piraten;;weiblich;;;;;;;;;;;;;;;;;;;;;;;;
;Niedersachsen;Angela Ries;Piraten;;weiblich;;;;;;;;;;;;;;;;;;;;;;;;
;Niedersachsen;Christian Vey;Piraten;;männlich;;;;;;;;;;;;;;;;;;;;;;;;
;Niedersachsen;Wolf Vincent Lübcke;Piraten;;männlich;;;;;;;;;;;;;;;;;;;;;;;;
;Niedersachsen;Holger Lubitz;Piraten;;männlich;;;;;;;;;;;;;;;;;;;;;;;;
;Niedersachsen;Uwe Gerhard Kopec;Piraten;47;männlich;;;;;;;;;;;;;;;;;;;;;;;;
;Niedersachsen;Jens Golland;Piraten;;männlich;;;;;;;;;;;;;;;;;;;;;;;;
;Niedersachsen;Olaf Engel;Piraten;;männlich;;;;;;;;;;;;;;;;;;;;;;;;
;Niedersachsen;Richard Klaus;Piraten;;männlich;;;;;;;;;;;;;;;;;;;;;;;;
;Niedersachsen;Roland Schulz;Piraten;;männlich;;;;;;;;;;;;;;;;;;;;;;;;
;Niedersachsen;Joachim Roden;Piraten;;männlich;;;;;;;;;;;;;;;;;;;;;;;;
;Niedersachsen;Lars Scheumer;Piraten;;männlich;;;;;;;;;;;;;;;;;;;;;;;;
;Bremen;Sarah Ryglewski;SPD;54;weiblich;;;Parlamentarier Wiederwahl;;;;;;;;;;;;;;;;;;;;;
;Bremen;Uwe Schmidt;SPD;55;männlich;;;Parlamentarier Wiederwahl;;;;;;;;;;;;;;;;;;;;;
;Bremen;Selin Ece Arpaz;SPD;;weiblich;;;;;;;;;;;;;;;;;;;;;;;;
;Bremen;Derik Eicke;SPD;;männlich;;;;;;;;;;;;;;;;;;;;;;;;
